bucket_topic_number,bucket_topic,book_topic_number,book_topic,score
56,"join order, join, order, access path, join method access, join tree, join method, leftdeep join",7,Database Security and Access Control,0.2589695304496456
57,"length, byte, fixed length, variablelength, variable length, fixed, length record, length field",0,Introduction to Database Management Systems,0.0
58,"raid, raid level, level, mirroring, disk, raid raid, reliability, redundant",5,Transaction Management and ACID Properties,0.3632941388438246
59,"tape, magnetic, magnetic tape, drive, tape drive, optical, jukebox, optical disk",0,Introduction to Database Management Systems,0.0
60,"weak entity, weak, weak entity set, entity, entity set, weak entity type, identifying, identifying relationship",6,Data Modeling and ER Diagrams,0.1167575283676312
61,"twophase locking, twophase, locking, locking protocol, twophase locking protocol, protocol, lock, rigorous",0,Introduction to Database Management Systems,0.0
62,"query tree, transformation, tree, rewrite, query, select operation, rule, transformed",3,Querying Relational Databases,0.494282986958725
63,"node, lock, mode, locked, lock node, exclusive, node locked, exclusive mode",0,Introduction to Database Management Systems,0.0
64,"cluster, clustering, distance, clustering algorithm, centroid, radius, birch, cluster record",0,Introduction to Database Management Systems,0.0
65,"precedence, precedence graph, graph, edge, cycle, graph schedule, precedence graph schedule, schedule",13,Multi-Model Databases,0.09026539242002347
66,"section section, section section section, section, section saw, saw, section section saw, saw section section, section saw section",0,Introduction to Database Management Systems,0.0
67,"atomicity, durability, consistency, property, atomicity durability, transaction atomicity, database consistency, consistent",5,Transaction Management and ACID Properties,0.37812439388215063
68,"employee, department, worksfor, department employee, employee department, employee work, foreign key, foreign",23,Database Constraints and Triggers,0.26243390518929305
69,"coordinator, site, ready, new coordinator, message, failed, coordinator fails, ready message",0,Introduction to Database Management Systems,0.0
70,"ontology, semantic, knowledge, concept, knowledge representation, synonym, semantic web, semantic data",20,Data Mining and Knowledge Discovery,0.33497573393335506
71,"uml, diagram, uml class diagram, uml class, class diagram, uml diagram, notation, modeling",6,Data Modeling and ER Diagrams,0.3968992770036097
72,"node, searchkey value, searchkey, pointer, leaf, search key, leaf node, search",0,Introduction to Database Management Systems,0.0
73,"client, client server, tier, architecture, server, client server architecture, server architecture, tier client server",0,Introduction to Database Management Systems,0.4382997357104546
74,"aborted, abort, transaction aborted, transaction, failure, abort transaction, subtransaction, transaction abort",5,Transaction Management and ACID Properties,0.4062678601155774
75,"union, intersection, union intersection, operation union, set difference, compatible, union compatible, set operation",0,Introduction to Database Management Systems,0.0
76,"parallel, parallel database, parallel database system, architecture, database system, parallel architecture, system, machine",0,Introduction to Database Management Systems,0.26312199688607396
77,"relation schema, schema, set relation, set relation schema, relation, relational schema, design, schema containing attribute",25,Database Migration and Schema Evolution,0.3075306675327852
78,"flight, seat, reservation, airline, airport, traveler, seat selection, flight number",0,Introduction to Database Management Systems,0.0
79,"domain, atomic, domain attribute, atomic domain, attribute atomic, domain atomic, attribute domain, value domain",0,Introduction to Database Management Systems,0.0
80,"semistructured, unstructured, structured, unstructured data, semistructured data, extraction, information extraction, document",12,Data Migration and ETL Processes,0.30910784539682823
81,"algorithm, algorithm figure, apply algorithm, algorithm apply, algorithm apply algorithm, compute, pseudocode, algorithm work",0,Introduction to Database Management Systems,0.0
82,"insertion, deletion, insertion deletion, insert, delete, select statement, rejected, delete operation",0,Introduction to Database Management Systems,0.0
83,"composite, multivalued, composite attribute, multivalued attribute, attribute, attribute composite, single valued, derived attribute",13,Multi-Model Databases,0.09026539242002347
84,"flash, flash memory, flash storage, magnetic disk, magnetic, memory, storage, erase",11,In-Memory Databases,0.3973965681397674
85,"book, member, borrowed, librarian, member borrowed, isbn, borrowed book, member borrowed book",0,Introduction to Database Management Systems,0.0
86,"failure, type failure, site, distributed, failure site, continue, failed site, link",27,Distributed Databases and Replication,0.6947451018805677
87,"ssn, superssn, sex, ssn bdate address, ssn bdate, salary superssn, bdate address, bdate address sex",0,Introduction to Database Management Systems,0.0
88,"authentication, password, authenticate, user, user password, authentication service, authenticating, authenticating user",28,Database Scalability and Partitioning,0.2645253984796013
89,"architecture, shareddisk, sharedmemory, sharednothing, sharednothing architecture, processor, shared, shareddisk architecture",0,Introduction to Database Management Systems,0.4382997357104546
90,"itemsets, frequent, frequent itemsets, itemset, large itemsets, negative border, border, set item",19,Big Data and Distributed Databases,0.22986155399892627
91,"checkpoint, checkpointing, fuzzy, checkpoint record, transaction checkpoint, fuzzy checkpointing, active transaction, checkpoint checkpoint",5,Transaction Management and ACID Properties,0.4062678601155774
92,"lsn, page, dirtypagetable, log record, dirty page, log, dirty, redo",14,Database Auditing and Logging,0.3022081981993536
93,"view, view definition, create view, query view, view relation, view view, query expression, myview",3,Querying Relational Databases,0.5790822707065071
94,"student, person, alumnus, graduatestudent, undergraduate, graduate, employee student, set student",0,Introduction to Database Management Systems,0.0
95,"lope, okay aho hardly, okay, lope fan phipps, lope fan, park, hardly, fan phipps yes",0,Introduction to Database Management Systems,0.0
96,"privacy, security, database security, statistical database, statistical, security privacy, data privacy, law",26,Data Privacy and Compliance in Databases,0.33548431697997594
97,"search, web, agent, social, social search, usage, information, search engine",16,Data Compression and Encryption,0.10990265980907019
98,"throughput, response, response time, number transaction, transaction second, transaction, harmonic mean throughput, mean throughput",5,Transaction Management and ACID Properties,0.3919196334803857
99,"grade, student, gradereport, university, coursenumber, student course, transcript, studentname",0,Introduction to Database Management Systems,0.0
100,"fiber, channel, fiber channel, iscsi, scsi, device, storage, network",16,Data Compression and Encryption,0.31361669964951033
101,"null, null value, unknown, value, value exist, exist, null evaluate, unknown exist",0,Introduction to Database Management Systems,0.0
102,"course, credit, semester, title, offering, credit course, course course, course title",13,Multi-Model Databases,0.09026539242002347
103,"jdbc, driver, java, jdbc driver, java program, driver manager, jdbc api, oracle jdbc",0,Introduction to Database Management Systems,0.0
104,"memory, shared memory, shared, cache, cache memory, process access, memory manager, memory area",11,In-Memory Databases,0.4500890895593638
105,"commit, commit protocol, twophase commit, twophase, protocol, twophase commit protocol, phase commit, phase commit protocol",0,Introduction to Database Management Systems,0.0
106,"delete, update, insert delete, delete update, statement, insert, update statement, update delete",0,Introduction to Database Management Systems,0.0
107,"creditcard, card, credit card, credit, payment, creditcard company, creditcard number, good",0,Introduction to Database Management Systems,0.0
108,"postgresql, mysql, postgres, pgadmin, opensource, tool, administration, stonebraker",22,Database Administration and Performance Tuning,0.28027210203827274
109,"database figure, relational database figure, consider relational database, consider relational, figure consider relational, figure consider, figure, database figure consider",1,Relational Database Model,0.3594117627179637
110,"color, clothes, clothes size, item color, color clothes size, color clothes, skirt, pastel",0,Introduction to Database Management Systems,0.0
111,"bottleneck, tuning, performance, performance tuning, component bottleneck, performance component, utility, improving",30,Database Performance Monitoring and Tuning,0.7055823600500188
112,"seek, block transfer, transfer, block, number block, buffer, worst case, worst",12,Data Migration and ETL Processes,0.10084716622631328
113,"head, track, sector, write head, read write head, platter, surface, read write",0,Introduction to Database Management Systems,0.0
114,"availability, partition, network partition, network, site partition, site, site failure, network partitioning",28,Database Scalability and Partitioning,0.40825657823841827
115,"term, document, relevance, frequency, idf, term document, occurrence, occurrence term",18,NoSQL Databases: Document Stores,0.2901887707354227
116,"sql standard, standard, sql, version sql, sql sql, standard sql, version, feature",3,Querying Relational Databases,0.3612204563363911
117,"lowerlevel entity, lowerlevel entity set, lowerlevel, entity set, higherlevel entity, higherlevel, entity, higherlevel entity set",6,Data Modeling and ER Diagrams,0.09922481925090243
118,"subelements, element, child, parent, subelements element, subelement, node, child element",0,Introduction to Database Management Systems,0.0
119,"backup, remote backup, remote, backup site, remote backup site, backup system, remote backup system, site",24,Data Backup and Recovery Strategies,0.6029102858710377
120,"inheritance, subtype, multiple inheritance, supertype, supertypes, type hierarchy, subtypes, supertype subtype",0,Introduction to Database Management Systems,0.0
121,"embedded, embedded sql, host language, host, sql, language, programming, sql embedded",1,Relational Database Model,0.34926955990660463
122,"rename, alias, rename operation, renaming, project operation, unary, project, name",0,Introduction to Database Management Systems,0.0
123,"main memory, buffer, main, memory, block, disk block, memory buffer, disk main memory",11,In-Memory Databases,0.4430591480562466
124,"sec, course, sec course, entity set section, set section, section entity, course sec, entity set",6,Data Modeling and ER Diagrams,0.09922481925090243
125,"diagram, sequence diagram, statechart, use case, statechart diagram, class diagram, collaboration, interaction",0,Introduction to Database Management Systems,0.0
126,"odmg, odmg object, odl, odmg object model, object model, object, object definition, object definition language",13,Multi-Model Databases,0.49316470954249664
127,"array, php, element, array element, teaching, associative, element array, php array",0,Introduction to Database Management Systems,0.0
128,"relation relation, relation, prereq relation, relation prereq relation, relation practice exercise, relation practice, relation prereq, consider following relation",0,Introduction to Database Management Systems,0.0
129,"cartesian product, cartesian, product, cartesian product operation, product operation, product relation, cartesian product relation, cross",0,Introduction to Database Management Systems,0.0
130,"histogram, range, distribution, example histogram, value range, use histogram, range histogram, estimate",0,Introduction to Database Management Systems,0.0
131,"specialization, generalization, lattice, specialization generalization, hierarchy, hierarchy lattice, subclass, generalization specialization",0,Introduction to Database Management Systems,0.0
132,"deleted record, deleted, record, marker, deletion, record record, space, record deleted",0,Introduction to Database Management Systems,0.0
133,"nestedloop, nestedloop join, join, indexed nestedloop join, indexed nestedloop, block nestedloop, block nestedloop join, indexed",0,Introduction to Database Management Systems,0.0
134,"fragmentation, fragment, vertical, vertical fragmentation, horizontal, vertical fragment, horizontal fragmentation, reconstruct relation",28,Database Scalability and Partitioning,0.4575182986791899
135,"functional dependency, functional, dependency, functional dependency hold, dependency hold, relation schema, set functional, set functional dependency",25,Database Migration and Schema Evolution,0.3176423806549445
136,"gpa, rank, grade, student, student grade, rank student, order gpa, average",0,Introduction to Database Management Systems,0.0
137,"injection, sql injection, attack, injection attack, attacker, sql injection attack, manipulation attack, sql",3,Querying Relational Databases,0.3612204563363911
138,"rollback, cascading rollback, cascading, rolled, transaction rollback, transaction, rollback abort, rollback abort transaction",5,Transaction Management and ACID Properties,0.4062678601155774
139,"predicate, predicate true, clause, clause predicate, predicate clause, combination, predicate check clause, comparison predicate",0,Introduction to Database Management Systems,0.0
140,"isolation, isolation level, level, read, serializable, read committed, repeatable read, level isolation",5,Transaction Management and ACID Properties,0.10156696502889435
141,"decomposition, nonadditive, nonadditive join, join property, nonadditive join property, property, relation decomposition, decomposition nonadditive",0,Introduction to Database Management Systems,0.0
142,"timestamps, clock, timestamp, unique, unique timestamps, logical clock, generating unique, counter",23,Database Constraints and Triggers,0.23467448190965207
143,"precision, recall, precision recall, recall precision, measure, average precision, relevant, rank position",0,Introduction to Database Management Systems,0.0
144,"servlet, servlets, server, application server, servlets jsp, web server, jsp, glassfish",1,Relational Database Model,0.10078874713503898
145,"approach, problem, technique, described section, section procedure, technique approach, comfortable approach, comfortable",0,Introduction to Database Management Systems,0.0
146,"association, association rule, rule, negative association, mining, college yes, srikant, negative",20,Data Mining and Knowledge Discovery,0.3524952269153336
147,"certificate, digital, signature, digital signature, public key, digital certificate, public, authority",0,Introduction to Database Management Systems,0.0
148,"xquery, xquery expression, query xquery, xml, xquery language, xquery query, cast, type xquery",3,Querying Relational Databases,0.494282986958725
149,"benchmark, tpc, tpc benchmark, performance, tpca, performance benchmark, tpcc, tpcd",30,Database Performance Monitoring and Tuning,0.6084998184453019
150,"global transaction, local, global, site, transaction access, local transaction, multidatabase, transaction access data",5,Transaction Management and ACID Properties,0.3832519669549869
151,"exercise, exercise exercise, exercise practice, practice exercise, exercise practice exercise, practice, practice exercise practice, exercise exercise exercise",0,Introduction to Database Management Systems,0.0
152,"dimension, fact table, dimension table, fact, table dimension, table, table dimension table, fact table dimension",0,Introduction to Database Management Systems,0.0
153,"block, block map, spanned, rid, rid rid, length record, length, record",0,Introduction to Database Management Systems,0.0
154,"connection, connection pool, pool, connection connection, connection database, database connection, open, opened",25,Database Migration and Schema Evolution,0.3351856339155593
155,"ordering, definition relation, order attribute, order, schema relation, attribute unique schema, unique schema, ordering value tuple",25,Database Migration and Schema Evolution,0.2728385686976098
156,"parallelism, parallelize, parallel, evaluation, interquery, evaluation plan, parallelize operation, relational operation",1,Relational Database Model,0.33025381697646117
157,"failure, lost, crash, loss, storage, nonvolatile, nonvolatile storage, content",16,Data Compression and Encryption,0.31361669964951033
158,"chapter database, chapter database design, database design model, design model, database design, chapter, chapter relational database, chapter relational",2,Database Design and Normalization,0.3918562380608325
159,"discus, section discus, chapter discus, discus discus, section discus discus, later section discus, later section, chapter discus concept",0,Introduction to Database Management Systems,0.0
160,"entity, entity set, entity entity, entity entity set, attribute entity, set, entity set attribute, set attribute",6,Data Modeling and ER Diagrams,0.09922481925090243
161,"pipeline, pipelining, producerdriven, pipelined, demanddriven, producerdriven pipeline, intermediate result disk, result disk",0,Introduction to Database Management Systems,0.0
162,"price, sale, item, purchase, purchase order, sale relation, poid, order",0,Introduction to Database Management Systems,0.0
163,"superkey, superkey set attribute, superkey set, subset superkey, set attribute, attribute superkey, superkey superkey, superkeys",0,Introduction to Database Management Systems,0.0
164,"filegroup, file, filegroups, fileprocessing, directory, operating, file filegroup, placement",0,Introduction to Database Management Systems,0.0
165,"recovery, recovery algorithm, recovery algorithm section, recovery scheme, algorithm section, section recovery, recovery technique, mohan",21,Database Backup and Recovery,0.5501100303068919
166,"multisets, multiset, case, multiset type, array multiset, type added sql, array, added sql",3,Querying Relational Databases,0.3612204563363911
167,"cardinality, cardinality ratio, ratio, participation, ratio binary relationship, ratio binary, cardinality ratio binary, relationship",6,Data Modeling and ER Diagrams,0.09922481925090243
168,"odbc, odbc jdbc, jdbc, jdbc odbc, odbc api, api, server odbc, odbc odbc",0,Introduction to Database Management Systems,0.0
169,"prerequisite, prereq, course prerequisite, course, prerequisite course, new prereq, prereq prereq, course prereq",0,Introduction to Database Management Systems,0.0
170,"processor, parallel, multicore, core, parallel processing, multicore processor, parallel machine, parallelism",20,Data Mining and Knowledge Discovery,0.21066991777263241
171,"semester, select course, fall, course, spring, ece, select course section, section semester",0,Introduction to Database Management Systems,0.0
172,"primary key, key, candidate key, primary, candidate, key primary, key primary key, key chosen",23,Database Constraints and Triggers,0.23467448190965207
173,"administrator, database administrator, administrator database, user, database administrator database, database user, user database, dba",28,Database Scalability and Partitioning,0.22373343907520252
174,"omit detail, detail, simplicity, omit, following action, following action taken, gray, action taken",0,Introduction to Database Management Systems,0.0
175,"result, result query, result result, cause result, result query result, query result, show result, query show result",3,Querying Relational Databases,0.5790822707065071
176,"relation attribute, attribute relation, attribute, different relation, name, relation, attribute name, record attribute",25,Database Migration and Schema Evolution,0.07941059516373612
177,"figure figure figure, figure figure, figure, figure appears figure, cylinder figure, figure said, figure figure said, figure figure appears",0,Introduction to Database Management Systems,0.0
178,"mobile, mobile host, host, broadcast, energy, broadcast data, data broadcast, transmitted",29,Data Quality Assurance and Data Cleansing,0.5222407697060649
179,"movie, actor, director, producer, movie actor, movie director, preference, actor producer",0,Introduction to Database Management Systems,0.0
180,"xpath, xpath expression, expression, path expression, path, xquery, xpath path expression, xpath path",0,Introduction to Database Management Systems,0.0
181,"cursor, fetch, fetch command, query result, command, fetch orientation, declare cursor, iterator",3,Querying Relational Databases,0.5790822707065071
182,"form select, query form, query form select, query, query example, following query, select, sample query",3,Querying Relational Databases,0.5790822707065071
183,"msec, seek time, seek, transfer, transfer time, time, average seek time, millisecond",10,Time-Series and Geospatial Databases,0.45393659939439035
184,"instructor teach, instructor, teach, course instructor, taught, course, result instructor, instructor instructor",0,Introduction to Database Management Systems,0.0
185,"physical database design, physical database, physical, database design, design, physical design, factor influence, database design discus",2,Database Design and Normalization,0.4311996525359944
186,"record type, field, type, data type, number field, type record, type data, field value pair",29,Data Quality Assurance and Data Cleansing,0.5222407697060649
187,"session, cookie, session identifier, session object, servlet, identifier, userid, ongoing session",0,Introduction to Database Management Systems,0.0
188,"tablespace, table space, container, tablespaces, space, humanres, extent, table",0,Introduction to Database Management Systems,0.0
189,"crosstab, pivot, total inst, pivot clause, crosstabs, column, inst total inst, total inst total",0,Introduction to Database Management Systems,0.0
190,"equivalence rule, equivalence, expression, subexpression, rule, set equivalence, set equivalence rule, subexpressions",0,Introduction to Database Management Systems,0.0
191,"university, university database, campus, schema university, schema university database, university information, university schema, real university",25,Database Migration and Schema Evolution,0.3506139353381344
192,"instructor, tuples instructor, teach, instructor tuples, tuples, tuple instructor, instructor relation, tuple",0,Introduction to Database Management Systems,0.0
193,"relationship set, set relationship, entity set relationship, relationship, set relationship set, entity set, set, entity",6,Data Modeling and ER Diagrams,0.13613532890040753
194,"sql chapter, advanced sql chapter, chapter, chapter advanced sql, advanced sql, chapter advanced, sql chapter advanced, chapter oracle",3,Querying Relational Databases,0.3612204563363911
195,"ldap, directory, ldap server, attr, entry ldap, ldap data, access protocol, entry",7,Database Security and Access Control,0.3052145035830054
196,"spatial, spatial join, spatial data, spatial join index, spatial index, join index, index spatial, join index spatial",29,Data Quality Assurance and Data Cleansing,0.5222407697060649
197,"delete, insert, delete tuples, delete command, tuples, tuples relation, tuples delete, insert statement",0,Introduction to Database Management Systems,0.0
198,"street, address, city state, composite attribute, attribute street, composite, state zip, city",0,Introduction to Database Management Systems,0.0
199,"comparison, comparison operator, uppercase, operator, case sensitive, lowercase, string, like comparison operator",18,NoSQL Databases: Document Stores,0.24190366628525947
200,"superclass, subclass, superclass subclass, subclass relationship, subclass superclass, superclass subclass relationship, member subclass, member",6,Data Modeling and ER Diagrams,0.09922481925090243
201,"department, department relation, us attribute, dept, relation department, attribute us, us attribute us, attribute us attribute",0,Introduction to Database Management Systems,0.0
202,"decomposition, lossless, lossless decomposition, decomposition decomposition, decomposition algorithm, decomposition lossless, lossy decomposition, lossy",0,Introduction to Database Management Systems,0.0
203,"aries, aries recovery, recovery, aries recovery algorithm, recovery algorithm, recovery method, stateoftheart, recovery algorithm aries",21,Database Backup and Recovery,0.5501100303068919
204,"shadow, shadow directory, shadow paging, paging, directory, page page, page page page, current directory",0,Introduction to Database Management Systems,0.0
205,"workflow, workflow system, workflow management, example workflow, task, human, automate, organization",17,Data Governance and Master Data Management (MDM),0.12091472944340484
206,"team, player, game, sport, league, pitcher, recorded, played",0,Introduction to Database Management Systems,0.0
207,"tree, tree index, btree index, multilevel index, multilevel, tree tree, btree, index",0,Introduction to Database Management Systems,0.0
208,"shipped, order shipped, commerce, ecommerce, customer, warehouse list, tracking, order",14,Database Auditing and Logging,0.4029442642658047
209,"cascadeless, recoverable, schedule, cascadeless schedule, schedule recoverable, recoverability, strict schedule, strict",0,Introduction to Database Management Systems,0.0
210,"totalsal, salary, employee, salary totalsal, triggered, changing employee, old department, changing",0,Introduction to Database Management Systems,0.0
211,"ddl, datadefinition language, datadefinition, schema, datadefinition language ddl, language ddl, catalog, schema definition",25,Database Migration and Schema Evolution,0.17619629087874664
212,"php, java, scripting, scripting language, language, language java, programming language java, programming",1,Relational Database Model,0.10078874713503898
213,"join take, take, outer join, outer, select student, outer join take, student, natural",0,Introduction to Database Management Systems,0.0
214,"author, book, author array, publisher, array, title, keyword set, pub",0,Introduction to Database Management Systems,0.0
215,"validation, validation phase, phase, validation test, validated, validation phase validation, condition hold, phase start",0,Introduction to Database Management Systems,0.0
216,"output, buffer, modified buffer, buffer block, block, modified, buffer block disk, modified buffer block",0,Introduction to Database Management Systems,0.0
217,"network, localarea network, localarea, widearea, widearea network, area network, wireless, area",0,Introduction to Database Management Systems,0.0
218,"mozart, einstein, gold, califieri, kim, singh, crick, srinivasan",0,Introduction to Database Management Systems,0.0
219,"value element, complex, attribute attribute, attribute, attribute value element, attribute value, complex attribute, attribute left",15,Data Visualization and Reporting,0.10010479971097082
220,"keywords, set document, document contain, document, set keywords, document contain specified, contain, contain specified",18,NoSQL Databases: Document Stores,0.2901887707354227
221,"transaction second, transaction transaction, transaction type, second transaction, run transaction second, transaction, run transaction, type run",5,Transaction Management and ACID Properties,0.4062678601155774
222,"olap, processing olap, analytical, analytical processing olap, analytical processing, online analytical, online analytical processing, olap server",11,In-Memory Databases,0.3169550091492478
223,"view integration, view, integration, view database, view data, multiple view, integration approach, view integration approach",12,Data Migration and ETL Processes,0.4293127414823846
224,"path expression, path, expression, step path, set node, value path, value path expression, expression return single",13,Multi-Model Databases,0.09026539242002347
225,"consistency, inconsistency, consistency requirement, level consistency, consistent state, database consistent state, database consistent, ensure change database",5,Transaction Management and ACID Properties,0.24924775149629105
226,"fragment, fragment replicate, replicate, asymmetric, asymmetric fragment, asymmetric fragment replicate, replica fragment, replicated",0,Introduction to Database Management Systems,0.0
227,"oid, encapsulation, object, encapsulation operation, object identity, literal, value oid, literal value",0,Introduction to Database Management Systems,0.0
228,"car, vehicle, accident, license, sport car, woman annual, woman annual income, young woman annual",0,Introduction to Database Management Systems,0.0
229,"tag, end tag, tag specify, text, heading, tag tag, html, slash",0,Introduction to Database Management Systems,0.0
230,"budget, building budget, building, dept building, dept building budget, dept, department, budget department",0,Introduction to Database Management Systems,0.0
231,"instructor, instructor relation, einstein sure, student taught instructor, taught instructor named, einstein sure duplicate, sure duplicate result, id student taught",0,Introduction to Database Management Systems,0.0
232,"underlined, key underlined, primary key underlined, underlined primary, underlined primary key, key underlined primary, primary key, primary",23,Database Constraints and Triggers,0.23467448190965207
233,"language, datadefinition language, datadefinition, programming language, language language, programming, objectoriented, language differ",1,Relational Database Model,0.10078874713503898
