Bucket Number,Bucket
58,"tape, magnetic, magnetic tape, drive, tape drive, optical, jukebox, optical disk"
59,"weak entity, weak, weak entity set, entity, entity set, weak entity type, identifying, identifying relationship"
60,"twophase locking, twophase, locking, locking protocol, twophase locking protocol, protocol, lock, rigorous"
61,"query tree, transformation, tree, rewrite, query, select operation, rule, transformed"
62,"node, lock, mode, locked, lock node, exclusive, node locked, exclusive mode"
63,"cluster, clustering, distance, clustering algorithm, centroid, radius, birch, cluster record"
64,"precedence, precedence graph, graph, edge, cycle, graph schedule, precedence graph schedule, schedule"
65,"section section, section section section, section, section saw, saw, section section saw, saw section section, section saw section"
66,"atomicity, durability, consistency, property, atomicity durability, transaction atomicity, database consistency, consistent"
67,"employee, department, worksfor, department employee, employee department, employee work, foreign key, foreign"
68,"coordinator, site, ready, new coordinator, message, failed, coordinator fails, ready message"
69,"ontology, semantic, knowledge, concept, knowledge representation, synonym, semantic web, semantic data"
70,"uml, diagram, uml class diagram, uml class, class diagram, uml diagram, notation, modeling"
71,"node, searchkey value, searchkey, pointer, leaf, search key, leaf node, search"
72,"client, client server, tier, architecture, server, client server architecture, server architecture, tier client server"
73,"aborted, abort, transaction aborted, transaction, failure, abort transaction, subtransaction, transaction abort"
74,"union, intersection, union intersection, operation union, set difference, compatible, union compatible, set operation"
75,"parallel, parallel database, parallel database system, architecture, database system, parallel architecture, system, machine"
76,"relation schema, schema, set relation, set relation schema, relation, relational schema, design, schema containing attribute"
77,"flight, seat, reservation, airline, airport, traveler, seat selection, flight number"
78,"domain, atomic, domain attribute, atomic domain, attribute atomic, domain atomic, attribute domain, value domain"
79,"semistructured, unstructured, structured, unstructured data, semistructured data, extraction, information extraction, document"
80,"algorithm, algorithm figure, apply algorithm, algorithm apply, algorithm apply algorithm, compute, pseudocode, algorithm work"
81,"insertion, deletion, insertion deletion, insert, delete, select statement, rejected, delete operation"
82,"composite, multivalued, composite attribute, multivalued attribute, attribute, attribute composite, single valued, derived attribute"
83,"flash, flash memory, flash storage, magnetic disk, magnetic, memory, storage, erase"
84,"book, member, borrowed, librarian, member borrowed, isbn, borrowed book, member borrowed book"
85,"failure, type failure, site, distributed, failure site, continue, failed site, link"
86,"ssn, superssn, sex, ssn bdate address, ssn bdate, salary superssn, bdate address, bdate address sex"
87,"authentication, password, authenticate, user, user password, authentication service, authenticating, authenticating user"
88,"architecture, shareddisk, sharedmemory, sharednothing, sharednothing architecture, processor, shared, shareddisk architecture"
89,"itemsets, frequent, frequent itemsets, itemset, large itemsets, negative border, border, set item"
90,"checkpoint, checkpointing, fuzzy, checkpoint record, transaction checkpoint, fuzzy checkpointing, active transaction, checkpoint checkpoint"
91,"lsn, page, dirtypagetable, log record, dirty page, log, dirty, redo"
92,"view, view definition, create view, query view, view relation, view view, query expression, myview"
93,"student, person, alumnus, graduatestudent, undergraduate, graduate, employee student, set student"
94,"lope, okay aho hardly, okay, lope fan phipps, lope fan, park, hardly, fan phipps yes"
95,"privacy, security, database security, statistical database, statistical, security privacy, data privacy, law"
96,"search, web, agent, social, social search, usage, information, search engine"
97,"throughput, response, response time, number transaction, transaction second, transaction, harmonic mean throughput, mean throughput"
98,"grade, student, gradereport, university, coursenumber, student course, transcript, studentname"
99,"fiber, channel, fiber channel, iscsi, scsi, device, storage, network"
100,"null, null value, unknown, value, value exist, exist, null evaluate, unknown exist"
101,"course, credit, semester, title, offering, credit course, course course, course title"
102,"jdbc, driver, java, jdbc driver, java program, driver manager, jdbc api, oracle jdbc"
103,"memory, shared memory, shared, cache, cache memory, process access, memory manager, memory area"
104,"commit, commit protocol, twophase commit, twophase, protocol, twophase commit protocol, phase commit, phase commit protocol"
105,"delete, update, insert delete, delete update, statement, insert, update statement, update delete"
106,"creditcard, card, credit card, credit, payment, creditcard company, creditcard number, good"
107,"postgresql, mysql, postgres, pgadmin, opensource, tool, administration, stonebraker"
108,"database figure, relational database figure, consider relational database, consider relational, figure consider relational, figure consider, figure, database figure consider"
109,"color, clothes, clothes size, item color, color clothes size, color clothes, skirt, pastel"
110,"bottleneck, tuning, performance, performance tuning, component bottleneck, performance component, utility, improving"
111,"seek, block transfer, transfer, block, number block, buffer, worst case, worst"
112,"head, track, sector, write head, read write head, platter, surface, read write"
113,"availability, partition, network partition, network, site partition, site, site failure, network partitioning"
114,"term, document, relevance, frequency, idf, term document, occurrence, occurrence term"
115,"sql standard, standard, sql, version sql, sql sql, standard sql, version, feature"
116,"lowerlevel entity, lowerlevel entity set, lowerlevel, entity set, higherlevel entity, higherlevel, entity, higherlevel entity set"
117,"subelements, element, child, parent, subelements element, subelement, node, child element"
118,"backup, remote backup, remote, backup site, remote backup site, backup system, remote backup system, site"
119,"inheritance, subtype, multiple inheritance, supertype, supertypes, type hierarchy, subtypes, supertype subtype"
120,"embedded, embedded sql, host language, host, sql, language, programming, sql embedded"
121,"rename, alias, rename operation, renaming, project operation, unary, project, name"
122,"main memory, buffer, main, memory, block, disk block, memory buffer, disk main memory"
123,"sec, course, sec course, entity set section, set section, section entity, course sec, entity set"
124,"diagram, sequence diagram, statechart, use case, statechart diagram, class diagram, collaboration, interaction"
125,"odmg, odmg object, odl, odmg object model, object model, object, object definition, object definition language"
126,"array, php, element, array element, teaching, associative, element array, php array"
127,"relation relation, relation, prereq relation, relation prereq relation, relation practice exercise, relation practice, relation prereq, consider following relation"
128,"cartesian product, cartesian, product, cartesian product operation, product operation, product relation, cartesian product relation, cross"
129,"histogram, range, distribution, example histogram, value range, use histogram, range histogram, estimate"
130,"specialization, generalization, lattice, specialization generalization, hierarchy, hierarchy lattice, subclass, generalization specialization"
131,"deleted record, deleted, record, marker, deletion, record record, space, record deleted"
132,"nestedloop, nestedloop join, join, indexed nestedloop join, indexed nestedloop, block nestedloop, block nestedloop join, indexed"
133,"fragmentation, fragment, vertical, vertical fragmentation, horizontal, vertical fragment, horizontal fragmentation, reconstruct relation"
134,"functional dependency, functional, dependency, functional dependency hold, dependency hold, relation schema, set functional, set functional dependency"
135,"gpa, rank, grade, student, student grade, rank student, order gpa, average"
136,"injection, sql injection, attack, injection attack, attacker, sql injection attack, manipulation attack, sql"
137,"rollback, cascading rollback, cascading, rolled, transaction rollback, transaction, rollback abort, rollback abort transaction"
138,"predicate, predicate true, clause, clause predicate, predicate clause, combination, predicate check clause, comparison predicate"
139,"isolation, isolation level, level, read, serializable, read committed, repeatable read, level isolation"
140,"decomposition, nonadditive, nonadditive join, join property, nonadditive join property, property, relation decomposition, decomposition nonadditive"
141,"timestamps, clock, timestamp, unique, unique timestamps, logical clock, generating unique, counter"
142,"precision, recall, precision recall, recall precision, measure, average precision, relevant, rank position"
143,"servlet, servlets, server, application server, servlets jsp, web server, jsp, glassfish"
144,"approach, problem, technique, described section, section procedure, technique approach, comfortable approach, comfortable"
145,"association, association rule, rule, negative association, mining, college yes, srikant, negative"
146,"certificate, digital, signature, digital signature, public key, digital certificate, public, authority"
147,"xquery, xquery expression, query xquery, xml, xquery language, xquery query, cast, type xquery"
148,"benchmark, tpc, tpc benchmark, performance, tpca, performance benchmark, tpcc, tpcd"
149,"global transaction, local, global, site, transaction access, local transaction, multidatabase, transaction access data"
150,"exercise, exercise exercise, exercise practice, practice exercise, exercise practice exercise, practice, practice exercise practice, exercise exercise exercise"
151,"dimension, fact table, dimension table, fact, table dimension, table, table dimension table, fact table dimension"
152,"block, block map, spanned, rid, rid rid, length record, length, record"
153,"connection, connection pool, pool, connection connection, connection database, database connection, open, opened"
154,"ordering, definition relation, order attribute, order, schema relation, attribute unique schema, unique schema, ordering value tuple"
155,"parallelism, parallelize, parallel, evaluation, interquery, evaluation plan, parallelize operation, relational operation"
156,"failure, lost, crash, loss, storage, nonvolatile, nonvolatile storage, content"
157,"chapter database, chapter database design, database design model, design model, database design, chapter, chapter relational database, chapter relational"
158,"discus, section discus, chapter discus, discus discus, section discus discus, later section discus, later section, chapter discus concept"
159,"entity, entity set, entity entity, entity entity set, attribute entity, set, entity set attribute, set attribute"
160,"pipeline, pipelining, producerdriven, pipelined, demanddriven, producerdriven pipeline, intermediate result disk, result disk"
161,"price, sale, item, purchase, purchase order, sale relation, poid, order"
162,"superkey, superkey set attribute, superkey set, subset superkey, set attribute, attribute superkey, superkey superkey, superkeys"
163,"filegroup, file, filegroups, fileprocessing, directory, operating, file filegroup, placement"
164,"recovery, recovery algorithm, recovery algorithm section, recovery scheme, algorithm section, section recovery, recovery technique, mohan"
165,"multisets, multiset, case, multiset type, array multiset, type added sql, array, added sql"
166,"cardinality, cardinality ratio, ratio, participation, ratio binary relationship, ratio binary, cardinality ratio binary, relationship"
167,"odbc, odbc jdbc, jdbc, jdbc odbc, odbc api, api, server odbc, odbc odbc"
168,"prerequisite, prereq, course prerequisite, course, prerequisite course, new prereq, prereq prereq, course prereq"
169,"processor, parallel, multicore, core, parallel processing, multicore processor, parallel machine, parallelism"
170,"semester, select course, fall, course, spring, ece, select course section, section semester"
171,"primary key, key, candidate key, primary, candidate, key primary, key primary key, key chosen"
172,"administrator, database administrator, administrator database, user, database administrator database, database user, user database, dba"
173,"omit detail, detail, simplicity, omit, following action, following action taken, gray, action taken"
174,"result, result query, result result, cause result, result query result, query result, show result, query show result"
175,"relation attribute, attribute relation, attribute, different relation, name, relation, attribute name, record attribute"
176,"figure figure figure, figure figure, figure, figure appears figure, cylinder figure, figure said, figure figure said, figure figure appears"
177,"mobile, mobile host, host, broadcast, energy, broadcast data, data broadcast, transmitted"
178,"movie, actor, director, producer, movie actor, movie director, preference, actor producer"
179,"xpath, xpath expression, expression, path expression, path, xquery, xpath path expression, xpath path"
180,"cursor, fetch, fetch command, query result, command, fetch orientation, declare cursor, iterator"
181,"form select, query form, query form select, query, query example, following query, select, sample query"
182,"msec, seek time, seek, transfer, transfer time, time, average seek time, millisecond"
183,"instructor teach, instructor, teach, course instructor, taught, course, result instructor, instructor instructor"
184,"physical database design, physical database, physical, database design, design, physical design, factor influence, database design discus"
185,"record type, field, type, data type, number field, type record, type data, field value pair"
186,"session, cookie, session identifier, session object, servlet, identifier, userid, ongoing session"
187,"tablespace, table space, container, tablespaces, space, humanres, extent, table"
188,"crosstab, pivot, total inst, pivot clause, crosstabs, column, inst total inst, total inst total"
189,"equivalence rule, equivalence, expression, subexpression, rule, set equivalence, set equivalence rule, subexpressions"
190,"university, university database, campus, schema university, schema university database, university information, university schema, real university"
191,"instructor, tuples instructor, teach, instructor tuples, tuples, tuple instructor, instructor relation, tuple"
192,"relationship set, set relationship, entity set relationship, relationship, set relationship set, entity set, set, entity"
193,"sql chapter, advanced sql chapter, chapter, chapter advanced sql, advanced sql, chapter advanced, sql chapter advanced, chapter oracle"
194,"ldap, directory, ldap server, attr, entry ldap, ldap data, access protocol, entry"
195,"spatial, spatial join, spatial data, spatial join index, spatial index, join index, index spatial, join index spatial"
196,"delete, insert, delete tuples, delete command, tuples, tuples relation, tuples delete, insert statement"
197,"street, address, city state, composite attribute, attribute street, composite, state zip, city"
198,"comparison, comparison operator, uppercase, operator, case sensitive, lowercase, string, like comparison operator"
199,"superclass, subclass, superclass subclass, subclass relationship, subclass superclass, superclass subclass relationship, member subclass, member"
200,"department, department relation, us attribute, dept, relation department, attribute us, us attribute us, attribute us attribute"
201,"decomposition, lossless, lossless decomposition, decomposition decomposition, decomposition algorithm, decomposition lossless, lossy decomposition, lossy"
202,"aries, aries recovery, recovery, aries recovery algorithm, recovery algorithm, recovery method, stateoftheart, recovery algorithm aries"
203,"shadow, shadow directory, shadow paging, paging, directory, page page, page page page, current directory"
204,"workflow, workflow system, workflow management, example workflow, task, human, automate, organization"
205,"team, player, game, sport, league, pitcher, recorded, played"
206,"tree, tree index, btree index, multilevel index, multilevel, tree tree, btree, index"
207,"shipped, order shipped, commerce, ecommerce, customer, warehouse list, tracking, order"
208,"cascadeless, recoverable, schedule, cascadeless schedule, schedule recoverable, recoverability, strict schedule, strict"
209,"totalsal, salary, employee, salary totalsal, triggered, changing employee, old department, changing"
210,"ddl, datadefinition language, datadefinition, schema, datadefinition language ddl, language ddl, catalog, schema definition"
211,"php, java, scripting, scripting language, language, language java, programming language java, programming"
212,"join take, take, outer join, outer, select student, outer join take, student, natural"
213,"author, book, author array, publisher, array, title, keyword set, pub"
214,"validation, validation phase, phase, validation test, validated, validation phase validation, condition hold, phase start"
215,"output, buffer, modified buffer, buffer block, block, modified, buffer block disk, modified buffer block"
216,"network, localarea network, localarea, widearea, widearea network, area network, wireless, area"
217,"mozart, einstein, gold, califieri, kim, singh, crick, srinivasan"
218,"value element, complex, attribute attribute, attribute, attribute value element, attribute value, complex attribute, attribute left"
219,"keywords, set document, document contain, document, set keywords, document contain specified, contain, contain specified"
220,"transaction second, transaction transaction, transaction type, second transaction, run transaction second, transaction, run transaction, type run"
221,"olap, processing olap, analytical, analytical processing olap, analytical processing, online analytical, online analytical processing, olap server"
222,"view integration, view, integration, view database, view data, multiple view, integration approach, view integration approach"
223,"path expression, path, expression, step path, set node, value path, value path expression, expression return single"
224,"consistency, inconsistency, consistency requirement, level consistency, consistent state, database consistent state, database consistent, ensure change database"
225,"fragment, fragment replicate, replicate, asymmetric, asymmetric fragment, asymmetric fragment replicate, replica fragment, replicated"
226,"oid, encapsulation, object, encapsulation operation, object identity, literal, value oid, literal value"
227,"car, vehicle, accident, license, sport car, woman annual, woman annual income, young woman annual"
228,"tag, end tag, tag specify, text, heading, tag tag, html, slash"
229,"budget, building budget, building, dept building, dept building budget, dept, department, budget department"
230,"instructor, instructor relation, einstein sure, student taught instructor, taught instructor named, einstein sure duplicate, sure duplicate result, id student taught"
231,"underlined, key underlined, primary key underlined, underlined primary, underlined primary key, key underlined primary, primary key, primary"
232,"language, datadefinition language, datadefinition, programming language, language language, programming, objectoriented, language differ"
233,"item, data item, database item, item transaction, data item transaction, transaction, transaction data, data item database"
234,"normalization, denormalization, normalized, design, denormalization performance, normalization normalization, normal form normalization, bad database design"
235,"diagram figure, diagram, diagram figure diagram, figure diagram, consider diagram figure, consider diagram, figure diagram figure, figure consider diagram"
236,"phone, phone number, attribute phone, attribute phone number, home phone, home, number, area code"
237,"safe, safety, rule, unsafe, expression, said safe, expression safe, safety expression"
238,"subclass, specialization, subclass specialization, superclass, defined, defined subclass, disjoint, belong subclass"
239,"locking, lock, locking index, granularity, concurrency, index, locking granularity, indexlocking"
240,"student, student enrolled, enrolled, register, retrieve name, name student, count, registration"
241,"columnoriented, storage, columnoriented storage, storage manager, exadata, column based, column based storage, based storage"
242,"web service, service, soap, web, http, webservice, parameter result, http request"
243,"employee tuple, employee, nested query, select employee, select employee tuple, exists, nested, dependent"
244,"operator, operator class, gist, gist operator class, creating operator class, operator symbol, default operator, default operator class"
245,"workflow, task, agent, task agent, scheduler, requirement workflow, processing entity, precondition"
246,"schedule figure, consider schedule, schedule, consider schedule figure, consider partial schedule, partial schedule figure, consider partial, partial schedule"
247,"test, assertion, infinitely, created test validity, test test, costly test assertion, arbitrary predicate costly, assertion created test"
248,"participation, total participation, participate relationship, participate, total, relationship, participation entity, relationship set"
249,"longduration, multilevel transaction, longduration transaction, multilevel, transaction, transaction nested, autonomous transaction, nested multilevel"
250,"log, log record, new value, item log, value updated, update log record, update log, data item"
251,"geometryobject, circle, interface, short, triangle, referencepoint, area, rectangle"
252,"canonical cover, canonical, cover, set functional dependency, set functional, canonical cover set, cover set, dependency"
253,"waitfor, waitfor graph, graph, local waitfor graph, local waitfor, local, edge, waitfor graph figure"
254,"data dictionary, dictionary, catalog, metadata, data data, data dictionary store, dictionary store, data data dictionary"
255,"constructor, structured type, type constructor, structured, type, struct, collection type, construct"
256,"sqlj, java, double, jdbc, sql sqlj, embedded sql, embedded, sqlj java"
257,"example example, illustrate, example illustrate, following example, illustrate use, following example example, illustrate use exists, example"
258,"link, page, anchor text, anchor, web page, hyperlink, text, stanford"
259,"longduration, long transaction, longduration transaction, starvation, long, victim, transaction, transaction progress"
260,"host, copy document, versionvector, versionvector scheme, vdi, copy, document host, scheme"
261,"mean time, failure, mean, mean time failure, time failure, hour, disk, failure disk"
262,"bread, milk, juice, milk bread, cooky, bread juice, bread cooky, percent"
263,"oledb, data source, source, linked server, oledb data, oledb data source, linked, docauthor"
264,"ternary, ternary relationship, binary relationship, relationship, binary, father, degree, mother"
265,"false, true false, true, unknown, false false, true true, false true, false unknown"
266,"architecture, threetier architecture, architecture figure, threetier, application architecture, application architecture evolved, twotier threetier architecture, twotier threetier"
267,"ordered, ordering field, field, record order, file, file ordered record, ordered record, ordering"
268,"audit, trail, audit trail, create audit trail, create audit, security, carried, breach"
269,"notation, notation notation, alternative notation, alternative, notation notation notation, arrow notation, figure alternative notation, notation alternative"
270,"character, escape, pattern, match string, escape character, abcd, pattern matching, string"
271,"extraneous, logically implies, hold, implies, logically implies extraneous, extraneous logically, implies extraneous, logically"
272,"cube, rollup, data cube, cube rollup, rollup operation, rollup construct, cube rollup operation, entire data cube"
273,"join, join parallel, join algorithm, computes join, locally, processor, parallel, parallel join algorithm"
274,"memory, main memory, main, cache, large main, large main memory, memory cache, cache memory"
275,"searchkey, searchkey value, record searchkey value, record searchkey, search key, index entry, nonunique, deleted"
276,"persistent programming, persistent programming language, persistent, programming language, programming, language, language persistent programming, language persistent"
277,"buyer, seller, bid, auction, price, marketplace, multiple seller, multiple buyer"
278,"exception, error, catch, exception handling, error condition, sqlexception, exception condition, handling"
279,"hierarchy, region, country, region country, group region, region country state, hierarchical, country state"
280,"dvd, digital video, digital video disk, video disk, compact disk, disk dvd, video, digital"
281,"relational model, codd, model, relational, paper, paper codd, model chapter, landmark paper"
282,"estimate, size, size estimate, estimated size, size estimation, approximation, accurate, assumption"
283,"query language, language, language sql, widely query language, widely query, study widely query, study widely, query language sql"
284,"create table, table, create table command, create, stand table, table command, table book, command create table"
285,"vector machine, support vector machine, support vector, classifier, learning, vector, training set, learning method"
286,"rose, rational rose, rational, rose data, data modeler, modeler, rose data modeler, rational rose data"
287,"bank database, bank database figure, consider bank, bank, consider bank database, figure consider bank, database figure, database figure consider"
288,"atom, formula, atom formula, relation atom, formula atom, atom following, atom true, atom form"
289,"buffer, buffer management, buffering, operating, buffer replacement, virtualmemory, replacement, management"
290,"bound, formula, tuple variable, free, variable bound, variable, free bound, formula true"
291,"normalization, functional dependency normalization, chapter basic functional, basic functional, normalization relational database, normalization relational, dependency normalization relational, basic functional dependency"
292,"pstmt, instructor, pstmt setint, setint, figure instructor, pstmt setstring, setstring, figure instructor relation"
293,"merge join, mergejoin, merge, mergejoin algorithm, join attribute, sorted, join, hybrid"
294,"tuning, database tuning, workload, tuning process, tune database, guideline database, database tuning assistant, tuning assistant"
295,"termination state, termination, workflow, acceptable termination, acceptable termination state, acceptable, state, scheduler"
296,"selection, selectivity, selection condition, value selection, selection form, complex selection, number distinct value, equality"
297,"instructor, teach, instructor teach, course, taught, select course instructor, query instructor, course instructor"
298,"authorization, authorization specified sql, action control, rolebased authorization, rolebased, authorization specified, authorization access, authorization authorization"
299,"phone, phone number, instructor, instructor entity set, instructor entity, attribute phone, attribute phone number, phone number instructor"
300,"eer, eer model, relational mapping, design eer, database design eer, mapping, eer relational mapping, eer relational"
301,"constraint, constraint constraint, character vin, character vin country, country manufacture, vin country manufacture, vin country, express special form"
302,"sale, reg, qtr, quarter, region, qtr qtr, reg reg, fiscal"
303,"information, knowledge, procedure obtaining information, information giving specific, overabundance, giving specific procedure, specific procedure, obtaining information"
304,"section summarizes, summarizes chapter, section summarizes chapter, summarizes, chapter section summarizes, chapter section, summarizes chapter section, section"
305,"design, good design, design process, bad design, design methodology, bad, quality, reasonable chance"
306,"tree file organization, tree file, file organization, tree, organization, file, use tree, use tree file"
307,"procedure, function procedure, conditional, sql psm, psm, procedure function, statement, statement list"
308,"chapter concurrency control, chapter concurrency, concurrency control, yes yes, concurrency, yes yes yes, false false, yes"
309,"deductive, deductive database, introduction deductive, introduction deductive database, ancestor, father, deductive database system, father ancestor"
310,"merge, run, sorted run, run merged, merge pass, merges, sorted, pass"
311,"query tree, query graph, representation query, relational algebra, represent relational, tree, graph, algebra"
312,"schedule, write operation, read write operation, read write, operation schedule, read, write operation schedule, read write instruction"
313,"query shown figure, query shown, figure relation result, relation result preceding, preceding query shown, shown figure, result preceding query, result preceding"
314,"version, version number, version data, version data item, data item, new version, current version, specified version number"
315,"scheme, scheme advantage, advantage, disadvantage, situation scheme, advantage simple, scheme advantage simple, advantage simple implementation"
316,"block, department block, recently, mru strategy, mru, seek, disk seek, recently block"
317,"physic comp, physic comp finance, finance music, comp finance, comp finance music, physic, history physic comp, history physic"
318,"tsti, wtimestampq, tsti wtimestampq, rtimestampq, tsti rtimestampq, tsti rtimestampq value, rtimestamp, rtimestampq value"
319,"bounding, bounding box, box, box object, bounding box object, rectangle, node bounding box, node bounding"
320,"quote, single quote, string, mark, apostrophe, single, hyphen punctuation mark, punctuation"
321,"loop, fetch, fetch tuple, loop iterate, result set, tuple result, loop iterates, iterates"
322,"selection, disjunctive, conjunctive selection, conjunctive, projection, disjunctive selection, disjunctive condition, selection selection"
323,"reorganization, temporary file, time consuming, time consuming large, consuming large, consuming large file, operation reorganization, temporary file disk"
324,"quadtree, quadtrees, region, division space, division, set point, quad tree, graphically tree"
325,"update statistic, statistic, modification, update, overhead modification database, overhead modification, system update statistic, update statistic automatically"
326,"decisiontree, decisiontree classifier, classifier, decision tree, decision, type classifier, class label, training"
327,"default value, default, null, attribute default, null constraint, attribute default value, specified attribute, specified default"
328,"database programming, approach database programming, approach database, database programming technique, programming, main approach database, programming technique, main approach"
329,"credit, year, tot credit, tot, total credit, avgnum credit, year avgnum, avgnum"
330,"assumption, state assumption, assumption state, state clearly, state, assumption state assumption, state assumption state, clearly"
331,"trigger view, chapter sql complex, view schema modification, query trigger view, trigger view schema, complex query trigger, sql complex query, schema modification"
332,"disk, rate, storage capacity, megabyte, transfer rate, capacity, disk cost, cost"
333,"input, output tuples, input tuples, output, pipelined input, pipelined, tuples, output buffer"
334,"organized follows chapter, chapter organized, chapter organized follows, follows chapter, organized follows, chapter shall, chapter, chapter shall return"
335,"update, temporary update, temporary update problem, update problem, corrected, correction, data database, updating database"
336,"temp, compute temp, temp compute, ship temp, temp compute temp, ship, temp ship temp, temp ship"
337,"collection, raise, void, collection object, bag, dictionary, raise void, object"
338,"relation figure, figure relation figure, figure, figure relation, obtain relation, relation shown figure, relation shown, relation figure relation"
339,"polygon, triangle, point line, triangulated, representation polygon, polyhedron, triangle rectangle, representation"
340,"condition box, condition, selectfromwhere, box, identical essn value, identical essn, statement specifies condition, essn value query"
341,"recursive, recursive view, view relation, view, recursive query, us recursive, view relation instance, us recursive view"
342,"report, reporting, gnu, report generator, generator, reporting service, sql server reporting, server reporting service"
343,"update, view, view update, desired update, productx, mapped update, base relation, underlying base"
344,"single user, multiuser, singleuser, center, multiuser system, multiple user, access database, multiple program"
345,"postgresql, type postgresql, extension type, extension, base type, postgresql type, type, postgresql type postgresql"
346,"supervise, supervise true, supervise supervise, true supervise, supervise true supervise, true supervise true, supervise supervise supervise, supervisor"
347,"finance biology comp, history finance biology, finance biology, history finance, comp history, comp history finance, biology comp, biology comp history"
348,"steal, recovery, force, steal force, steal approach, steal steal, deferred update, undo needed recovery"
349,"set attribute, let set attribute, let set, attribute hold, set attribute hold, hold let, attribute hold let, attribute hold hold"
