titleSlug,title,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
valid-sudoku,Valid Sudoku,Medium,58.13814906,FALSE,"array,hash-table,matrix",algorithms
sudoku-solver,Sudoku Solver,Hard,57.81008012,FALSE,"array,hash-table,backtracking,matrix",algorithms
count-and-say,Count and Say,Medium,52.17342095,FALSE,string,algorithms
combination-sum,Combination Sum,Medium,68.67409714,FALSE,"array,backtracking",algorithms
combination-sum-ii,Combination Sum II,Medium,53.41243324,FALSE,"array,backtracking",algorithms
first-missing-positive,First Missing Positive,Hard,36.74943145,FALSE,"array,hash-table",algorithms
trapping-rain-water,Trapping Rain Water,Hard,59.27604386,FALSE,"array,two-pointers,dynamic-programming,stack,monotonic-stack",algorithms
multiply-strings,Multiply Strings,Medium,39.20340137,FALSE,"math,string,simulation",algorithms
wildcard-matching,Wildcard Matching,Hard,26.94430093,FALSE,"string,dynamic-programming,greedy,recursion",algorithms
jump-game-ii,Jump Game II,Medium,39.85802761,FALSE,"array,dynamic-programming,greedy",algorithms
permutations,Permutations,Medium,75.73297618,FALSE,"array,backtracking",algorithms
permutations-ii,Permutations II,Medium,57.39505952,FALSE,"array,backtracking",algorithms
rotate-image,Rotate Image,Medium,71.08554181,FALSE,"array,math,matrix",algorithms
group-anagrams,Group Anagrams,Medium,66.77564966,FALSE,"array,hash-table,string,sorting",algorithms
powx-n,"Pow(x, n)",Medium,33.06987756,FALSE,"math,recursion",algorithms
n-queens,N-Queens,Hard,64.31032198,FALSE,"array,backtracking",algorithms
n-queens-ii,N-Queens II,Hard,71.64811784,FALSE,backtracking,algorithms
maximum-subarray,Maximum Subarray,Medium,50.17462254,FALSE,"array,divide-and-conquer,dynamic-programming",algorithms
spiral-matrix,Spiral Matrix,Medium,45.06922989,FALSE,"array,matrix,simulation",algorithms
jump-game,Jump Game,Medium,38.92922165,FALSE,"array,dynamic-programming,greedy",algorithms
merge-intervals,Merge Intervals,Medium,46.19656537,FALSE,"array,sorting",algorithms
insert-interval,Insert Interval,Medium,39.0536229,FALSE,array,algorithms
length-of-last-word,Length of Last Word,Easy,43.06586793,FALSE,string,algorithms
spiral-matrix-ii,Spiral Matrix II,Medium,67.45119282,FALSE,"array,matrix,simulation",algorithms
permutation-sequence,Permutation Sequence,Hard,44.41906548,FALSE,"math,recursion",algorithms
rotate-list,Rotate List,Medium,36.11953299,FALSE,"linked-list,two-pointers",algorithms
unique-paths,Unique Paths,Medium,62.69129738,FALSE,"math,dynamic-programming,combinatorics",algorithms
unique-paths-ii,Unique Paths II,Medium,39.43146589,FALSE,"array,dynamic-programming,matrix",algorithms
minimum-path-sum,Minimum Path Sum,Medium,62.0078029,FALSE,"array,dynamic-programming,matrix",algorithms
valid-number,Valid Number,Hard,18.72829514,FALSE,string,algorithms
plus-one,Plus One,Easy,43.70911962,FALSE,"array,math",algorithms
add-binary,Add Binary,Easy,52.39897813,FALSE,"math,string,bit-manipulation,simulation",algorithms
text-justification,Text Justification,Hard,37.45799848,FALSE,"array,string,simulation",algorithms
sqrtx,Sqrt(x),Easy,37.44998137,FALSE,"math,binary-search",algorithms
climbing-stairs,Climbing Stairs,Easy,52.18633716,FALSE,"math,dynamic-programming,memoization",algorithms
simplify-path,Simplify Path,Medium,40.58434162,FALSE,"string,stack",algorithms
edit-distance,Edit Distance,Hard,54.46793485,FALSE,"string,dynamic-programming",algorithms
set-matrix-zeroes,Set Matrix Zeroes,Medium,51.34645829,FALSE,"array,hash-table,matrix",algorithms
search-a-2d-matrix,Search a 2D Matrix,Medium,47.77991505,FALSE,"array,binary-search,matrix",algorithms
sort-colors,Sort Colors,Medium,58.66325467,FALSE,"array,two-pointers,sorting",algorithms
minimum-window-substring,Minimum Window Substring,Hard,40.91046866,FALSE,"hash-table,string,sliding-window",algorithms
combinations,Combinations,Medium,67.04369756,FALSE,backtracking,algorithms
subsets,Subsets,Medium,74.97269022,FALSE,"array,backtracking,bit-manipulation",algorithms
word-search,Word Search,Medium,40.25872556,FALSE,"array,backtracking,matrix",algorithms
remove-duplicates-from-sorted-array-ii,Remove Duplicates from Sorted Array II,Medium,52.36556384,FALSE,"array,two-pointers",algorithms
search-in-rotated-sorted-array-ii,Search in Rotated Sorted Array II,Medium,35.7138924,FALSE,"array,binary-search",algorithms
remove-duplicates-from-sorted-list-ii,Remove Duplicates from Sorted List II,Medium,45.94873095,FALSE,"linked-list,two-pointers",algorithms
remove-duplicates-from-sorted-list,Remove Duplicates from Sorted List,Easy,50.65972916,FALSE,linked-list,algorithms
largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,42.64062465,FALSE,"array,stack,monotonic-stack",algorithms
maximal-rectangle,Maximal Rectangle,Hard,44.80975235,FALSE,"array,dynamic-programming,stack,matrix,monotonic-stack",algorithms
partition-list,Partition List,Medium,52.03098231,FALSE,"linked-list,two-pointers",algorithms
scramble-string,Scramble String,Hard,39.01267905,FALSE,"string,dynamic-programming",algorithms
merge-sorted-array,Merge Sorted Array,Easy,46.68134887,FALSE,"array,two-pointers,sorting",algorithms
gray-code,Gray Code,Medium,57.23330341,FALSE,"math,backtracking,bit-manipulation",algorithms
subsets-ii,Subsets II,Medium,55.91195234,FALSE,"array,backtracking,bit-manipulation",algorithms
decode-ways,Decode Ways,Medium,32.75824667,FALSE,"string,dynamic-programming",algorithms
reverse-linked-list-ii,Reverse Linked List II,Medium,45.45056668,FALSE,linked-list,algorithms
restore-ip-addresses,Restore IP Addresses,Medium,47.49777927,FALSE,"string,backtracking",algorithms
binary-tree-inorder-traversal,Binary Tree Inorder Traversal,Easy,73.85708947,FALSE,"stack,tree,depth-first-search,binary-tree",algorithms
unique-binary-search-trees-ii,Unique Binary Search Trees II,Medium,52.46102315,FALSE,"dynamic-programming,backtracking,tree,binary-search-tree,binary-tree",algorithms
unique-binary-search-trees,Unique Binary Search Trees,Medium,59.70779861,FALSE,"math,dynamic-programming,tree,binary-search-tree,binary-tree",algorithms
interleaving-string,Interleaving String,Medium,37.35980546,FALSE,"string,dynamic-programming",algorithms
validate-binary-search-tree,Validate Binary Search Tree,Medium,32.0142177,FALSE,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
recover-binary-search-tree,Recover Binary Search Tree,Medium,51.06259281,FALSE,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
same-tree,Same Tree,Easy,58.23893422,FALSE,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
symmetric-tree,Symmetric Tree,Easy,54.37567714,FALSE,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,64.43110626,FALSE,"tree,breadth-first-search,binary-tree",algorithms
binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,56.94174456,FALSE,"tree,breadth-first-search,binary-tree",algorithms
maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,73.93260491,FALSE,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,Medium,61.60241229,FALSE,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
construct-binary-tree-from-inorder-and-postorder-traversal,Construct Binary Tree from Inorder and Postorder Traversal,Medium,60.04355071,FALSE,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
binary-tree-level-order-traversal-ii,Binary Tree Level Order Traversal II,Medium,61.23117013,FALSE,"tree,breadth-first-search,binary-tree",algorithms
convert-sorted-array-to-binary-search-tree,Convert Sorted Array to Binary Search Tree,Easy,69.8952039,FALSE,"array,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
convert-sorted-list-to-binary-search-tree,Convert Sorted List to Binary Search Tree,Medium,60.25902431,FALSE,"linked-list,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
balanced-binary-tree,Balanced Binary Tree,Easy,49.1318614,FALSE,"tree,depth-first-search,binary-tree",algorithms
minimum-depth-of-binary-tree,Minimum Depth of Binary Tree,Easy,44.50672694,FALSE,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
path-sum,Path Sum,Easy,48.32836329,FALSE,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
path-sum-ii,Path Sum II,Medium,57.13109995,FALSE,"backtracking,tree,depth-first-search,binary-tree",algorithms
flatten-binary-tree-to-linked-list,Flatten Binary Tree to Linked List,Medium,61.8779191,FALSE,"linked-list,stack,tree,depth-first-search,binary-tree",algorithms
distinct-subsequences,Distinct Subsequences,Hard,44.53122469,FALSE,"string,dynamic-programming",algorithms
populating-next-right-pointers-in-each-node,Populating Next Right Pointers in Each Node,Medium,60.4849127,FALSE,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
populating-next-right-pointers-in-each-node-ii,Populating Next Right Pointers in Each Node II,Medium,50.30418244,FALSE,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
pascals-triangle,Pascal's Triangle,Easy,70.85637554,FALSE,"array,dynamic-programming",algorithms
pascals-triangle-ii,Pascal's Triangle II,Easy,60.84050526,FALSE,"array,dynamic-programming",algorithms
triangle,Triangle,Medium,54.5210343,FALSE,"array,dynamic-programming",algorithms
best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,54.29780288,FALSE,"array,dynamic-programming",algorithms
best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,63.93272835,FALSE,"array,dynamic-programming,greedy",algorithms
best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,45.56531983,FALSE,"array,dynamic-programming",algorithms
binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,39.22209879,FALSE,"dynamic-programming,tree,depth-first-search,binary-tree",algorithms
valid-palindrome,Valid Palindrome,Easy,44.42514331,FALSE,"two-pointers,string",algorithms
word-ladder-ii,Word Ladder II,Hard,27.48872778,FALSE,"hash-table,string,backtracking,breadth-first-search",algorithms
word-ladder,Word Ladder,Hard,37.19865025,FALSE,"hash-table,string,breadth-first-search",algorithms
longest-consecutive-sequence,Longest Consecutive Sequence,Medium,48.46309062,FALSE,"array,hash-table,union-find",algorithms
sum-root-to-leaf-numbers,Sum Root to Leaf Numbers,Medium,61.07454105,FALSE,"tree,depth-first-search,binary-tree",algorithms
surrounded-regions,Surrounded Regions,Medium,36.8241332,FALSE,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
palindrome-partitioning,Palindrome Partitioning,Medium,64.90897195,FALSE,"string,dynamic-programming,backtracking",algorithms
palindrome-partitioning-ii,Palindrome Partitioning II,Hard,33.78504311,FALSE,"string,dynamic-programming",algorithms
clone-graph,Clone Graph,Medium,53.11312832,FALSE,"hash-table,depth-first-search,breadth-first-search,graph",algorithms
gas-station,Gas Station,Medium,46.08005411,FALSE,"array,greedy",algorithms
candy,Candy,Hard,41.0251175,FALSE,"array,greedy",algorithms
single-number,Single Number,Easy,70.73781213,FALSE,"array,bit-manipulation",algorithms
single-number-ii,Single Number II,Medium,58.54035797,FALSE,"array,bit-manipulation",algorithms
copy-list-with-random-pointer,Copy List with Random Pointer,Medium,51.42301668,FALSE,"hash-table,linked-list",algorithms
word-break,Word Break,Medium,45.58304266,FALSE,"array,hash-table,string,dynamic-programming,trie,memoization",algorithms
word-break-ii,Word Break II,Hard,45.33111781,FALSE,"array,hash-table,string,dynamic-programming,backtracking,trie,memoization",algorithms
linked-list-cycle,Linked List Cycle,Easy,47.51190484,FALSE,"hash-table,linked-list,two-pointers",algorithms
linked-list-cycle-ii,Linked List Cycle II,Medium,48.85352719,FALSE,"hash-table,linked-list,two-pointers",algorithms
reorder-list,Reorder List,Medium,52.64487176,FALSE,"linked-list,two-pointers,stack,recursion",algorithms
binary-tree-preorder-traversal,Binary Tree Preorder Traversal,Easy,66.93974008,FALSE,"stack,tree,depth-first-search,binary-tree",algorithms
binary-tree-postorder-traversal,Binary Tree Postorder Traversal,Easy,68.05834321,FALSE,"stack,tree,depth-first-search,binary-tree",algorithms
lru-cache,LRU Cache,Medium,40.69929417,FALSE,"hash-table,linked-list,design,doubly-linked-list",algorithms
insertion-sort-list,Insertion Sort List,Medium,51.11165607,FALSE,"linked-list,sorting",algorithms
sort-list,Sort List,Medium,55.20970615,FALSE,"linked-list,two-pointers,divide-and-conquer,sorting,merge-sort",algorithms
max-points-on-a-line,Max Points on a Line,Hard,25.16597555,FALSE,"array,hash-table,math,geometry",algorithms
evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,45.90570349,FALSE,"array,math,stack",algorithms
reverse-words-in-a-string,Reverse Words in a String,Medium,32.86708912,FALSE,"two-pointers,string",algorithms
maximum-product-subarray,Maximum Product Subarray,Medium,34.85640603,FALSE,"array,dynamic-programming",algorithms
find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,48.88830299,FALSE,"array,binary-search",algorithms
find-minimum-in-rotated-sorted-array-ii,Find Minimum in Rotated Sorted Array II,Hard,43.49660855,FALSE,"array,binary-search",algorithms
min-stack,Min Stack,Medium,52.36765676,FALSE,"stack,design",algorithms
binary-tree-upside-down,Binary Tree Upside Down,Medium,61.98587107,TRUE,"tree,depth-first-search,binary-tree",algorithms
read-n-characters-given-read4,Read N Characters Given Read4,Easy,40.97526845,TRUE,"string,simulation,interactive",algorithms
read-n-characters-given-read4-ii-call-multiple-times,Read N Characters Given read4 II - Call Multiple Times,Hard,41.65346037,TRUE,"string,simulation,interactive",algorithms
longest-substring-with-at-most-two-distinct-characters,Longest Substring with At Most Two Distinct Characters,Medium,53.82483251,TRUE,"hash-table,string,sliding-window",algorithms
intersection-of-two-linked-lists,Intersection of Two Linked Lists,Easy,54.43151675,FALSE,"hash-table,linked-list,two-pointers",algorithms
one-edit-distance,One Edit Distance,Medium,34.13560616,TRUE,"two-pointers,string",algorithms
find-peak-element,Find Peak Element,Medium,45.98625387,FALSE,"array,binary-search",algorithms
missing-ranges,Missing Ranges,Easy,32.23218996,TRUE,array,algorithms
maximum-gap,Maximum Gap,Hard,43.38792854,FALSE,"array,sorting,bucket-sort,radix-sort",algorithms
compare-version-numbers,Compare Version Numbers,Medium,35.73938121,FALSE,"two-pointers,string",algorithms
fraction-to-recurring-decimal,Fraction to Recurring Decimal,Medium,24.33287094,FALSE,"hash-table,math,string",algorithms
two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,60.03336717,FALSE,"array,two-pointers,binary-search",algorithms
excel-sheet-column-title,Excel Sheet Column Title,Easy,35.59339969,FALSE,"math,string",algorithms
majority-element,Majority Element,Easy,63.91750661,FALSE,"array,hash-table,divide-and-conquer,sorting,counting",algorithms
two-sum-iii-data-structure-design,Two Sum III - Data structure design,Easy,37.39422278,TRUE,"array,hash-table,two-pointers,design,data-stream",algorithms
excel-sheet-column-number,Excel Sheet Column Number,Easy,62.09345947,FALSE,"math,string",algorithms
factorial-trailing-zeroes,Factorial Trailing Zeroes,Medium,42.23390516,FALSE,math,algorithms
binary-search-tree-iterator,Binary Search Tree Iterator,Medium,69.78820807,FALSE,"stack,tree,design,binary-search-tree,binary-tree,iterator",algorithms
dungeon-game,Dungeon Game,Hard,37.49651011,FALSE,"array,dynamic-programming,matrix",algorithms
combine-two-tables,Combine Two Tables,Easy,74.24175315,FALSE,database,database
second-highest-salary,Second Highest Salary,Medium,37.70738896,FALSE,database,database
nth-highest-salary,Nth Highest Salary,Medium,37.66859141,FALSE,database,database
rank-scores,Rank Scores,Medium,60.44648577,FALSE,database,database
largest-number,Largest Number,Medium,34.61243537,FALSE,"array,string,greedy,sorting",algorithms
consecutive-numbers,Consecutive Numbers,Medium,46.54068429,FALSE,database,database
employees-earning-more-than-their-managers,Employees Earning More Than Their Managers,Easy,69.00243406,FALSE,database,database
duplicate-emails,Duplicate Emails,Easy,70.84155208,FALSE,database,database
customers-who-never-order,Customers Who Never Order,Easy,68.55940429,FALSE,database,database
department-highest-salary,Department Highest Salary,Medium,49.99078584,FALSE,database,database
department-top-three-salaries,Department Top Three Salaries,Hard,50.42742037,FALSE,database,database
reverse-words-in-a-string-ii,Reverse Words in a String II,Medium,52.91946514,TRUE,"two-pointers,string",algorithms
repeated-dna-sequences,Repeated DNA Sequences,Medium,47.03062614,FALSE,"hash-table,string,bit-manipulation,sliding-window,rolling-hash,hash-function",algorithms
best-time-to-buy-and-sell-stock-iv,Best Time to Buy and Sell Stock IV,Hard,39.02828432,FALSE,"array,dynamic-programming",algorithms
rotate-array,Rotate Array,Medium,39.42497604,FALSE,"array,math,two-pointers",algorithms
reverse-bits,Reverse Bits,Easy,54.15198968,FALSE,"divide-and-conquer,bit-manipulation",algorithms
number-of-1-bits,Number of 1 Bits,Easy,66.73073093,FALSE,"divide-and-conquer,bit-manipulation",algorithms
word-frequency,Word Frequency,Medium,25.54340029,FALSE,shell,shell
valid-phone-numbers,Valid Phone Numbers,Easy,25.98834918,FALSE,shell,shell
transpose-file,Transpose File,Medium,25.40595923,FALSE,shell,shell
tenth-line,Tenth Line,Easy,32.87376767,FALSE,shell,shell
delete-duplicate-emails,Delete Duplicate Emails,Easy,60.89985848,FALSE,database,database
rising-temperature,Rising Temperature,Easy,44.65154677,FALSE,database,database
house-robber,House Robber,Medium,49.44226506,FALSE,"array,dynamic-programming",algorithms
binary-tree-right-side-view,Binary Tree Right Side View,Medium,61.67206421,FALSE,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
number-of-islands,Number of Islands,Medium,57.06696633,FALSE,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
bitwise-and-of-numbers-range,Bitwise AND of Numbers Range,Medium,42.49176845,FALSE,bit-manipulation,algorithms
happy-number,Happy Number,Easy,54.86009739,FALSE,"hash-table,math,two-pointers",algorithms
remove-linked-list-elements,Remove Linked List Elements,Easy,46.07953474,FALSE,"linked-list,recursion",algorithms
count-primes,Count Primes,Medium,33.13479559,FALSE,"array,math,enumeration,number-theory",algorithms
isomorphic-strings,Isomorphic Strings,Easy,42.94798553,FALSE,"hash-table,string",algorithms
reverse-linked-list,Reverse Linked List,Easy,73.64672413,FALSE,"linked-list,recursion",algorithms
course-schedule,Course Schedule,Medium,45.40560236,FALSE,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,62.83269955,FALSE,"hash-table,string,design,trie",algorithms
minimum-size-subarray-sum,Minimum Size Subarray Sum,Medium,45.02577906,FALSE,"array,binary-search,sliding-window,prefix-sum",algorithms
course-schedule-ii,Course Schedule II,Medium,48.52590582,FALSE,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,Medium,43.99227947,FALSE,"string,depth-first-search,design,trie",algorithms
word-search-ii,Word Search II,Hard,36.39220922,FALSE,"array,string,backtracking,trie,matrix",algorithms
house-robber-ii,House Robber II,Medium,41.06207312,FALSE,"array,dynamic-programming",algorithms
shortest-palindrome,Shortest Palindrome,Hard,32.35099469,FALSE,"string,rolling-hash,string-matching,hash-function",algorithms
kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,66.19803814,FALSE,"array,divide-and-conquer,sorting,heap-priority-queue,quickselect",algorithms
combination-sum-iii,Combination Sum III,Medium,67.64574267,FALSE,"array,backtracking",algorithms
contains-duplicate,Contains Duplicate,Easy,61.42098086,FALSE,"array,hash-table,sorting",algorithms
the-skyline-problem,The Skyline Problem,Hard,41.87661314,FALSE,"array,divide-and-conquer,binary-indexed-tree,segment-tree,line-sweep,heap-priority-queue,ordered-set",algorithms
contains-duplicate-ii,Contains Duplicate II,Easy,42.57085194,FALSE,"array,hash-table,sliding-window",algorithms
contains-duplicate-iii,Contains Duplicate III,Hard,22.1540042,FALSE,"array,sliding-window,sorting,bucket-sort,ordered-set",algorithms
maximal-square,Maximal Square,Medium,45.01014942,FALSE,"array,dynamic-programming,matrix",algorithms
count-complete-tree-nodes,Count Complete Tree Nodes,Medium,60.62483819,FALSE,"binary-search,tree,depth-first-search,binary-tree",algorithms
rectangle-area,Rectangle Area,Medium,45.1577733,FALSE,"math,geometry",algorithms
basic-calculator,Basic Calculator,Hard,42.43499909,FALSE,"math,string,stack,recursion",algorithms
implement-stack-using-queues,Implement Stack using Queues,Easy,58.71687476,FALSE,"stack,design,queue",algorithms
invert-binary-tree,Invert Binary Tree,Easy,74.77239177,FALSE,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
basic-calculator-ii,Basic Calculator II,Medium,42.43699288,FALSE,"math,string,stack",algorithms
summary-ranges,Summary Ranges,Easy,47.23103005,FALSE,array,algorithms
majority-element-ii,Majority Element II,Medium,45.17961509,FALSE,"array,hash-table,sorting,counting",algorithms
kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,70.19764674,FALSE,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
power-of-two,Power of Two,Easy,46.02136731,FALSE,"math,bit-manipulation,recursion",algorithms
implement-queue-using-stacks,Implement Queue using Stacks,Easy,63.2703287,FALSE,"stack,design,queue",algorithms
number-of-digit-one,Number of Digit One,Hard,33.95142405,FALSE,"math,dynamic-programming,recursion",algorithms
palindrome-linked-list,Palindrome Linked List,Easy,50.28859307,FALSE,"linked-list,two-pointers,stack,recursion",algorithms
lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,Medium,61.64071213,FALSE,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,58.87272789,FALSE,"tree,depth-first-search,binary-tree",algorithms
delete-node-in-a-linked-list,Delete Node in a Linked List,Medium,76.0974754,FALSE,linked-list,algorithms
product-of-array-except-self,Product of Array Except Self,Medium,65.08061121,FALSE,"array,prefix-sum",algorithms
sliding-window-maximum,Sliding Window Maximum,Hard,46.28220004,FALSE,"array,queue,sliding-window,heap-priority-queue,monotonic-queue",algorithms
search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,51.04404938,FALSE,"array,binary-search,divide-and-conquer,matrix",algorithms
different-ways-to-add-parentheses,Different Ways to Add Parentheses,Medium,63.95038447,FALSE,"math,string,dynamic-programming,recursion,memoization",algorithms
valid-anagram,Valid Anagram,Easy,63.07282664,FALSE,"hash-table,string,sorting",algorithms
shortest-word-distance,Shortest Word Distance,Easy,65.02516572,TRUE,"array,string",algorithms
shortest-word-distance-ii,Shortest Word Distance II,Medium,60.86392426,TRUE,"array,hash-table,two-pointers,string,design",algorithms
shortest-word-distance-iii,Shortest Word Distance III,Medium,58.09108958,TRUE,"array,string",algorithms
strobogrammatic-number,Strobogrammatic Number,Easy,47.71833521,TRUE,"hash-table,two-pointers,string",algorithms
strobogrammatic-number-ii,Strobogrammatic Number II,Medium,51.56206181,TRUE,"array,string,recursion",algorithms
strobogrammatic-number-iii,Strobogrammatic Number III,Hard,41.93258108,TRUE,"array,string,recursion",algorithms
group-shifted-strings,Group Shifted Strings,Medium,64.33397504,TRUE,"array,hash-table,string",algorithms
count-univalue-subtrees,Count Univalue Subtrees,Medium,55.46902641,TRUE,"tree,depth-first-search,binary-tree",algorithms
flatten-2d-vector,Flatten 2D Vector,Medium,49.15847544,TRUE,"array,two-pointers,design,iterator",algorithms
meeting-rooms,Meeting Rooms,Easy,57.27239292,TRUE,"array,sorting",algorithms
meeting-rooms-ii,Meeting Rooms II,Medium,50.57282189,TRUE,"array,two-pointers,greedy,sorting,heap-priority-queue,prefix-sum",algorithms
factor-combinations,Factor Combinations,Medium,49.10186988,TRUE,"array,backtracking",algorithms
verify-preorder-sequence-in-binary-search-tree,Verify Preorder Sequence in Binary Search Tree,Medium,48.27968695,TRUE,"stack,tree,binary-search-tree,recursion,monotonic-stack,binary-tree",algorithms
paint-house,Paint House,Medium,61.10576479,TRUE,"array,dynamic-programming",algorithms
binary-tree-paths,Binary Tree Paths,Easy,61.47524828,FALSE,"string,backtracking,tree,depth-first-search,binary-tree",algorithms
