Bucket Number,Bucket
30,"rfc, rfcs, defined rfc, rfc rfc, described rfc, defined, described, rfc rfc rfc, described rfcs, implementation"
31,"subnet, subnets, subnet address, mask, subnet mask, prefix, support interface, address form, interface, interface subnet"
32,"output port, port, input port, fabric, output, input, switching fabric, switching, port output port, port output"
33,"ip address, ip, address, ip addressing, host ip address, host ip, host, address ip, host network, ip address ip"
34,"firewall, filter, stateful, packet filter, control list, access control list, organization, rule, access control, stateful filter"
35,"ssl, ssl record, record, tl, version ssl, ssl protocol, socket layer, ure, layer ssl, almostssl"
36,"key, bob, alice, public key, public, bob public, bob public key, session key, private key, encrypted"
37,"signature, digital signature, signed, digital, hash, document, private key, signed document, key, verifiable"
38,"parity, error, bit error, parity bit, bit, single bit error, single bit, row, detect, error occurred"
39,"web, site, world wide web, wide web, search, world wide, popular, unpopular, netscape, world"
40,"urity, web urity, url, urity urity, uris, urity problem, issue, uniform resource, urity web urity, internet urity"
41,"multicast, group, multicasting, anycast, multicast routing, tree, member, multicast address, spanning tree, multicast spanning tree"
42,"university, engineering, science, professor, mit, electrical engineering, inspired, professionally, inspired professionally, phd"
43,"skype, voice, video, conference, voice video, conversational, conferencing, video conference, call, voip"
44,"radio, microwave, interference, antenna, range, radio wave, range radio, microwave oven, oven, wave"
45,"arp, arp query, arp table, mac address, mac, address arp, arp module, arp packet, arp cache, address"
46,"congestion, congestion control, control, congestion control algorithm, control algorithm, congestion network, multiplicative, additive, decrease, congestion control mechanism"
47,"congestion window, window, slow start, slow, congestion, cwnd, window size, ms, start, threshold"
48,"data link, data link layer, link layer, frame, layer, link, network layer, frame arrives, linklayer, layer frame"
49,"data center, center, data, data center network, center network, cloud, google, container, greenberg, internet data center"
50,"network layer network, layer network layer, layer network, network layer, layer, network, network network layer, network network, task, layer layer"
51,"fragment, fragmentation, reassembly, fragment fragment, offset, fragmentation reassembly, packet fragment, fragment packet, multiple fragment, offset field"
52,"cdma, cdma code, code division, code division multiple, division multiple access, division multiple, code, umts, division, access cdma"
53,"playout, video, block, freezing, client, consumption rate, prefetching, begin playout, consumption, continuous playout"
54,"html, style, title, sheet, style sheet, tag, text, br, href, head"
55,"service, transport, transport service, layer, layer service, transport layer, network layer, layer provides, service layer, service network"
56,"successor, node, finger, finger table, predecessor, node identifier, successor node, identifier, circle, node node"
57,"section section, section section section, section, noted section additional, section shortly, section value, contains helpful record, different section section, contains helpful, section want review"
58,"distance vector, neighbor, vector, distance, dv, distancevector, dv algorithm, update, node, new distance vector"
59,"rtp, rtsp, rtcp, rtp packet, udp, rtp header, protocol rtp, real time, rtsp command, rtp rtp"
60,"frame, frame length, column, us column, frame frame, format data, sonet frame, frame format, frame shown, vt us"
61,"fdm, multiplexing, division, division multiplexing, frequency division, tdm, frequency division multiplexing, ofdm, frequency, fdm tdm"
62,"blah, iv blah blah, iv blah, fine iv blah, fine iv, blah mod, blah blah mod, blah blah, fine, iv"
63,"technology, industry, growth, innovation, company, technical, history, economic, century, economic growth"
64,"example figure, figure, figure example figure, figure example, example figure example, figure consider, example, refer figure, figure refer, refer"
65,"snr, modulation, noise, ratio, qam, ber, noise ratio, db, signal noise ratio, signal noise"
66,"certificate, ca, revoked, ra, root, revocation, approved, certificate revoked, revoked certificate, ca ca"
67,"header, ip header, ipv, ipv header, field, header field, option, header ipv, option field, field ip"
68,"wireless, wireless network, wireless link, network wireless, wireless network wireless, type wireless network, wifi, type wireless, wireless hop, wireless communication"
69,"clock, get sends, sends get sends, sends get, get sends get, tick, get, clock tick, current time, counter"
70,"network network, network network network, network, cw net, cw, ee network, consider network shown, consider network, net, class network"
71,"transportlayer segment, transportlayer, segment, transport layer, layer, network layer, segment transport, datagram, datagrams, transport"
72,"window, window size, sliding window, sliding, size, sliding window protocol, window protocol, receiver window, sender, receiver"
73,"ipv, ipv ipv, ipv address, ip version, version ip, ipv bit, ipv protocol, adoption, bit ipv, version"
74,"bgp, ebgp, ibgp, gateway, gateway router, bgp routing, gateway protocol, ebgp connection, ibgp connection, policy"
75,"bank, credit, credit card, card, credit card number, card number, account, customer, gold, money"
76,"ospf, routing, routing protocol, linkstate, ospf routing, protocol ospf, routing algorithm, weight, link weight, ospf bgp"
77,"lan, lan lan, lan lan lan, lan figure, building, switched lan, soho, lan host, single, switched lan figure"
78,"mobile, mobile host, mobile ip, mobile node, indirect, foreign network, indirect routing, foreign, correspondent, routing mobile"
79,"application layer, layer application, application layer application, layer application layer, application, layer, application layer contains, network layer application, layer contains, layer proceeding"
80,"propagation, propagation delay, delay, propagation speed, transmission delay, speed, transmission, packet length, transmission rate, distance router"
81,"standard, international, standardization, iso, international standard, standard standard, itu, standard organization, organization, wear"
82,"collision, detect collision, collide, node, collision node, colliding, involved collision, detects collision, slot, detect"
83,"figure figure, figure figure figure, figure, figure let figure, figure iv figure, figure figure nonetheless, figure figure let, figure figure iv, figure nonetheless figure, figure iv"
84,"transport layer, transport layer transport, layer transport, transport, layer transport layer, layer, transfer person, bag accomplished, layer transfer person, layer transfer"
85,"delay, average, estimate, average delay, internet delay, delay delay, delay let, total delay, total, estimate average"
86,"network urity, urity, urity network, urity network urity, network urity network, network, casual network urity, making network ure, casual network, ure"
87,"network fig, network shown, graph, network figure, consider network, figure, fig, wan, consider, network shown figure"
88,"send packet, packet, packet sends packet, packet sends, sends packet sends, sends packet, send, sending packet, packet host, description packet format"
89,"netflix, cdn, video, kankan, amazon, movie, streaming, amazon cloud, netflix video, netflix youtube"
90,"figure shown figure, figure shown, shown figure shown, shown figure, shown, figure, indicated figure shown, manner shown figure, manner shown, instead shown figure"
91,"xor, mod, arithmetic, modulo, remainder, modular arithmetic, fi, modular, pseudorandom sequence, pseudorandom"
92,"rtt, rtts, congestion window, increase, ms rtt, time rtt, window, ms, wrtt, rtt congestion"
93,"rdt, protocol rdt, rdt protocol, rdtsend, rdtsenddata, data transfer, reliable data transfer, reliable data, rdtrcv, reliable"
94,"lost, duplicate, lost packet, packet lost, duplicate packet, packet, delayed, delayed duplicate, rtt packet, client lost"
95,"streaming, medium, stored, video, stored medium, streaming stored, http streaming, streaming stored medium, live, streaming video"
96,"bluetooth, bluetooth bluetooth, bluetooth protocol, bluetooth network, radio layer, bluetooth device, device, slave, master, version bluetooth"
97,"dhcp, dhcp server, dhcp discover, dhcp client, lease, discover message, discover, dhcp request message, address dhcp, ip address"
98,"mpls, mpls header, mpls network, ip packet, ip, network mpls, mplscapable, ip device, header, router mpls"
99,"bittorrent, torrent, peer, tracker, cohen, swarm, chunk, peer peer, chunk peer, file distribution"
100,"nonpersistent, persistent, persistent connection, parallel, request, connection, nonpersistent http, http, parallel connection, nonpersistent connection"
101,"vlan, vlans, vlan aware, switch, vlan switch, aware, port, port belong, switch port, trunk"
102,"flag, flag byte, stuffing, byte, bit stuffing, byte stuffing, escape byte, escape, byte flag, byte flag byte"
103,"ap, aps, wireless device, beacon, beacon frame, associate, device, wireless, association, ssid"
104,"wfq, priority, robin, round robin, queueing, queue, class, weighted fair, discipline, weighted"
105,"year, tom, tenure, government, wilson, candidate, tenure year, tom wilson, year wilson, wilson candidate"
106,"flow, bandwidth, fairness, max min, min, allocation, bandwidth flow, bandwidth reserved, flow flow, max"
107,"al, et al, et, clark, et al example, al example, saltzer et, saltzer et al, saltzer, al information"
108,"algorithm, nagle, converge, offered reward break, red algorithm, offered reward, right point, sophisticated algorithm, reward break, red"
109,"ipsec, ipsec datagram, datagram, esp, sa, esp protocol, headquarters, payload, entity, payload ipsec"
110,"hamming, code, convolutional, reed, solomon, reed solomon, convolutional code, error, hamming distance, solomon code"
111,"port, port number, port reserved, number, reserved, port port, server port, server port number, called port, inetd"
112,"cookie, amazon, susans, cookie header, susan, cart, cookie containing, identification number, setcookie, cookie file"
113,"solution, problem, solve, problem problem, previous problem, problem interesting, solution consider, solution solution, solution chosen, problem approach"
114,"nat, nat box, box, translation, address translation, address, ip address, problem nat, host nat, nats"
115,"voip, voice ip, voice, voip application, voip example, peer peer traffic, peer traffic, voice ip packet, application voip, traffic voip"
116,"address, address space, address address, space, postal address, address field, postal, addressing, careof address, careof"
117,"virtual circuit, virtual, circuit, virtual circuit network, circuit network, circuit set, vc, network virtual circuit, circuit number, datagram network"
118,"segment, lost segment, segment arrive, suppose segment, segment lost, lost, segment segment, segment contains, segment acknowledgment, segment acknowledged"
119,"sequence number, sequence, bit sequence number, number, bit sequence, sequence number field, number field, range sequence number, range sequence, field"
120,"bandwidth, network bandwidth, bandwidth efficiently, higher class, version want watch, watch function, bandwidth approach, current available, function current available, current available bandwidth"
121,"queuing delay, queuing, delay, queueing, queue, queueing delay, arrival rate, queuing delay packet, arrival, traffic intensity"
122,"alice isp, alice, isp, bob, bob ip address, bob ip, ip address, dns, server alice, trudy"
123,"service, class service, besteffort, class, besteffort service, type service, differentiated service, differentiated, different class, service class"
124,"checksum, sum, complement, internet checksum, complement sum, checksum algorithm, complement arithmetic, computed, checksum computed, one complement"
125,"rsa, rsa algorithm, algorithm, public key, rsa work, public, key algorithm, public key algorithm, key cryptography, key"
126,"faster, efficiency, performance, improve performance, improve performance improve, performance improve, fixed determine, performance improve performance, determine efficiency, massively"
127,"csma, csma cd, cd, collision, csma collision, csma ca, persistent csma, persistent, csma cd protocol, csma cd algorithm"
128,"source port, port, port number, source port number, source, destination port, destination port number, nmap, source destination port, ip address port"
129,"physical layer, physical, layer physical layer, layer physical, physical layer physical, layer, link layer physical, layer machine, applied, framing"
130,"router, router router, natenabled, natenabled router, router gateway, free zone, cost router router, default free zone, router router cost, cost router"
131,"access control sublayer, control sublayer, medium access control, medium access, sublayer, access control, control sublayer medium, sublayer medium, sublayer medium access, medium"
132,"congestion control, tcp congestion control, congestion, tcp congestion, control, congestion control tcp, tcp, control tcp, tcp implement, avoidance fast"
133,"quantization, sample, quantized, dct, bit sample, coefficient, sampling, analog, signal sampled, analog audio"
134,"data link, data link layer, link layer data, link layer, layer data link, layer data, link, layer, data, data link network"
135,"sequence number, initial sequence number, initial sequence, sequence, initial, number, segment, sequence number field, tcp sequence, segment containing"
136,"wireless lan, lan, wireless, ieee, standard wireless lan, lan wireless lan, standard wireless, lan wireless, ieee wireless, wireless lan standard"
137,"http, http protocol, hypertext transfer protocol, hypertext transfer, protocol http, http hypertext transfer, web, http hypertext, hypertext, transfer protocol"
138,"flow table, flow table entry, table, flow, table entry, entry, action, controller, match, matchplusaction"
139,"stack, protocol stack, protocol, layer protocol stack, stack protocol, protocol stack protocol, layer protocol, protocol protocol stack, stack layer, architecture protocol stack"
140,"acknowledgement, acknowledgement frame, frame, frame received, frame acknowledgement, piggybacked acknowledgement, received acknowledged, lost, frame get, bearing"
141,"routing algorithm, routing, algorithm, way classify routing, way classify, classify routing algorithm, routing algorithm according, algorithm according, classify routing, centralized routing"
142,"urity, encryption, encrypted, encrypt, urity mechanism, network urity, ure, end end, layer encryption, encryption urity mechanism"
143,"jitter, called jitter, network jitter, delay jitter, high jitter, networkinduced, low jitter, delay, networkinduced packet, reduce jitter"
144,"base station, base, station, cell, cell base, cell base station, mobile, base transceiver station, base transceiver, transceiver station"
145,"php, javascript, script, cgi, language, vbscript, jsp, php script, html, cgi script"
146,"prefix, longest, matching, longest prefix, longest matching, matching prefix, longest prefix matching, longest matching prefix, prefix matching, forwarding table"
147,"step, figure step, shown step, step step, step shown, step figure, step illustrated figure, illustrated figure step, step illustrated, shown figure step"
148,"hub, hub switch, switch, switch hub, hub hub, repeater hub, repeater, pair hub, router gateway, twisted pair"
149,"buffer, buffer size, buffering, buffer management, sized buffer, size, sized, variable sized buffer, large circular, circular buffer"
150,"authentication server, authentication, ap, wireless client, protocol ap, authentication protocol ap, ap authentication, access point, eap, client ap"
151,"release, released, connection, connection released, releasing connection, releasing, release connection, disconnect, symmetric release, symmetric"
152,"applet, activex, java, activex control, java applet, jvm, interpreter, applet interpreted, applet trusted, javascript"
153,"telnet, telnet session, telnet connection, gateway, external host, internal user, application gateway, character, initiate telnet, remote"
154,"cellular, cellular network, lte, network architecture, gsm, architecture, lte long, term evolution, long term evolution, lte long term"
155,"ieee, acm, standard ieee, ieee ieee, ieee standard, standard, ieee acm, aspect ieee, ieee standard ieee, approved ieee"
156,"icmp, icmp message, ping, echo, icmp message type, ccmp, icmp echo, use icmp, message type, icmp ping"
157,"arpanet, arpa, robert, research, project, connected arpanet, original arpanet, dod, arpanet design, arpanet early"
158,"sender, sends message, sends message sends, message sends message, message, deliver message, message sends, message deliver, example want send, example want"
159,"qos, guarantee, qos guarantee, flow, resource, qos requirement, admission, perconnection qos, requirement, quality service"
160,"book, chapter, author, reference, edney, interchangeably, encourage, term, use term, reader"
161,"cost, link cost, cost change, link, link cost change, dyx, cost link, link cost increase, cost increase, higher cost"
162,"virus, malware, worm, malicious, infect, selfreplicating, virus worm, attachment, mobile code, executable"
163,"msc, anchor msc, visited, anchor, visited msc, mobile, msc visited, home msc, msc anchor, msc anchor msc"
164,"queue, queued, queue packet, transmission packet, packet, packet queue, transmitted, packet transmitted, end queue, packet currently transmitted"
165,"checksum, pseudoheader, udp, header, internet checksum, checksum computed, computed, header checksum, udp checksum, checksum header"
166,"tree, spanning tree, spanning, sink, sink tree, group, pruned, tree router, spanning tree use, spanning tree leftmost"
167,"forwarding table, forwarding, table, router forwarding table, router forwarding, forwarding table router, table router, link interface, entry, router"
168,"syn, syn segment, segment, syn flood, segment client, client tcp, flood, tcp, special tcp segment, special tcp"
169,"traceroute, traceroute program, traceroutes, trace, program, www traceroute, trace route, traceroute org, traceroute source, www traceroute org"
170,"dtn, bundle, dtn node, dtns, bundle dtn node, bundle dtn, dtn architecture, storage, collection point, working"
171,"sequence number, sequence, packet sequence, packet sequence number, number, packet sent, duplicate, sent packet sequence, nextseqnum, packet"
172,"request, request reply, response, response message, reply, http, http response message, backtoback, client, request message"
173,"snmp, managing, managing server, managed device, snmpv, managed, mib, pdu, network management, simple network management"
174,"tion, tions, following tions, tion look, tion tion, later tion, look, following, tion study, examine"
175,"transportlayer protocol, transport protocol, transportlayer, transport, protocol provides, protocol, provides logical, element transport protocol, element transport, transport layer"
176,"mobile web, mobile, web, mobile device, desktop, device, content, smartphone, mobile web content, mobile web web"
177,"interconnected, collection, network network, internet, internetworks, internetwork, connected internet, internet connected, structure, connected"
178,"section recall, recall, recall section, recall section recall, section recall section, section, recall discussion, section recall discussion, figure recall, figure recall section"
179,"switching, circuit switching, packet switching, circuit, switching packet, switching packet switching, circuit switching packet, switching circuit switching, switching circuit, packet switching versus"
180,"pixel, color, image, rgb, pixel pixel, bit pixel, eye, green, green blue, red green"
181,"channel, signaling, channel allocation, signaling channel, allocation, use channel, allocation problem, single channel, channel channel, characteristic broadcast"
182,"udpclient, py, serverport, clientsocket, serversocket, socket, udpserver, bind, udpclient py, tcpclient"
183,"gigabit, gigabit ethernet, ethernet, fast ethernet, mbps, fast, ethernet standard, compatibility, base ethernet, installed base"
184,"ct, rts, rts ct, ct frame, rts ct frame, rts frame, frame, frame rts, frame rts ct, ack frame"
185,"timer, tick, timer expires, reset, expire, timer set, expires, timer management, list, expiration"
186,"table, column table, column, note table, shown table, lookup, table shown table, numbered starting, table arrow, second column table"
187,"input bit, output bit, bit output, output, bit, input, bit input, mapped, group bit, bit output bit"
188,"client server, client, client code, clientserver application, look client, code client, client server model, client server program, server model, code"
189,"tunnel, tunneling, ipv, paris, london, multiprotocol router, multiprotocol, ipv packet, router ipv, paris london"
190,"ppp, aal, ppp frame, sonet, protocol ppp, hdlc, pointtopoint, frame format, payload, ppp framing"
191,"crc, crc code, polynomial, cyclic redundancy check, redundancy check, cyclic redundancy, cyclic, crc byte, standard crc, crc bit"
192,"vpn, private network, virtual private, virtual private network, vpns, private, virtual, public internet, vpns virtual private, vpns virtual"
193,"procedure, stub, server procedure, remote procedure, client stub, procedure client, server stub, called procedure, remote, calling"
194,"tcp sender, loss, rate, congestion, loss rate, packet loss, tcp, sender, congestion path, sender decrease"
195,"switch, linklayer switch, packet switch, linklayer, router linklayer switch, router linklayer, switch router, implement layer, tier switch, router"
196,"country, france, boston ma, sept, white plain, ma, florida, state state, boston, plain"
197,"station, suppose station, numbered station, transmitting station, hearreceive, station transmitting station, transmits hearreceive, transmitting, numbered, station transmitting"
198,"bridge, frame port, port, port bridge, frame bridge, frame, bridge frame, frame sent port, frame port output, output port bridge"
199,"timeout, timeouts, timeout interval, timeout event, timeoutinterval, interval, event, interval timeout, timeout interval timeout, interval timeout event"
200,"playout, playout delay, talk spurt, spurt, playout time, packet talk spurt, packet talk, scheduled playout, scheduled playout time, talk"
201,"mac address, mac, adapter, address adapter, address, mac address adapter, address mac address, address mac, adapter mac, adapter mac address"
202,"wimax, mobile wimax, wimax network, known wimax, fixed wimax, wimax fixed, fact wimax, wimax collision, wimax collision course, collision course"
203,"source, destination, router advertisement, outgoing line, solicitation, source destination, destination network, routed source, routed source destination, packet routed source"
204,"data rate, rate, overhead, rate adaptation, adaptation, tion overhead, gross, overhead generated checked, checked start, generated checked"
205,"encoding, ascii, encoded, ascii character, require expensive hardware, decode message, encoding option, require expensive, instead encoding, expensive hardware"
206,"sequence number, window, sequence, number, sliding window, sliding, window protocol, range sequence number, range sequence, number respectively"
207,"downstream, upstream, mbps downstream, upstream downstream, downstream mbps, mbps downstream mbps, downstream mbps upstream, mbps upstream, downstream channel, mbps"
208,"sha, hash, hash algorithm, cryptographic hash, hash function, sha hash, cryptographic, function, sha developed, way hash"
209,"quality service, quality, service, based quality, based quality service, flow based quality, support quality, support quality service, class based, flow based"
210,"collision, probability collision, equal probability collision, collision chosen, chosen equal probability, collision chosen equal, collision collision, equal probability, chosen equal, probability collision chosen"
211,"mac address, mac, address field, address, contains mac, contains mac address, ap, address mac, mac address destination, wireless station"
212,"fsm, fsm description, description, fsm figure, state fsm, extended fsm, rdt, initial state fsm, fsm specification, initial state"
213,"frame, bit frame, bit, error, zero appended, frame zero appended, frame start end, frame zero, appended, frame start"
214,"vlr, hlr, visited network, visited, roaming, mobile user, location register, location, roaming number, mobile"
215,"authentication, authentication protocol, authorization, simple authentication, authentication authentication, mutual authentication, mutual, password, authenticate, authentication server"
216,"communication, communication possible, communicate, communication people, communicate communicate, sending communication possible, sending communication, communicate communicate communicate, communication possible sending, possible sending communication"
217,"spam, mail, spammer, junk, junk mail, spam email, mail spam, incoming mail, probably, likely spam"
218,"tcp, tcp implementation, tcp us, ip product, ha et, al tcp, mail order, ha et al, tcp ip product, et al tcp"
219,"forwarding, generalized forwarding, generalized, assured forwarding, assured, expedited forwarding, simple diffserv, simple diffserv network, section generalized forwarding, forwarding differ"
220,"access protocol, multiple access, multiple access protocol, random access, access, random access protocol, random, channel partitioning, multiple, partitioning"
221,"connection, connection establishment, establishment, establishing connection, assume connection, connection management, flow process, flow process process, data flow process, establishing"
222,"case, case case, consider case, case likely, case consider case, case consider, professional, consider, likely, hardwired manufacturer case"
223,"hot potato, potato, hot potato routing, potato routing, hot, route, bgp, routeselection algorithm, routeselection, bgp route"
224,"tcp ip, model, ip model, tcp ip model, osi, reference model, tcp ip reference, ip reference, ip reference model, reference"
225,"modem, cable modem, minislots, minislot, cmts, downstream channel, upstream, downstream, headend, cable"
226,"application buffer, client application, client application buffer, buffer, client, server sends bit, sends bit, time ttf client, time ttf, sends bit constant"
227,"web server, web, companion website, website, assignment, server, skeleton code, skeleton, companion, apache"
228,"audio, low, high low, audio http, audio application, low low, low medium, http traffic, low high, audio packet"
229,"envelope, body, smtp, header, email, message, email address, recipient, ascii, header message"
230,"label, flow label, path label, different label, label field, single label, set label, label switch, way network, removed"
231,"samplertt, estimatedrtt, samplertt value, value, rtt, devrtt, estimatedrtt samplertt, sample, fluctuation, sample rtt"
232,"consider figure, figure consider figure, consider figure consider, figure consider, consider, figure, learning feature nicely, insight consider, insight consider figure, learning feature"
233,"aloha, slotted aloha, slotted, efficiency slotted aloha, efficiency slotted, efficiency, pure, pure aloha, maximum efficiency, maximum efficiency pure"
234,"handoff, base station, base, station, handover, old base station, old base, cell, new base, new base station"
235,"ipv datagram, datagram format, ipv, ipv datagram format, datagram, format, version, section ipv datagram, section ipv, format ipv"
236,"attack, bad guy, guy, security, network security, bad, do attack, do, prevalent, network attack"
237,"xml, xhtml, html, language, xhtml basic, xslt, called xhtml, html defined, xml document, extensible"
238,"data sent, data transmitted, transmit data, data, transmit data sent, data soon, sender data, want send data, send data, want send"
239,"gsm, mobile phone, phone, europe, mobile, european, gsm global, gsm global mobile, deployed, global mobile"
240,"file, large file, file host, host sending, sending large file, sending large, host host, host, host tcp connection, file bit host"
241,"congested link, share, bandwidth, equal, share link, congested, link bandwidth, share link bandwidth, bandwidth congested link, equal share link"
242,"flooding, flood, link state update, state update, flooded, way setup, flooding requires, link state, router, write program"
243,"handshake, threeway, way handshake, threeway handshake, way, handshake let, handshake protocol, way handshake way, small tcp segment, small tcp"
244,"discus, discus discus, ter discus, tion discus, chapter discus, discus later ter, later ter discus, let discus, discus later, shortly discus"
245,"ad hoc, hoc, ad, ad hoc network, hoc network, manet, network ad, network ad hoc, network manet, mobile ad hoc"
246,"shortest path, shortest, path, compute shortest path, compute shortest, dijkstras, shortest path network, path network node, state state, dist"
247,"probability, slot, probability node, slot probability, node, slot node, probability given, node transmits, slot exactly node, node success"
248,"burst, burst error, burst length, error, burst error length, single burst, single burst error, length burst, error length, long burst"
249,"form, post, method, post method, input type, age, html, body, method post, html body"
250,"example let, example let look, let look, look example, let look example, let, look, example, simple example let, specific example let"
251,"host host, host, channel host, channel host host, host host request, host request, request channel host, suppose host, host suppose host, host request channel"
252,"message, message message, want reply message, want reply, reply field, encapsulated message, reply message, reply, encapsulated, message id"
253,"idle, channel idle, idle station, channel idle station, channel, sensed, channel sensed, station, channel sensed idle, sensed idle"
254,"public key, public, key, key ring, ring, key ring contains, ring contains, public key user, public key ring, key user"
255,"chip sequence, chip, sequence, chip sequence station, sequence station, station, orthogonal, transmit, transmit bit, station transmit"
256,"illustrated figure, illustrated, figure illustrated figure, figure illustrated, figure, illustrated figure illustrated, figure looking, broad picture, looking figure, illustrated figure looking"
257,"capacity receiver, sender, receiver, rate, sending rate, capacity, fast sender, send rate, network feeding, sending rate throughput"
258,"procedure, parameter, procedure described section, procedure described, pointer, described section, order information, iso adopting, mandated procedure certification, parameter command"
259,"door, socket, client, serversocket, knock door, client knock door, client knock, knock, data pass, client process"
260,"path, path length, path taken, path shown, path path, path run, path path change, multiple path equally, path shown suppose, path state"
261,"id, signaturebased, signature, snort, signaturebased id, signature database, new attack, database, attack, id system"
262,"toll, office, toll office, ixc, lata, lecs, ixcs, latas, switching office, office toll office"
263,"mtu, path mtu, mtu discovery, path mtu discovery, path, discovery, fragmented, path fragmentation, called path mtu, smaller mtu process"
264,"compression, decompressing, compression algorithm, later data, earlier data, decompressed, decompression, compression system, data decompressed, compressing data"
265,"osi, osi model, model, osi reference model, osi reference, reference model, model minus, heavily influenced, heavily influenced osi, influenced osi"
266,"option, choice, choose option, choose, long tail anderson, electronically get, get dick luck, standard usually, easiest getting, thing choose"
267,"ear, frequency, audibility, threshold audibility, hz, sound, db, threshold, masked, hz hz"
268,"token, ring, token ring, ring protocol, token ring protocol, called token, predefined, token station, token passing, bus"
269,"internet, internet internet, world internet, internetwork, internet application, internet information internet, material briefly, large nontrivial, mean internet, material briefly internet"
270,"bursty, traffic, burst, burst traffic, floyd leland, scale paxson, scale paxson floyd, traffic bursty burst, bursty burst, range time"
271,"delay, packetization, processing delay time, connected router connected, delay time required, packet, packetization delay, connected router, packet experience, delay time"
272,"error rate, bit error rate, bit error, error, wireless link, wired, wireless, error common, error common wireless, bit error common"
273,"base station, base, wireless host, wireless, host associated, station, wireless host associated, host associated base, associated base, associated base station"
274,"formula, infinity, approach infinity, formula let, formula let approach, let approach, let approach infinity, equation, dn, calculation"
275,"kbps, speech, uncompressed, voice, uncompressed voice, digitized, pcmencoded, human speech, kbps left, digitized speech"
276,"multipath, fading, multipath fading, path loss, multipath propagation, signal, faded, interference, called multipath fading, called multipath"
277,"bridge, lan, multidrop, join, multidrop lan, lan bridge, bridged lan, bridged, classic ethernet use, bridge developed classic"
278,"tcp ip, protocol tcp, tcp ip protocol, ip protocol, tcp, tcp protocol, tcpip, protocol, tcp internet, transmission control protocol"
279,"process, client process, process server, process client, client process server, server process, session pair, process client process, session pair process, communication session pair"
280,"traffic, traffic destined, destined, originates unit traffic, node originates, node originates unit, originates unit, unit traffic destined, traffic destined node, destined node"
281,"design, property, worked long huge, large nonetheless, thing designer design, today look, majority population people, large nonetheless capture, make design, make design feasible"
282,"distribution time, distribution, minimum distribution, minimum distribution time, minimum, specify distribution scheme, scheme distribution time, distribution scheme distribution, scheme distribution, distribution scheme"
283,"letter, plaintext, common letter, trigram, digram, th common, th common word, common, common word, english"
284,"node, frame node, transmitting frame node, transmitting frame, node wait, channel node, transmitting, transmission node, node begin, node transmit"
285,"wireshark, wireshark lab, lab, sniffer, packet sniffer, youll, lab youll, wireshark packet sniffer, screenshot, examines"
286,"section described, discussion, described section, section described section, order discussion, section, debate, described, discussion section, insight"
