bucket_topic_number,bucket_topic,book_topic_number,book_topic,score
33,"output port, port, input port, fabric, output, input, switching fabric, switching",13,Network Routing and Switching,0.645213168288201
34,"ip address, ip, address, ip addressing, host ip address, host ip, host, address ip",5,TCP/IP Protocol Suite,0.45519006385693433
35,"firewall, filter, stateful, packet filter, control list, access control list, organization, rule",19,Software-Defined Networking (SDN),0.2915957162813138
36,"ssl, ssl record, record, tl, version ssl, ssl protocol, socket layer, ure",4,Network Layers and the OSI Model,0.14804915820031117
37,"key, bob, alice, public key, public, bob public, bob public key, session key",12,VPN (Virtual Private Network),0.09643029074594907
38,"signature, digital signature, signed, digital, hash, document, private key, signed document",12,VPN (Virtual Private Network),0.2892908722378472
39,"parity, error, bit error, parity bit, bit, single bit error, single bit, row",20,Network Virtualization,0.1395137093196
40,"web, site, world wide web, wide web, search, world wide, popular, unpopular",12,VPN (Virtual Private Network),0.12197574167578254
41,"urity, web urity, url, urity urity, uris, urity problem, issue, uniform resource",0,Introduction to Computer Networks,0.0
42,"multicast, group, multicasting, anycast, multicast routing, tree, member, multicast address",13,Network Routing and Switching,0.3871279009729205
43,"university, engineering, science, professor, mit, electrical engineering, inspired, professionally",0,Introduction to Computer Networks,0.0
44,"skype, voice, video, conference, voice video, conversational, conferencing, video conference",0,Introduction to Computer Networks,0.0
45,"radio, microwave, interference, antenna, range, radio wave, range radio, microwave oven",0,Introduction to Computer Networks,0.0
46,"arp, arp query, arp table, mac address, mac, address arp, arp module, arp packet",0,Introduction to Computer Networks,0.0
47,"congestion, congestion control, control, congestion control algorithm, control algorithm, congestion network, multiplicative, additive",19,Software-Defined Networking (SDN),0.3445517341352828
48,"congestion window, window, slow start, slow, congestion, cwnd, window size, ms",0,Introduction to Computer Networks,0.0
49,"data link, data link layer, link layer, frame, layer, link, network layer, frame arrives",4,Network Layers and the OSI Model,0.16019173005476875
50,"data center, center, data, data center network, center network, cloud, google, container",17,Cloud Computing and Networking,0.31391410073341136
51,"network layer network, layer network layer, layer network, network layer, layer, network, network network layer, network network",4,Network Layers and the OSI Model,0.2326565680508072
52,"fragment, fragmentation, reassembly, fragment fragment, offset, fragmentation reassembly, packet fragment, fragment packet",0,Introduction to Computer Networks,0.0
53,"cdma, cdma code, code division, code division multiple, division multiple access, division multiple, code, umts",20,Network Virtualization,0.1337973320878995
54,"playout, video, block, freezing, client, consumption rate, prefetching, begin playout",2,Network Topologies and Architectures,0.10354308351039149
55,"html, style, title, sheet, style sheet, tag, text, br",0,Introduction to Computer Networks,0.0
56,"service, transport, transport service, layer, layer service, transport layer, network layer, layer provides",16,Quality of Service (QoS),0.21239541992473002
57,"successor, node, finger, finger table, predecessor, node identifier, successor node, identifier",0,Introduction to Computer Networks,0.0
58,"section section, section section section, section, noted section additional, section shortly, section value, contains helpful record, different section section",2,Network Topologies and Architectures,0.10354308351039149
59,"distance vector, neighbor, vector, distance, dv, distancevector, dv algorithm, update",0,Introduction to Computer Networks,0.0
60,"rtp, rtsp, rtcp, rtp packet, udp, rtp header, protocol rtp, real time",5,TCP/IP Protocol Suite,0.12557732927662849
61,"frame, frame length, column, us column, frame frame, format data, sonet frame, frame format",13,Network Routing and Switching,0.31544838410775183
62,"fdm, multiplexing, division, division multiplexing, frequency division, tdm, frequency division multiplexing, ofdm",0,Introduction to Computer Networks,0.0
63,"blah, iv blah blah, iv blah, fine iv blah, fine iv, blah mod, blah blah mod, blah blah",0,Introduction to Computer Networks,0.0
64,"technology, industry, growth, innovation, company, technical, history, economic",0,Introduction to Computer Networks,0.3571891051148378
65,"example figure, figure, figure example figure, figure example, example figure example, figure consider, example, refer figure",2,Network Topologies and Architectures,0.10354308351039149
66,"snr, modulation, noise, ratio, qam, ber, noise ratio, db",0,Introduction to Computer Networks,0.0
67,"certificate, ca, revoked, ra, root, revocation, approved, certificate revoked",0,Introduction to Computer Networks,0.0
68,"header, ip header, ipv, ipv header, field, header field, option, header ipv",5,TCP/IP Protocol Suite,0.46650238617079365
69,"wireless, wireless network, wireless link, network wireless, wireless network wireless, type wireless network, wifi, type wireless",9,Wireless Networking,0.6385720514053652
70,"clock, get sends, sends get sends, sends get, get sends get, tick, get, clock tick",0,Introduction to Computer Networks,0.0
71,"network network, network network network, network, cw net, cw, ee network, consider network shown, consider network",19,Software-Defined Networking (SDN),0.293820391056047
72,"transportlayer segment, transportlayer, segment, transport layer, layer, network layer, segment transport, datagram",14,VLANs (Virtual LANs),0.13822224377209236
73,"window, window size, sliding window, sliding, size, sliding window protocol, window protocol, receiver window",0,Introduction to Computer Networks,0.0
74,"ipv, ipv ipv, ipv address, ip version, version ip, ipv bit, ipv protocol, adoption",5,TCP/IP Protocol Suite,0.46650238617079365
75,"bgp, ebgp, ibgp, gateway, gateway router, bgp routing, gateway protocol, ebgp connection",13,Network Routing and Switching,0.3871279009729205
76,"bank, credit, credit card, card, credit card number, card number, account, customer",0,Introduction to Computer Networks,0.0
77,"ospf, routing, routing protocol, linkstate, ospf routing, protocol ospf, routing algorithm, weight",13,Network Routing and Switching,0.3871279009729205
78,"lan, lan lan, lan lan lan, lan figure, building, switched lan, soho, lan host",8,Ethernet and LAN Technologies,0.629309043684383
79,"mobile, mobile host, mobile ip, mobile node, indirect, foreign network, indirect routing, foreign",13,Network Routing and Switching,0.3114726689554496
80,"application layer, layer application, application layer application, layer application layer, application, layer, application layer contains, network layer application",4,Network Layers and the OSI Model,0.15793326790173
81,"propagation, propagation delay, delay, propagation speed, transmission delay, speed, transmission, packet length",3,Network Devices and Hardware,0.12244908253170537
82,"standard, international, standardization, iso, international standard, standard standard, itu, standard organization",0,Introduction to Computer Networks,0.0
83,"collision, detect collision, collide, node, collision node, colliding, involved collision, detects collision",0,Introduction to Computer Networks,0.0
84,"figure figure, figure figure figure, figure, figure let figure, figure iv figure, figure figure nonetheless, figure figure let, figure figure iv",0,Introduction to Computer Networks,0.0
85,"transport layer, transport layer transport, layer transport, transport, layer transport layer, layer, transfer person, bag accomplished",4,Network Layers and the OSI Model,0.14804915820031117
86,"delay, average, estimate, average delay, internet delay, delay delay, delay let, total delay",5,TCP/IP Protocol Suite,0.40464333310238404
87,"network urity, urity, urity network, urity network urity, network urity network, network, casual network urity, making network ure",19,Software-Defined Networking (SDN),0.293820391056047
88,"network fig, network shown, graph, network figure, consider network, figure, fig, wan",19,Software-Defined Networking (SDN),0.293820391056047
89,"send packet, packet, packet sends packet, packet sends, sends packet sends, sends packet, send, sending packet",0,Introduction to Computer Networks,0.0
90,"netflix, cdn, video, kankan, amazon, movie, streaming, amazon cloud",17,Cloud Computing and Networking,0.6650931029375451
91,"figure shown figure, figure shown, shown figure shown, shown figure, shown, figure, indicated figure shown, manner shown figure",0,Introduction to Computer Networks,0.0
92,"xor, mod, arithmetic, modulo, remainder, modular arithmetic, fi, modular",9,Wireless Networking,0.42052974046558106
93,"rtt, rtts, congestion window, increase, ms rtt, time rtt, window, ms",0,Introduction to Computer Networks,0.0
94,"rdt, protocol rdt, rdt protocol, rdtsend, rdtsenddata, data transfer, reliable data transfer, reliable data",13,Network Routing and Switching,0.31544838410775183
95,"lost, duplicate, lost packet, packet lost, duplicate packet, packet, delayed, delayed duplicate",0,Introduction to Computer Networks,0.0
96,"streaming, medium, stored, video, stored medium, streaming stored, http streaming, streaming stored medium",0,Introduction to Computer Networks,0.0
97,"bluetooth, bluetooth bluetooth, bluetooth protocol, bluetooth network, radio layer, bluetooth device, device, slave",9,Wireless Networking,0.1035122286563403
98,"dhcp, dhcp server, dhcp discover, dhcp client, lease, discover message, discover, dhcp request message",2,Network Topologies and Architectures,0.14643203299032564
99,"mpls, mpls header, mpls network, ip packet, ip, network mpls, mplscapable, ip device",5,TCP/IP Protocol Suite,0.4429186411285076
100,"bittorrent, torrent, peer, tracker, cohen, swarm, chunk, peer peer",2,Network Topologies and Architectures,0.20708616702078297
101,"nonpersistent, persistent, persistent connection, parallel, request, connection, nonpersistent http, http",0,Introduction to Computer Networks,0.0
102,"vlan, vlans, vlan aware, switch, vlan switch, aware, port, port belong",14,VLANs (Virtual LANs),0.2101439673391574
103,"flag, flag byte, stuffing, byte, bit stuffing, byte stuffing, escape byte, escape",0,Introduction to Computer Networks,0.0
104,"ap, aps, wireless device, beacon, beacon frame, associate, device, wireless",9,Wireless Networking,0.6522252286861554
105,"wfq, priority, robin, round robin, queueing, queue, class, weighted fair",0,Introduction to Computer Networks,0.0
106,"year, tom, tenure, government, wilson, candidate, tenure year, tom wilson",0,Introduction to Computer Networks,0.0
107,"flow, bandwidth, fairness, max min, min, allocation, bandwidth flow, bandwidth reserved",6,IP Addressing and Subnetting,0.11540439600077136
108,"al, et al, et, clark, et al example, al example, saltzer et, saltzer et al",0,Introduction to Computer Networks,0.0
109,"algorithm, nagle, converge, offered reward break, red algorithm, offered reward, right point, sophisticated algorithm",0,Introduction to Computer Networks,0.0
110,"ipsec, ipsec datagram, datagram, esp, sa, esp protocol, headquarters, payload",0,Introduction to Computer Networks,0.0
111,"hamming, code, convolutional, reed, solomon, reed solomon, convolutional code, error",0,Introduction to Computer Networks,0.0
112,"port, port number, port reserved, number, reserved, port port, server port, server port number",2,Network Topologies and Architectures,0.10354308351039149
113,"cookie, amazon, susans, cookie header, susan, cart, cookie containing, identification number",0,Introduction to Computer Networks,0.0
114,"solution, problem, solve, problem problem, previous problem, problem interesting, solution consider, solution solution",0,Introduction to Computer Networks,0.0
115,"nat, nat box, box, translation, address translation, address, ip address, problem nat",5,TCP/IP Protocol Suite,0.46650238617079365
116,"voip, voice ip, voice, voip application, voip example, peer peer traffic, peer traffic, voice ip packet",16,Quality of Service (QoS),0.3232593992518808
117,"address, address space, address address, space, postal address, address field, postal, addressing",6,IP Addressing and Subnetting,0.5770219800038568
118,"virtual circuit, virtual, circuit, virtual circuit network, circuit network, circuit set, vc, network virtual circuit",20,Network Virtualization,0.45602849243310023
119,"segment, lost segment, segment arrive, suppose segment, segment lost, lost, segment segment, segment contains",14,VLANs (Virtual LANs),0.16613339333394275
120,"sequence number, sequence, bit sequence number, number, bit sequence, sequence number field, number field, range sequence number",0,Introduction to Computer Networks,0.0
121,"bandwidth, network bandwidth, bandwidth efficiently, higher class, version want watch, watch function, bandwidth approach, current available",19,Software-Defined Networking (SDN),0.293820391056047
122,"queuing delay, queuing, delay, queueing, queue, queueing delay, arrival rate, queuing delay packet",0,Introduction to Computer Networks,0.0
123,"alice isp, alice, isp, bob, bob ip address, bob ip, ip address, dns",5,TCP/IP Protocol Suite,0.42562857062812753
124,"service, class service, besteffort, class, besteffort service, type service, differentiated service, differentiated",16,Quality of Service (QoS),0.446900131423958
125,"checksum, sum, complement, internet checksum, complement sum, checksum algorithm, complement arithmetic, computed",5,TCP/IP Protocol Suite,0.40464333310238404
126,"rsa, rsa algorithm, algorithm, public key, rsa work, public, key algorithm, public key algorithm",12,VPN (Virtual Private Network),0.1251444704388838
127,"faster, efficiency, performance, improve performance, improve performance improve, performance improve, fixed determine, performance improve performance",23,Network Performance Optimization,0.7688260842401975
128,"csma, csma cd, cd, collision, csma collision, csma ca, persistent csma, persistent",0,Introduction to Computer Networks,0.0
129,"source port, port, port number, source port number, source, destination port, destination port number, nmap",0,Introduction to Computer Networks,0.0
130,"physical layer, physical, layer physical layer, layer physical, physical layer physical, layer, link layer physical, layer machine",2,Network Topologies and Architectures,0.22494117162132082
131,"router, router router, natenabled, natenabled router, router gateway, free zone, cost router router, default free zone",0,Introduction to Computer Networks,0.0
132,"access control sublayer, control sublayer, medium access control, medium access, sublayer, access control, control sublayer medium, sublayer medium",19,Software-Defined Networking (SDN),0.2601821631394342
133,"congestion control, tcp congestion control, congestion, tcp congestion, control, congestion control tcp, tcp, control tcp",1,Network Models and Protocols,0.26274450326000437
134,"quantization, sample, quantized, dct, bit sample, coefficient, sampling, analog",0,Introduction to Computer Networks,0.0
135,"data link, data link layer, link layer data, link layer, layer data link, layer data, link, layer",13,Network Routing and Switching,0.14315506766639913
136,"sequence number, initial sequence number, initial sequence, sequence, initial, number, segment, sequence number field",14,VLANs (Virtual LANs),0.16613339333394275
137,"wireless lan, lan, wireless, ieee, standard wireless lan, lan wireless lan, standard wireless, lan wireless",8,Ethernet and LAN Technologies,0.47096492185944827
138,"http, http protocol, hypertext transfer protocol, hypertext transfer, protocol http, http hypertext transfer, web, http hypertext",0,Introduction to Computer Networks,0.0
139,"flow table, flow table entry, table, flow, table entry, entry, action, controller",0,Introduction to Computer Networks,0.0
140,"stack, protocol stack, protocol, layer protocol stack, stack protocol, protocol stack protocol, layer protocol, protocol protocol stack",4,Network Layers and the OSI Model,0.14804915820031117
141,"acknowledgement, acknowledgement frame, frame, frame received, frame acknowledgement, piggybacked acknowledgement, received acknowledged, lost",0,Introduction to Computer Networks,0.0
142,"routing algorithm, routing, algorithm, way classify routing, way classify, classify routing algorithm, routing algorithm according, algorithm according",13,Network Routing and Switching,0.3871279009729205
143,"urity, encryption, encrypted, encrypt, urity mechanism, network urity, ure, end end",22,Wireless Security,0.29706370348576333
144,"jitter, called jitter, network jitter, delay jitter, high jitter, networkinduced, low jitter, delay",16,Quality of Service (QoS),0.1343495057211404
145,"base station, base, station, cell, cell base, cell base station, mobile, base transceiver station",0,Introduction to Computer Networks,0.0
146,"php, javascript, script, cgi, language, vbscript, jsp, php script",0,Introduction to Computer Networks,0.0
147,"prefix, longest, matching, longest prefix, longest matching, matching prefix, longest prefix matching, longest matching prefix",0,Introduction to Computer Networks,0.0
148,"step, figure step, shown step, step step, step shown, step figure, step illustrated figure, illustrated figure step",0,Introduction to Computer Networks,0.0
149,"hub, hub switch, switch, switch hub, hub hub, repeater hub, repeater, pair hub",0,Introduction to Computer Networks,0.0
150,"buffer, buffer size, buffering, buffer management, sized buffer, size, sized, variable sized buffer",15,Network Management and Troubleshooting,0.5214279110983442
151,"authentication server, authentication, ap, wireless client, protocol ap, authentication protocol ap, ap authentication, access point",9,Wireless Networking,0.30589333490335957
152,"release, released, connection, connection released, releasing connection, releasing, release connection, disconnect",0,Introduction to Computer Networks,0.0
153,"applet, activex, java, activex control, java applet, jvm, interpreter, applet interpreted",19,Software-Defined Networking (SDN),0.31894303267810326
154,"telnet, telnet session, telnet connection, gateway, external host, internal user, application gateway, character",0,Introduction to Computer Networks,0.0
155,"cellular, cellular network, lte, network architecture, gsm, architecture, lte long, term evolution",2,Network Topologies and Architectures,0.24328328107548208
156,"ieee, acm, standard ieee, ieee ieee, ieee standard, standard, ieee acm, aspect ieee",0,Introduction to Computer Networks,0.0
157,"icmp, icmp message, ping, echo, icmp message type, ccmp, icmp echo, use icmp",5,TCP/IP Protocol Suite,0.1236499032554373
158,"arpanet, arpa, robert, research, project, connected arpanet, original arpanet, dod",0,Introduction to Computer Networks,0.0
159,"sender, sends message, sends message sends, message sends message, message, deliver message, message sends, message deliver",0,Introduction to Computer Networks,0.0
160,"qos, guarantee, qos guarantee, flow, resource, qos requirement, admission, perconnection qos",16,Quality of Service (QoS),0.25212601339844926
161,"book, chapter, author, reference, edney, interchangeably, encourage, term",0,Introduction to Computer Networks,0.0
162,"cost, link cost, cost change, link, link cost change, dyx, cost link, link cost increase",0,Introduction to Computer Networks,0.0
163,"virus, malware, worm, malicious, infect, selfreplicating, virus worm, attachment",0,Introduction to Computer Networks,0.0
164,"msc, anchor msc, visited, anchor, visited msc, mobile, msc visited, home msc",0,Introduction to Computer Networks,0.0
165,"queue, queued, queue packet, transmission packet, packet, packet queue, transmitted, packet transmitted",1,Network Models and Protocols,0.09994668474756084
166,"checksum, pseudoheader, udp, header, internet checksum, checksum computed, computed, header checksum",5,TCP/IP Protocol Suite,0.3516400555591308
167,"tree, spanning tree, spanning, sink, sink tree, group, pruned, tree router",0,Introduction to Computer Networks,0.0
168,"forwarding table, forwarding, table, router forwarding table, router forwarding, forwarding table router, table router, link interface",13,Network Routing and Switching,0.22873153453529266
169,"syn, syn segment, segment, syn flood, segment client, client tcp, flood, tcp",1,Network Models and Protocols,0.17476818370238015
170,"traceroute, traceroute program, traceroutes, trace, program, www traceroute, trace route, traceroute org",0,Introduction to Computer Networks,0.0
171,"dtn, bundle, dtn node, dtns, bundle dtn node, bundle dtn, dtn architecture, storage",2,Network Topologies and Architectures,0.3336431716830679
172,"sequence number, sequence, packet sequence, packet sequence number, number, packet sent, duplicate, sent packet sequence",0,Introduction to Computer Networks,0.0
173,"request, request reply, response, response message, reply, http, http response message, backtoback",0,Introduction to Computer Networks,0.0
174,"snmp, managing, managing server, managed device, snmpv, managed, mib, pdu",18,Internet of Things (IoT) and Networking,0.1095586470728745
175,"tion, tions, following tions, tion look, tion tion, later tion, look, following",0,Introduction to Computer Networks,0.0
176,"transportlayer protocol, transport protocol, transportlayer, transport, protocol provides, protocol, provides logical, element transport protocol",2,Network Topologies and Architectures,0.41417233404156595
177,"mobile web, mobile, web, mobile device, desktop, device, content, smartphone",0,Introduction to Computer Networks,0.0
178,"interconnected, collection, network network, internet, internetworks, internetwork, connected internet, internet connected",5,TCP/IP Protocol Suite,0.3870461403588197
179,"section recall, recall, recall section, recall section recall, section recall section, section, recall discussion, section recall discussion",0,Introduction to Computer Networks,0.0
180,"switching, circuit switching, packet switching, circuit, switching packet, switching packet switching, circuit switching packet, switching circuit switching",13,Network Routing and Switching,0.645213168288201
181,"pixel, color, image, rgb, pixel pixel, bit pixel, eye, green",0,Introduction to Computer Networks,0.0
182,"channel, signaling, channel allocation, signaling channel, allocation, use channel, allocation problem, single channel",6,IP Addressing and Subnetting,0.10542029156919112
183,"udpclient, py, serverport, clientsocket, serversocket, socket, udpserver, bind",0,Introduction to Computer Networks,0.0
184,"gigabit, gigabit ethernet, ethernet, fast ethernet, mbps, fast, ethernet standard, compatibility",8,Ethernet and LAN Technologies,0.3775854262106298
185,"ct, rts, rts ct, ct frame, rts ct frame, rts frame, frame, frame rts",0,Introduction to Computer Networks,0.0
186,"timer, tick, timer expires, reset, expire, timer set, expires, timer management",15,Network Management and Troubleshooting,0.32710971516697157
187,"table, column table, column, note table, shown table, lookup, table shown table, numbered starting",0,Introduction to Computer Networks,0.0
188,"input bit, output bit, bit output, output, bit, input, bit input, mapped",0,Introduction to Computer Networks,0.0
189,"client server, client, client code, clientserver application, look client, code client, client server model, client server program",2,Network Topologies and Architectures,0.1350473675681937
190,"tunnel, tunneling, ipv, paris, london, multiprotocol router, multiprotocol, ipv packet",0,Introduction to Computer Networks,0.0
191,"ppp, aal, ppp frame, sonet, protocol ppp, hdlc, pointtopoint, frame format",0,Introduction to Computer Networks,0.0
192,"crc, crc code, polynomial, cyclic redundancy check, redundancy check, cyclic redundancy, cyclic, crc byte",0,Introduction to Computer Networks,0.0
193,"vpn, private network, virtual private, virtual private network, vpns, private, virtual, public internet",12,VPN (Virtual Private Network),0.4841240263666328
194,"procedure, stub, server procedure, remote procedure, client stub, procedure client, server stub, called procedure",2,Network Topologies and Architectures,0.13805744468052197
195,"tcp sender, loss, rate, congestion, loss rate, packet loss, tcp, sender",1,Network Models and Protocols,0.39613774109685
196,"switch, linklayer switch, packet switch, linklayer, router linklayer switch, router linklayer, switch router, implement layer",4,Network Layers and the OSI Model,0.14804915820031117
197,"country, france, boston ma, sept, white plain, ma, florida, state state",0,Introduction to Computer Networks,0.0
198,"station, suppose station, numbered station, transmitting station, hearreceive, station transmitting station, transmits hearreceive, transmitting",0,Introduction to Computer Networks,0.0
199,"bridge, frame port, port, port bridge, frame bridge, frame, bridge frame, frame sent port",0,Introduction to Computer Networks,0.0
200,"timeout, timeouts, timeout interval, timeout event, timeoutinterval, interval, event, interval timeout",0,Introduction to Computer Networks,0.0
201,"playout, playout delay, talk spurt, spurt, playout time, packet talk spurt, packet talk, scheduled playout",0,Introduction to Computer Networks,0.0
202,"mac address, mac, adapter, address adapter, address, mac address adapter, address mac address, address mac",0,Introduction to Computer Networks,0.0
203,"wimax, mobile wimax, wimax network, known wimax, fixed wimax, wimax fixed, fact wimax, wimax collision",19,Software-Defined Networking (SDN),0.293820391056047
204,"source, destination, router advertisement, outgoing line, solicitation, source destination, destination network, routed source",19,Software-Defined Networking (SDN),0.293820391056047
205,"data rate, rate, overhead, rate adaptation, adaptation, tion overhead, gross, overhead generated checked",13,Network Routing and Switching,0.31544838410775183
206,"encoding, ascii, encoded, ascii character, require expensive hardware, decode message, encoding option, require expensive",3,Network Devices and Hardware,0.6122454126585269
207,"sequence number, window, sequence, number, sliding window, sliding, window protocol, range sequence number",0,Introduction to Computer Networks,0.0
208,"downstream, upstream, mbps downstream, upstream downstream, downstream mbps, mbps downstream mbps, downstream mbps upstream, mbps upstream",0,Introduction to Computer Networks,0.0
209,"sha, hash, hash algorithm, cryptographic hash, hash function, sha hash, cryptographic, function",0,Introduction to Computer Networks,0.0
210,"quality service, quality, service, based quality, based quality service, flow based quality, support quality, support quality service",16,Quality of Service (QoS),0.4157335439178975
211,"collision, probability collision, equal probability collision, collision chosen, chosen equal probability, collision chosen equal, collision collision, equal probability",0,Introduction to Computer Networks,0.0
212,"mac address, mac, address field, address, contains mac, contains mac address, ap, address mac",0,Introduction to Computer Networks,0.0
213,"fsm, fsm description, description, fsm figure, state fsm, extended fsm, rdt, initial state fsm",0,Introduction to Computer Networks,0.0
214,"frame, bit frame, bit, error, zero appended, frame zero appended, frame start end, frame zero",0,Introduction to Computer Networks,0.0
215,"vlr, hlr, visited network, visited, roaming, mobile user, location register, location",19,Software-Defined Networking (SDN),0.293820391056047
216,"authentication, authentication protocol, authorization, simple authentication, authentication authentication, mutual authentication, mutual, password",0,Introduction to Computer Networks,0.0
217,"communication, communication possible, communicate, communication people, communicate communicate, sending communication possible, sending communication, communicate communicate communicate",0,Introduction to Computer Networks,0.29168138456566756
218,"spam, mail, spammer, junk, junk mail, spam email, mail spam, incoming mail",0,Introduction to Computer Networks,0.0
219,"tcp, tcp implementation, tcp us, ip product, ha et, al tcp, mail order, ha et al",1,Network Models and Protocols,0.45583380278781505
220,"forwarding, generalized forwarding, generalized, assured forwarding, assured, expedited forwarding, simple diffserv, simple diffserv network",13,Network Routing and Switching,0.23242202772877796
221,"access protocol, multiple access, multiple access protocol, random access, access, random access protocol, random, channel partitioning",10,Network Security and Threats,0.1315080658500466
222,"connection, connection establishment, establishment, establishing connection, assume connection, connection management, flow process, flow process process",4,Network Layers and the OSI Model,0.14298400885637183
223,"case, case case, consider case, case likely, case consider case, case consider, professional, consider",0,Introduction to Computer Networks,0.0
224,"hot potato, potato, hot potato routing, potato routing, hot, route, bgp, routeselection algorithm",13,Network Routing and Switching,0.3871279009729205
225,"tcp ip, model, ip model, tcp ip model, osi, reference model, tcp ip reference, ip reference",1,Network Models and Protocols,0.6609918189904321
226,"modem, cable modem, minislots, minislot, cmts, downstream channel, upstream, downstream",0,Introduction to Computer Networks,0.0
227,"application buffer, client application, client application buffer, buffer, client, server sends bit, sends bit, time ttf client",2,Network Topologies and Architectures,0.1255644323869101
228,"web server, web, companion website, website, assignment, server, skeleton code, skeleton",2,Network Topologies and Architectures,0.10354308351039149
229,"audio, low, high low, audio http, audio application, low low, low medium, http traffic",16,Quality of Service (QoS),0.5348400413627215
230,"envelope, body, smtp, header, email, message, email address, recipient",0,Introduction to Computer Networks,0.0
231,"label, flow label, path label, different label, label field, single label, set label, label switch",20,Network Virtualization,0.08054827763131425
232,"samplertt, estimatedrtt, samplertt value, value, rtt, devrtt, estimatedrtt samplertt, sample",0,Introduction to Computer Networks,0.0
233,"consider figure, figure consider figure, consider figure consider, figure consider, consider, figure, learning feature nicely, insight consider",0,Introduction to Computer Networks,0.0
234,"aloha, slotted aloha, slotted, efficiency slotted aloha, efficiency slotted, efficiency, pure, pure aloha",21,Network Design and Planning,0.12559027701689965
235,"handoff, base station, base, station, handover, old base station, old base, cell",0,Introduction to Computer Networks,0.0
236,"ipv datagram, datagram format, ipv, ipv datagram format, datagram, format, version, section ipv datagram",0,Introduction to Computer Networks,0.0
237,"attack, bad guy, guy, security, network security, bad, do attack, do",22,Wireless Security,0.5291241014582466
