Bucket Number,Bucket
259,"door, socket, client, serversocket"
260,"path, path length, path taken, path shown"
261,"id, signaturebased, signature, snort"
262,"toll, office, toll office, ixc"
263,"mtu, path mtu, mtu discovery, path mtu discovery"
264,"compression, decompressing, compression algorithm, later data"
265,"osi, osi model, model, osi reference model"
266,"option, choice, choose option, choose"
267,"ear, frequency, audibility, threshold audibility"
268,"token, ring, token ring, ring protocol"
269,"internet, internet internet, world internet, internetwork"
270,"bursty, traffic, burst, burst traffic"
271,"delay, packetization, processing delay time, connected router connected"
272,"error rate, bit error rate, bit error, error"
273,"base station, base, wireless host, wireless"
274,"formula, infinity, approach infinity, formula let"
275,"kbps, speech, uncompressed, voice"
276,"multipath, fading, multipath fading, path loss"
277,"bridge, lan, multidrop, join"
278,"tcp ip, protocol tcp, tcp ip protocol, ip protocol"
279,"process, client process, process server, process client"
280,"traffic, traffic destined, destined, originates unit traffic"
281,"design, property, worked long huge, large nonetheless"
282,"distribution time, distribution, minimum distribution, minimum distribution time"
283,"letter, plaintext, common letter, trigram"
284,"node, frame node, transmitting frame node, transmitting frame"
285,"wireshark, wireshark lab, lab, sniffer"
286,"section described, discussion, described section, section described section"
287,"method, method method, approach, niche let"
288,"networking, student want, recommendation student want, recommendation student"
289,"ond, ond strategy, ond requirement, onds"
290,"encrypted, ek, plaintext, encrypting"
291,"internet radio, radio, iptv, radio station"
292,"nonce, mics, nonce value, protocol us nonce"
293,"sender figure, figure sender, figure receiver, figure"
294,"advantage, benefit, strategy advantage advantage, advantage advantage"
295,"router crash, crash, router, router discarded"
296,"integrity, message integrity, confidentiality, message integrity technique"
297,"switch, connection switch, term bridge switch, switch interchangeably"
298,"nrz, manchester, manchester encoding, encoding"
299,"hop, time live, counter, time live field"
300,"area, border router, border, area border router"
301,"introduction introduction, introduction, introduction introduction introduction, introduction introduction medical"
302,"router figure, fig router, router fig router, router fig"
303,"analogy, analogy section, teacher student, clearer"
304,"address block, ispsrus, block address, block"
305,"army, blue army, blue, blue army attack"
306,"tsap, tsap address, portmapper, stable tsap address"
307,"social, social network, facebook, twitter"
308,"security, security mechanism, danger information, danger information leaking"
309,"sonet, carrier, sonet sdh, packet sonet"
310,"group, working group, working, divided working"
311,"secure email, email, secure, pgp"
312,"example example, example example example, example, exist course"
313,"nsf, nsfnet, backbone, nsfnet backbone"
314,"analog, digital, digital transmission, adc"
315,"switch, frame interface, filtering, forward frame"
316,"jpeg, image, subsequent image, redundancy"
317,"beacon, sleep, ap, wake"
318,"key, whitening key, whitening, key key"
319,"ecn, congestion, explicit congestion notification, congestion notification"
320,"slot, tdm, time slot, frame tdm"
321,"gbn, gbn protocol, gbn sr, sr"
322,"distance vector routing, vector routing, vector, distance vector"
323,"repeat, forever, line process, data point"
324,"subtypes, subtype, type, subtype field"
325,"value value, value, recommended value, use value"
326,"nr, seq, expected, frame expected"
327,"ike, sa, ike sa, ipsec"
328,"routing protocol, intradomain, interas, interdomain"
329,"ack, syn, syn ack, synack"
330,"execute, program, executable program, executable"
331,"bridge, hash table, manual configuration, inside bridge"
332,"file transfer, throughput file, throughput file transfer, throughput"
333,"work, work work, job work, privilege guess paul"
334,"connectionless, connection oriented, oriented, connectionless service"
335,"transmission, transmission method, pin, base station"
336,"proxy, proxy proxy, cleartext, web site"
337,"cocktail party, party, cocktail, partygoer"
338,"reorder, order sent, reorder message, corrupt"
339,"suppose, xr suppose, xr, suppose ususuunn suppose"
340,"switch figure, switch table, uppermost switch figure, uppermost switch"
341,"wep, equivalent privacy, wired equivalent, wired equivalent privacy"
342,"network core, core, edge, network edge"
343,"security, security service, security functionality, provide security"
344,"audio, audio video, video, sound"
345,"network performance, performance, measurement, measuring"
346,"kbps, ran, kbps kbps, bit kbps"
347,"receive receive, sent, sent faster version, sent perth complete"
348,"information, information information, hope information, hope information need"
349,"diffserv, phb, diffserv architecture, marking"
350,"window, window update, update, sends window update"
351,"tree, zebra, tree tree, search begin"
352,"capacity, capacity megabit, increase capacity, demand"
353,"discussed section, discussed section discussed, section discussed section, section discussed"
354,"pp, peer, file, distributing file"
355,"answer, following question, answer following question, answer following"
356,"fec, forward error correction, forward error, interleaving"
357,"protocol shown, fig protocol, protocol shown figure, protocol shown fig"
358,"sequence number, sequence, sequence number frame, number frame"
359,"networking, design, network designer, innovation"
360,"content, content distribution, content distribution network, distribution network"
361,"stopandwait, stop wait, wait protocol, wait"
362,"code, advanced code, simple code, block code"
363,"udp, socket programming, clientserver application, udp client"
364,"acknowledgement, receipt, end acknowledgement, end end acknowledgement"
365,"joe, florida, orlando, gas station"
366,"true false, true, false, true false true"
367,"station, transmits frame, frame, station transmits frame"
368,"ethernet frame, ethernet, frame ethernet, frame ethernet frame"
369,"mime type, mime, type, existing association"
370,"packet lifetime, lifetime, maximum packet lifetime, maximum packet"
371,"mobility, nomadic, situation laptop, gain access"
372,"voice, voice data, digital voice, data traffic"
373,"sin, fourier, co, amplitude"
374,"multiplexing, inverse multiplexing, inverse, multiplexing section"
375,"message fig, fig message, message shown, fig message shown"
376,"sends frame, trying send, frame, frame sender"
377,"transmission rate, link transmission, rc, link transmission rate"
378,"ellen, dean, marilyn, letter"
379,"session key, session, key, session key computed"
380,"choke packet, choke, choke packet reach, required reduce"
381,"replay attack, replay, attack, defend replay attack"
382,"mpls, label, label switching, multiprotocol label"
383,"quantum, quantum cryptography, photon, cryptography"
384,"internet traffic, cisco, majority internet, traffic video"
385,"multiple bit, padded, length, message bit"
386,"access point, point, access, building access point"
387,"follow, follow route, packet follow, route"
388,"trudy, trudy trudy, trick, got"
389,"happens happens, happens happens happens, happens, happen"
390,"tape, magnetic, ultrium tape, magnetic tape"
391,"host sends segment, sends segment, host sends, segment host"
392,"public key, certificate, public, certification"
393,"tollbooth, caravan, car, car caravan"
394,"network management, software, subramanian, network application"
395,"army, war, army problem, soldier"
396,"buffer, bd, offered load, ac"
397,"sneaky, consumer, online, sale"
398,"bridge, spanning tree, spanning, tree"
399,"route, route route, lie, rest route discover"
400,"terminal, hidden terminal, terminal problem, hidden"
401,"check bit, bit check bit, bit check, bit"
402,"chunk, peer, chunk peer, torrent"
403,"nak, sender time, frame, eventually sender"
404,"udp streaming, streaming, udp, video"
405,"ethernet frame, ethernet frame containing, bob laptop, switch delivers"
406,"match, guarantee, guarantee hard, hard match short"
407,"finish, finish time, time packet, round"
408,"message authentication code, authentication code, message authentication, mac"
409,"macroblock, previous frame, macroblocks, previous"
410,"checksum, checksummed, checksummed frame, checksum recomputed"
411,"close, close connection, wait connection, client close"
412,"thermostat, appliance, laptop, console"
413,"power, power management, electrical power, management"
414,"dhts, hash table, distributed hash, distributed hash table"
415,"gbps, mbps ethernet, mbps, gbps ethernet"
416,"export, export license, license, government"
417,"point point link, point link, pointtopoint, point"
418,"error detection, detection correction, error detection correction, correction"
419,"age seq, seq age, seq age seq, age seq age"
420,"topology, topology shown, topology fig, view example"
421,"dtrans, dtrans time, dprop, suppose dprop"
422,"communication channel, underlying channel, channel, assumed error"
423,"kerberos, needham schroeder, schroeder, needham"
424,"transit, transit traffic, transit service, balance"
425,"id sensor, id, sensor, intrusion"
426,"multiplexing demultiplexing, demultiplexing, multiplexing, transportlayer multiplexing demultiplexing"
427,"time lr, lr, entire packet, bit router"
428,"saw section, saw section saw, section saw section, section saw"
429,"shift keying, keying, shift, amplitude"
430,"socket, network application, socket programming, berkeley"
431,"msec, second packet, packet msec, spacing"
432,"come come, come, thing go resigning, thing go"
433,"wireless, technical challenge, challenge, distinction challenge posed"
434,"buffer, receiver, dedicate, buffering"
435,"array, state array, state, min"
436,"hash, hash function, hash hm, creates message"
437,"case shown, figure case, case shown figure, shown figure case"
438,"rack, simultaneous flow, host rack, simultaneous"
439,"learned section, section learned section, section learned, learned section learned"
440,"network layer ready, layer ready, network layer, ready event"
441,"receiver, wait low power, initially receiver, interested knowing number"
442,"roundabout, car, exit, ramp"
443,"destination, address destination, destination ip, destination address"
444,"polling, master node, polling protocol, node"
445,"zigbee, personal area network, personal area, zigbee network"
446,"isolation, class, isolation class, providing isolation"
447,"packet loss, loss, packet loss probability, loss probability"
448,"itu, tor, tor itu, itu tor"
449,"range, range range, older block range, range negligible"
450,"packet containing, bit suppose, packet byte, containing"
451,"sublayer, mac sublayer, mac sublayer protocol, sublayer protocol"
452,"peering, relationship, advertisement, peering relationship"
453,"aloha, slotted, slotted aloha, aloha protocol"
454,"metcalfe, boggs, metcalfe boggs, network metcalfe boggs"
455,"mapping, possible mapping, mapping possible mapping, mapping possible"
456,"reverse path forwarding, reverse path, path forwarding, reverse"
457,"context switch, kernel, context, receiving process"
458,"drop packet, router drop packet, router drop, drop"
459,"ascii, character, ascii representation, letter uppercase"
460,"format, output format, output format long, format long unambiguous"
461,"pp, pp architecture, architecture, minimal reliance"
462,"rtp, rtp stream, stream, audio video"
463,"adapter, aging time, address fefa, fefa"
464,"cell, frequency, neighboring cell, frequency reused"
465,"server executes, executes, listen, establish connection"
466,"common factor, number chosen, force suitable value, suitable value common"
467,"wave, earth, band, lf mf band"
468,"hop, metric, distance hop, execution instance"
469,"blocked, traffic blocked, network allowed, host traffic"
470,"movie, metafile, linked, step"
471,"scenario, scenario shown figure, scenario shown, shown figure scenario"
472,"broadcast, broadcast lan, connected broadcast, broadcast link"
473,"region, hierarchy, cluster, hierarchical routing"
474,"packet size, overhead, small packet, small packet size"
475,"routing table, initial routing table, initial routing, table"
476,"router router, packet source, packet make, hop"
477,"multimedia, multimedia networking, networking, support multimedia"
478,"knapsack, weight, object, algorithm knapsack algorithm"
479,"index, index distributed, distributed, peer"
480,"city, philadelphia, toronto hong kong, toronto hong"
481,"error, error correcting code, correcting code, error correcting"
482,"mechanism, studied section, machinery resolution, mechanism driven need"
483,"symbol, volt, represent bit, volt represent"
484,"movie, music, movie rental, sharing"
485,"turn, processed turn wrong, problem way dealing, unecessary"
