bucket_topic_number,bucket_topic,book_topic_number,book_topic,score
38,"bsd, freebsd, bsd unix, mach, berkeley, bsd kernel, bsd bsd, unix, implementation freebsd, freebsd unix",10,File System Implementation,0.2884878445612371
39,"dma, dma controller, controller, transfer, dma transfer, dma channel, dma chip, bus, channel, device controller",11,I/O Systems and Device Management,0.6456086634917768
40,"instruction, instruction set, privileged, sensitive, privileged instruction, sensitive instruction, execute, instruction execute, instruction pointed, different instruction",23,Real-Time and Embedded Systems,0.2919429573966913
41,"memorymapped, memorymapped file, mapped, mapped file, mapping, map file, map, memory memorymapped, memory mapping, process map",9,File Systems and Storage Management,0.4827595992979575
42,"pagereplacement, replacement, pagereplacement algorithm, page replacement, algorithm, replacement algorithm, lru, page replacement algorithm, fifo, optimal",8,Memory Management: Virtual Memory,0.33766345727537583
43,"vmware, vmware workstation, esx, workstation, esx server, host operating, vmx, host, study vmware, vmwares",26,Case Study: Android Operating System,0.14869812804363008
44,"physical address, address, logical address, logical, physical, virtual address, address logical address, address physical address, address logical, address physical",22,Virtualization and Hypervisors,0.18659353591869943
45,"clock, timer, tick, clock tick, watchdog, clock timer, time signal, clock driver, expiration, programmable",23,Real-Time and Embedded Systems,0.5205992294365145
46,"userlevel thread, userlevel, kernel thread, kernellevel, kernellevel thread, thread, thread kernel, thread user, user thread, kernel",1,Operating System Structures and Components,0.424365397289764
47,"parallelism, parallel, core, concurrency, run parallel, multicore, task parallelism, concurrent, data parallelism, computing core",23,Real-Time and Embedded Systems,0.08024122866355145
48,"priority, priority thread, thread priority, priority class, boost, class, thread, highest, relative priority, base priority",5,CPU Scheduling,0.27386595188076945
49,"fault, page fault, page, fault occurs, page fault occurs, occurs, instruction, fault occur, soft fault, minor",8,Memory Management: Virtual Memory,0.23876412039831232
50,"owner, group, owner group, protection, access, access file, permission, access control, file, file protection",19,Security and Protection in Operating Systems,0.47706665753981525
51,"signal, signal handler, signal sent, process group, handler, signalhandling, signal sent process, kill, signal process, sent process",0,Introduction to Operating Systems,0.3135069244399154
52,"pool, thread pool, executor, java, thread, runnable, executorservice, java thread, chapter thread concurrency, thread concurrency",0,Introduction to Operating Systems,0.0
53,"protocol, tcpip, layer, protocol stack, osi, network protocol, networking, network, transport, networking protocol",17,Network Structures and Protocols,0.49433844496234425
54,"bitmap, free, allocation unit, free block, bitmap free, bitblt, free list, bitmap bitmap, list bitmap, block",0,Introduction to Operating Systems,0.3135069244399154
55,"sleep, wake, wakeup, wake lock, awakened, sleep wakeup, waiting bit, wakeup waiting bit, wakeup waiting, event",23,Real-Time and Embedded Systems,0.2919429573966913
56,"vmm, guest, vmms, guest guest, guest guest guest, guest vmm, balloon, host, virtual machine, vmm virtual machine",22,Virtualization and Hypervisors,0.42762401590246835
57,"executable, header file, header, executable file, source file, object file, source, binary, file executable, code file",9,File Systems and Storage Management,0.7575312657593908
58,"rpc, remote procedure, stub, procedure, remote, rpcs, client, client stub, remote procedure call, procedure client",15,Distributed File Systems,0.2295995486199535
59,"cylinder, head, arm, request cylinder, seek, rpm, rotate, request, direction, pending request",0,Introduction to Operating Systems,0.0
60,"email, camera, email application, picture, camera application, composeactivity, app process, app, activityrecord, example email",26,Case Study: Android Operating System,0.27829587937249717
61,"shell, command, command interpreter, interpreter, commandline, shell command, bash, commandline interface, shell script, bourne",28,System Calls and API,0.3439529944331668
62,"resource, thread request, resource thread, thread request resource, request resource, resource type, instance resource, thread, instance resource type, allocated thread",19,Security and Protection in Operating Systems,0.2251584008191223
63,"remote, remote file, ftp, client, remote file access, transfer file, transfer, transfer protocol, access remote, file client",15,Distributed File Systems,0.5547497803786197
64,"nvm, nvm device, nonvolatile, flash, nonvolatile memory, storage, device, flash memory, hdds, nonvolatile memory device",11,I/O Systems and Device Management,0.49222552477393305
65,"backup, dump, incremental, restore, dumping, backup medium, incremental dump, backup program, restored, incremental backup",3,Processes and Threads,0.38844063103835946
66,"link, symbolic link, symbolic, hard link, hard, linking, directory, link file, directory entry, directory hard link",12,Mass Storage Structures,0.2315494390314466
67,"error, error condition, exception, error checking, reporting, error code, error reporting, status, condition error, possible error",0,Introduction to Operating Systems,0.0
68,"file system, filesystem, filesystem implementation, multiple file, system, multiple file system, implementation, virtual file, fuse, system file",10,File System Implementation,0.7285289761451217
69,"scheduling algorithm, scheduling, algorithm, scheduler, algorithm schedule, schedule, different scheduling, circumstance scheduling, algorithm goal, operation scheduler",5,CPU Scheduling,0.8045379548073075
70,"client, server, client server, clientserver, web, clientserver model, web server, client client, single machine, machine client",22,Virtualization and Hypervisors,0.19099582369019302
71,"unix, unix system, unix system work, system work like, version unix, popularity, unix world, unix software, feature unix, design",28,System Calls and API,0.3302082001191277
72,"module, kernel module, symbol, module loaded, kernel, loadable, loading, loaded, dmesg, module entry",1,Operating System Structures and Components,0.30601423989217824
73,"line, esc, escape, line feed, character, escape sequence, carriage return, carriage, feed, cursor",0,Introduction to Operating Systems,0.0
74,"sec, sec sec, sec study, sec operating, sec case, call sec, case sec, result sec, implemented sec, sec system",24,Case Study: The Linux Operating System,0.20239412286298675
75,"algorithm, set algorithm, algorithm algorithm, algorithm work, selecting algorithm, working set algorithm, optimal, working set, algorithm use, algorithm set algorithm",13,Distributed Systems and Networking,0.07327975453838313
76,"openfile table, openfile, table, quota, open, table file, systemwide, open file, systemwide openfile, systemwide openfile table",9,File Systems and Storage Management,0.7575312657593908
77,"child, parent, wait, exit, wait child, parent process, child process, zombie, exit status, waitpid",0,Introduction to Operating Systems,0.3135069244399154
78,"domain, domain domain, executing domain, process executing domain, object domain, process executing, right, access right, domain switch, switch domain",0,Introduction to Operating Systems,0.2839793498888717
79,"multicore, core, chip, multicore chip, multiprocessor, multicore system, multicores, manycore, chip multicore, core multicore",28,System Calls and API,0.4164706882712118
80,"mode, kernel mode, user mode, mode kernel, mode kernel mode, privileged, user mode kernel, mode user mode, mode user, kernel",1,Operating System Structures and Components,0.43012255531899446
81,"matrix, access matrix, domain, accessmatrix, row, column, access, matrix object, matrix row, row domain",19,Security and Protection in Operating Systems,0.3752640013652038
82,"mft, mft record, record, attribute, fit mft record, fit mft, mft entry, mft file, base record, record mft",9,File Systems and Storage Management,0.43703600839579454
83,"priority, higher, scheduling, priority process, higher priority, process priority, lower priority, task assigned, priority scheduling, highest",5,CPU Scheduling,0.5122593633393369
84,"semaphore, mutex, mutex lock semaphore, lock semaphore, mutex lock, lock, semaphore mutex, mutexes, binary semaphore, semaphore mutexes",4,Process Synchronization,0.37419264922191636
85,"sequential, position, position file, read, current position, random access, read write, access file, sequentially, file read",9,File Systems and Storage Management,0.6303041126452205
86,"binding, job, time, run time, job hour, short job, hour, shortest, binding time, long job",23,Real-Time and Embedded Systems,0.48763556318885487
87,"file size, size, maximum size, file smaller, file, maximum, size file, maximum file, large, final size",9,File Systems and Storage Management,0.7575312657593908
88,"hash, hash table, hash function, hashed, sha, table, hash value, entry hash, hashing, hashed page",8,Memory Management: Virtual Memory,0.2516794813284454
89,"priority, priority class, class, nice value, nice, priority inversion, inversion, normal, normal priority, priority class priority",5,CPU Scheduling,0.2776435917374666
90,"synchronization, statei, synchronization primitive, java, synchronization mechanism, synchronization tool, primitive, traditional synchronization, sync, monitor",4,Process Synchronization,0.30485779979355865
91,"page size, size, larger page, larger page size, page, size page, small page size, small page, larger, page size linux",8,Memory Management: Virtual Memory,0.249735981344987
92,"page table, guest, shadow page, shadow, shadow page table, hypervisor, table, page, nested, physical page",8,Memory Management: Virtual Memory,0.24679203585858736
93,"card, smart card, smart, credit, money, bank, account, telephone, credit card, reader",0,Introduction to Operating Systems,0.0
94,"queue, ready queue, ready, process queue, queue process, tail, pcb, wait queue, new process, queue pcb",0,Introduction to Operating Systems,0.3135069244399154
95,"lock, release lock, locking, try, clause, release, acquire, acquire lock, lock process, lock released",0,Introduction to Operating Systems,0.3135069244399154
96,"touch, screen, finger, touch screen, multitouch, capacitive, resistive, finger screen, touchscreen interface, touchscreen",28,System Calls and API,0.3439529944331668
97,"struct, task struct, task, handle, handle handle, struct task, handle handle handle, handletable, struct task struct, objectb",23,Real-Time and Embedded Systems,0.2919429573966913
98,"android, google, google play, proprietary, development, platform, play, development android, android google, cloudtodevice",26,Case Study: Android Operating System,0.5931698575100127
99,"assembly, assembly language, language, million, million line, line code, written assembly, compiler, million line code, written assembly language",0,Introduction to Operating Systems,0.0
100,"path, working directory, absolute, absolute path, path name, directory, relative path, relative, current directory, working",9,File Systems and Storage Management,0.08937544256418013
101,"exist, possibility, possibility exist, big deal, told friend, exist explain, told, true wait, explain answer, explain",0,Introduction to Operating Systems,0.0
102,"compression, compressed, deduplication, compression algorithm, ntfs, compress, uncompressed, file compression, compression unit, compressed file",9,File Systems and Storage Management,0.2522604283047519
103,"cloud, cloud computing, computing, docker, iaa, data center, amazon, software service, center, virtualization",13,Distributed Systems and Networking,0.1951316028740393
104,"utilization, cpu utilization, utilization percent, percent, cpu, degree, cpu utilization percent, utilization cpu, increase cpu, increase cpu utilization",2,Computer System Structures,0.32291510491316927
105,"termination, termination process, terminate, exit, terminate process, terminated, process termination, creation termination, process terminate, creation termination process",0,Introduction to Operating Systems,0.3135069244399154
106,"slab, allocator, slab allocator, kernel memory, slab allocation, contiguous page, contiguous, physically contiguous, allocating kernel, allocating kernel memory",7,Memory Management: Early Systems,0.4869327145782798
107,"lock, lock byte, shared lock, exclusive, exclusive lock, lock file, locking, file lock, locked, file locking",9,File Systems and Storage Management,0.6982361430754884
108,"kernel, kernel kernel, kernel data structure, kernel data, kernel algorithm, kernel subsystem, course kernel, easier modify, kernel simpler, simpler easier modify",1,Operating System Structures and Components,0.2984244792223689
109,"ibm, gate, ibms, kildall, ibm came, ibm ibm, microsoft, digital research, cpm, company",25,Case Study: Microsoft Windows Operating System,0.07500334635867288
110,"disk, hard disk, floppy, disk disk, hard, floppy disk, disk controller, drive, disk drive, formatting",12,Mass Storage Structures,0.17099704744059027
111,"volume, partition, file system, storage, volume manager, multiple partition, multiple, storage device, secondary storage, span",9,File Systems and Storage Management,0.39104620687985436
112,"browser, web, web browser, web page, chrome, spreadsheet, url, website, browser process, renderer process",0,Introduction to Operating Systems,0.26139099645930713
113,"uid, gid, uid gid, effective uid, effective, real uid, real, uid user, process uid, gid combination",23,Real-Time and Embedded Systems,0.19214820340448385
114,"tree, directory, treestructured, treestructured directory, directory tree, hierarchical directory, subdirectory, twolevel directory, singlelevel directory, hierarchical",9,File Systems and Storage Management,0.08937544256418013
115,"burst, cpu burst, cpu burst time, cpu, burst time, completes cpu burst, completes cpu, burst burst, burst cpu, cpu burst burst",5,CPU Scheduling,0.3145335481574535
116,"section section, section section section, section, shall section, shall section section, section shall section, section shall, shall, work section, section code implementing",13,Distributed Systems and Networking,0.10363322271555278
117,"paging, demand paging, demand, memory paging, swapping, memory, memory demand, coloring, virtual memory demand, paging memory management",8,Memory Management: Virtual Memory,0.6534859160553053
118,"capability, object capability, object, right, new capability, capability list, capability point, indirect object, capability capability, capability created",0,Introduction to Operating Systems,0.0
119,"unix linux android, linux android, case study unix, study unix linux, study unix, android chap, linux android chap, unix linux, case study, study",24,Case Study: The Linux Operating System,0.4600204797872459
120,"fig, fig fig, fig instead, look fig, fig fig fig, arrow fig, saw fig, arrow, fig look fig, fig instead fig",10,File System Implementation,0.09302752760164179
121,"color, pixel, palette, color palette, image, blue, bit color, gif, loworder bit, resolution",0,Introduction to Operating Systems,0.0
122,"cdrom, iso, file cdrom, cdroms, volume descriptor, cdrom file, primary volume descriptor, primary volume, rock, rock ridge",9,File Systems and Storage Management,0.7575312657593908
123,"activity, intent, activity manager, package, manager, application, android, manifest, package manager, launcher",26,Case Study: Android Operating System,0.6438654522291161
124,"right notice, right notice oper, notice oper, clearly right notice, clearly right, oper, clearly, notice, right, ",0,Introduction to Operating Systems,0.0
125,"message, receive, receive message, message process, process sends, message passing, sent, message receive message, message receive, sends message",14,Distributed Coordination and Communication,0.39000837316154774
126,"layer, layered, layer layer, software layer, layered approach, lowerlevel layer, layering, layer software, layered operating, fewer layer",28,System Calls and API,0.34419858204323545
127,"disadvantage, advantage, advantage disadvantage, drawback, disadvantage advantage, advantage method, model advantage, benefit, approach, method advantage disadvantage",17,Network Structures and Protocols,0.2331010120994602
128,"page table, inverted page table, inverted page, inverted, table, twolevel, table inverted, page table inverted, table inverted page, page",8,Memory Management: Virtual Memory,0.2516794813284454
129,"vfs, vnode, vfs layer, concrete file, layer, virtual file, concrete, rnode, file vfs, vfs know",9,File Systems and Storage Management,0.6982361430754884
130,"page table, table, memory reference, page, pagetable entry, pagetable, memory table, table page, memory, table memory",8,Memory Management: Virtual Memory,0.5488434549859605
131,"fragmentation, internal fragmentation, external fragmentation, internal, external, fragmentation problem, fragmentation external, fragmentation external fragmentation, fragmentation internal, fragmentation fragmentation",0,Introduction to Operating Systems,0.0
132,"context switch, context, switch, contextswitch, number context, number context switch, contextswitch time, nonvoluntary, world switch, voluntary",23,Real-Time and Embedded Systems,0.5205992294365145
133,"firewall, company computer, dmz, hardware firewall, lan, company, network firewall, connection, software firewall, computer firewall",17,Network Structures and Protocols,0.34199048083024447
134,"systemd, child process, child, parent process, tree, process tree, process child, parent, systemd process, init",0,Introduction to Operating Systems,0.3135069244399154
135,"dfs, clusterbased, dfs model, clusterbased dfs, naming, distributed, dfss, conventional, clientserver, clusterbased dfs model",15,Distributed File Systems,0.24732543095880055
136,"privilege, ring, protection, principle privilege, principle, protected, process user resource, needtoknow, user resource, protection ring",19,Security and Protection in Operating Systems,0.31470598399457383
137,"jvm, java, java program, java virtual, interpreter, java virtual machine, class, java interpreter, virtual machine jvm, jvm interpreter",22,Virtualization and Hypervisors,0.4379839462495004
138,"systemcall, systemcall interface, interface, library, standard library, provides systemcall, provides systemcall interface, systemcall handler, instead systemcall, operating systemcall",28,System Calls and API,0.29019118269865646
139,"dlls, library, dynamic, linking, dynamic linking, dll, link library, loaded, linked, dynamic link",0,Introduction to Operating Systems,0.0
140,"address space, space, address, virtual address space, virtual address, physical memory, address space process, virtual, space process, virtual memory",8,Memory Management: Virtual Memory,0.4920212033895178
141,"mmu, physical address, address mmu, memory management unit, management unit, address, unit mmu, management unit mmu, physical, memory management",0,Introduction to Operating Systems,0.4458205954874974
142,"shared file, file sharing, sharing, share file, sharing file, semantics, multiple user, share, shared, multiple user share",9,File Systems and Storage Management,0.4197593967418235
143,"ntfs, ntfs file, file ntfs, metadata, ntquer, volume, ntfs volume, master file table, data stream, master file",9,File Systems and Storage Management,0.7509958886833777
144,"failure, reliability, fault tolerance, tolerance, fault, fault tolerant, tolerant, self healing, healing, military",6,Deadlocks and Deadlock Handling,0.10275594781425726
145,"paging, demand paging, demand, paging system, demandpaging, paging algorithm, performance demand paging, performance demand, paging program, paging strategy",8,Memory Management: Virtual Memory,0.3214199675104145
146,"process memory, insufficient, memory, memory process, memory allocated process, memory allocated, memory time, insufficient memory, time requires, stat command",16,Distributed Shared Memory,0.5182773815194373
147,"intel, amd, architecture, chip, amd architecture, bit cpu, bit architecture, bit, amd intel, alpha",2,Computer System Structures,0.37272939204674255
148,"limit register, base, base limit, limit, register, base limit register, relocation, base register, relocated, relocation register",7,Memory Management: Early Systems,0.410189182978509
149,"clone, flag, new thread, clone clone, child task, flag passed clone, passed clone, flag passed, parent, signal handler",23,Real-Time and Embedded Systems,0.2919429573966913
150,"process equal, process equal process, equal process, process process, process consider, process consider consisting, consider consisting process, process described section, equal, process",0,Introduction to Operating Systems,0.3135069244399154
151,"spinlocks, spinlock, spin, spin lock, lock, short duration, kernel preemption, duration, held short duration, held short",1,Operating System Structures and Components,0.30601423989217824
152,"wan, internet, network, widearea network, widearea, arpanet, lan, localarea network, localarea, worldwide",17,Network Structures and Protocols,0.6963340764769544
153,"cpu memory, cpu, cpu cpu, local memory, cpu cpu cpu, interconnect, access local memory, memory cpu, access local, memory module",2,Computer System Structures,0.43394420759454644
154,"registry, hive, configuration, hklm, configuration information, registry key, key, registry configuration, configuration manager, key value",21,Security in Distributed Systems,0.28785005293973615
155,"read file, read, file read, write file, read write, file called standard, called standard, write, file opened, read write file",9,File Systems and Storage Management,0.7575312657593908
156,"time, time time, time time time, time figure, period, reference expected, time time figure, block time time, figure time figure, time reference",23,Real-Time and Embedded Systems,0.5205992294365145
157,"discus, section discus, approach discus, discus discus, discus relative merit, merit, discus pro, discus pro con, discus relative, relative merit",0,Introduction to Operating Systems,0.0
158,"swap, swap space, swapping, swapspace, raw partition, partition, support swapping, space, swap partition, raw",0,Introduction to Operating Systems,0.0
159,"rootkit, rootkits, sony, hide, rootkit hide, cd, operating application virtual, sony rootkit, kind rootkit, application virtual machine",22,Virtualization and Hypervisors,0.3458587002266469
160,"programmer, chief programmer, chief, team, project, software project, secretary, software development, software, team like",28,System Calls and API,0.32902930884672
161,"journaling, journaling file, ext, journal, logstructured, journaling file system, logstructured file, file system, jbd, logstructured file system",10,File System Implementation,0.7095560522748093
162,"linked list, list, linked, list head, struct, struct color, head, color, element, macro",0,Introduction to Operating Systems,0.0
163,"free software, opensource, gpl, opensource operating, opensource operating system, license, free, source code, source, software",28,System Calls and API,0.41021844999435564
164,"multiple processor system, processor system, multiple processor, processor system chap, system chap, chap multiple processor, chap multiple, processor, system chap multiple, multiple",28,System Calls and API,0.17041736104187438
165,"mount, mounting, mounted, mount file, file mounting, mount point, mounting file, file mounted, automounting, unmounted",9,File Systems and Storage Management,0.7575312657593908
166,"figure figure, figure figure figure, figure, figure prog figure, figure jim usrjim, figure figure jim, fat figure sec, figure figure bored, figure fat, figure jim",0,Introduction to Operating Systems,0.0
167,"virus, boot sector, vector, boot, memoryresident, memoryresident virus, sector, interrupt vector, trap vector, sector virus",27,System Boot and Initialization,0.3093420420457921
168,"feature, flexibility, principle, life imitating, imitating, modular, guiding, guiding principle, flexible, pretty",0,Introduction to Operating Systems,0.0
169,"address space, space, address space address, space address, space address space, address, virtual address space, us address, virtual address, space general",22,Virtualization and Hypervisors,0.42747337460493323
170,"tpm, pcr, bootloader, secure, trusted, hash, party, value pcr, secure kernel, measurement",21,Security in Distributed Systems,0.296921904128724
171,"process thread, thread window, thread, process process, process thread window, thread section, thread process, window thread, implementation process thread, process contains thread",0,Introduction to Operating Systems,0.30804194774002025
172,"fig, fig situation, shown fig situation, illustrated fig, shown fig, situation shown fig, situation shown, illustrated, situation, shown",0,Introduction to Operating Systems,0.0
173,"allocation, contiguous, linked allocation, linked, indexed, indexed allocation, contiguous linked, contiguous allocation, allocation linked, block indexed allocation",7,Memory Management: Early Systems,0.45698355045875266
174,"mount, mounted, remote directory, mounting, remote, client, directory, client mounted, export list, mount protocol",15,Distributed File Systems,0.16235139778653954
175,"hypervisors, type hypervisors, type, type hypervisor, hypervisor, hypervisors type, type hypervisors type, hypervisors type hypervisors, type type, type type hypervisors",22,Virtualization and Hypervisors,0.38355136660678163
176,"msdos, msdos file, old msdos, window msdos, version, msdos window, msdos directory entry, graphical environment, version window, msdos operating",9,File Systems and Storage Management,0.3766496609284176
177,"critical region, region, critical, region process, critical region process, enters critical region, enters critical, enter, noncritical region, process critical region",4,Process Synchronization,0.18731001523948665
178,"pthread, attr, pthread attr, scope, pthreads, attr attr, thread pthread, param, pthread scope, pthread attr attr",0,Introduction to Operating Systems,0.0
179,"reader, writer, reader writer, readerswriters problem, readerswriters, exclusive access, database, reader writer problem, writer problem, exclusive",19,Security and Protection in Operating Systems,0.3752640013652038
180,"security, security feature, window, security window, feature, window vista, vista, new security, feature window, mitigation",20,System Security Measures,0.552890618992904
181,"hardware, hardware hardware, hardware support, hardware manufacturer, hardware computer, lowest level hardware, hardware different, hardware software, innovative, level hardware",2,Computer System Structures,0.1267438736599206
182,"procedure, procedure call, posix procedure, local procedure, posix procedure call, local procedure call, posix, calling called, calling called procedure, procedure call window",0,Introduction to Operating Systems,0.0
183,"applet, untrusted applet, sandbox, untrusted, trusted, web page, applet fetched, web, web page contain, page contain",8,Memory Management: Virtual Memory,0.2516794813284454
184,"segment, segment segment, segment segment segment, segmentation, segment descriptor, segment register, descriptor, descriptor segment, segment descriptor segment, replaced segment fig",8,Memory Management: Virtual Memory,0.3355726417712606
185,"accesscontrol, access list, access, default set, accesscontrol list, denied, access object, access control, permission, access access",19,Security and Protection in Operating Systems,0.4452470829005483
186,"pipe, named pipe, named, pipe named, pipe named pipe, ordinary pipe, communication, ordinary, named pipe named, communicate",13,Distributed Systems and Networking,0.27571074087072195
187,"pcie, bus, pci, hub, lane, pci bus, pcie slot, usb, slot, pcie bus",0,Introduction to Operating Systems,0.0
188,"idle, cpu idle, idle time, cpu, go idle, idle process, idle thread, sat, sat idle, idle idle",5,CPU Scheduling,0.3403979440924629
189,"socket, socket created, socket descriptor, local socket, socket socket, bind, socket allow, connection, telephone, endpoint",15,Distributed File Systems,0.07653318287331784
190,"roundrobin, roundrobin scheduling, scheduling, roundrobin scheduler, priority, quantum, priority scheduling, realtime roundrobin thread, realtime roundrobin, priority roundrobin",5,CPU Scheduling,0.7426515626030457
191,"distributed system, distributed, network distributed, distributed operating, network distributed system, network, system, system distributed, distributed system distributed, network operating",13,Distributed Systems and Networking,0.5426543666269471
192,"dns, host, hostid, host network, domainname, naming, hostname, network number, network host, host address",17,Network Structures and Protocols,0.644477787335029
193,"fiber, thread fiber, fiber fiber, fiber thread, process thread fiber, job process thread, job process, fiber created, running fiber, thread fiber fiber",0,Introduction to Operating Systems,0.3135069244399154
194,"race, race condition, condition, race condition possible, condition possible, prevent race, shared data, race condition occur, condition occur, concurrent access",4,Process Synchronization,0.3702054485983443
195,"device independent, device, device independence, independence, new device, hardware device, independent, install new hardware, hide peculiarity specific, peculiarity specific hardware",11,I/O Systems and Device Management,0.5356232435809754
196,"transfer rate, transfer, rate, streaming transfer, streaming, access latency, streaming transfer rate, transfer time, megabyte, latency",18,Distributed Multimedia Systems,0.29810116472540804
197,"frame, free frame, freeframe, freeframe list, page frame, free, old page, list, pool free frame, pool",8,Memory Management: Virtual Memory,0.2516794813284454
198,"loaded memory, program loaded, program loaded memory, loader, program memory, loaded, load, loaded memory executed, memory executed, program",16,Distributed Shared Memory,0.39707419619930856
199,"microkernel, microkernels, monolithic, microkernel approach, microkernel design, typical microkernel, based microkernel, modular, service running, layered",18,Distributed Multimedia Systems,0.07970241941195917
200,"fetch, instruction, decode, operand, fetch instruction, register, fetch instruction memory, execute unit, instruction memory, store",16,Distributed Shared Memory,0.5999442287408826
201,"timesharing, timesharing system, ct, generalpurpose timesharing, time sharing, tss, compatible timesharing, timesharing ct, compatible, tso",23,Real-Time and Embedded Systems,0.3379785639046988
202,"average, waiting time, average waiting, average waiting time, turnaround, turnaround time, wait millisecond, waiting, millisecond, minute",23,Real-Time and Embedded Systems,0.5205992294365145
