Bucket Number,Bucket
106,"lock, lock byte, shared lock, exclusive, exclusive lock, lock file, locking, file lock, locked, file locking"
107,"kernel, kernel kernel, kernel data structure, kernel data, kernel algorithm, kernel subsystem, course kernel, easier modify, kernel simpler, simpler easier modify"
108,"ibm, gate, ibms, kildall, ibm came, ibm ibm, microsoft, digital research, cpm, company"
109,"disk, hard disk, floppy, disk disk, hard, floppy disk, disk controller, drive, disk drive, formatting"
110,"volume, partition, file system, storage, volume manager, multiple partition, multiple, storage device, secondary storage, span"
111,"browser, web, web browser, web page, chrome, spreadsheet, url, website, browser process, renderer process"
112,"uid, gid, uid gid, effective uid, effective, real uid, real, uid user, process uid, gid combination"
113,"tree, directory, treestructured, treestructured directory, directory tree, hierarchical directory, subdirectory, twolevel directory, singlelevel directory, hierarchical"
114,"burst, cpu burst, cpu burst time, cpu, burst time, completes cpu burst, completes cpu, burst burst, burst cpu, cpu burst burst"
115,"section section, section section section, section, shall section, shall section section, section shall section, section shall, shall, work section, section code implementing"
116,"paging, demand paging, demand, memory paging, swapping, memory, memory demand, coloring, virtual memory demand, paging memory management"
117,"capability, object capability, object, right, new capability, capability list, capability point, indirect object, capability capability, capability created"
118,"unix linux android, linux android, case study unix, study unix linux, study unix, android chap, linux android chap, unix linux, case study, study"
119,"fig, fig fig, fig instead, look fig, fig fig fig, arrow fig, saw fig, arrow, fig look fig, fig instead fig"
120,"color, pixel, palette, color palette, image, blue, bit color, gif, loworder bit, resolution"
121,"cdrom, iso, file cdrom, cdroms, volume descriptor, cdrom file, primary volume descriptor, primary volume, rock, rock ridge"
122,"activity, intent, activity manager, package, manager, application, android, manifest, package manager, launcher"
123,"right notice, right notice oper, notice oper, clearly right notice, clearly right, oper, clearly, notice, right, "
124,"message, receive, receive message, message process, process sends, message passing, sent, message receive message, message receive, sends message"
125,"layer, layered, layer layer, software layer, layered approach, lowerlevel layer, layering, layer software, layered operating, fewer layer"
126,"disadvantage, advantage, advantage disadvantage, drawback, disadvantage advantage, advantage method, model advantage, benefit, approach, method advantage disadvantage"
127,"page table, inverted page table, inverted page, inverted, table, twolevel, table inverted, page table inverted, table inverted page, page"
128,"vfs, vnode, vfs layer, concrete file, layer, virtual file, concrete, rnode, file vfs, vfs know"
129,"page table, table, memory reference, page, pagetable entry, pagetable, memory table, table page, memory, table memory"
130,"fragmentation, internal fragmentation, external fragmentation, internal, external, fragmentation problem, fragmentation external, fragmentation external fragmentation, fragmentation internal, fragmentation fragmentation"
131,"context switch, context, switch, contextswitch, number context, number context switch, contextswitch time, nonvoluntary, world switch, voluntary"
132,"firewall, company computer, dmz, hardware firewall, lan, company, network firewall, connection, software firewall, computer firewall"
133,"systemd, child process, child, parent process, tree, process tree, process child, parent, systemd process, init"
134,"dfs, clusterbased, dfs model, clusterbased dfs, naming, distributed, dfss, conventional, clientserver, clusterbased dfs model"
135,"privilege, ring, protection, principle privilege, principle, protected, process user resource, needtoknow, user resource, protection ring"
136,"jvm, java, java program, java virtual, interpreter, java virtual machine, class, java interpreter, virtual machine jvm, jvm interpreter"
137,"systemcall, systemcall interface, interface, library, standard library, provides systemcall, provides systemcall interface, systemcall handler, instead systemcall, operating systemcall"
138,"dlls, library, dynamic, linking, dynamic linking, dll, link library, loaded, linked, dynamic link"
139,"address space, space, address, virtual address space, virtual address, physical memory, address space process, virtual, space process, virtual memory"
140,"mmu, physical address, address mmu, memory management unit, management unit, address, unit mmu, management unit mmu, physical, memory management"
141,"shared file, file sharing, sharing, share file, sharing file, semantics, multiple user, share, shared, multiple user share"
142,"ntfs, ntfs file, file ntfs, metadata, ntquer, volume, ntfs volume, master file table, data stream, master file"
143,"failure, reliability, fault tolerance, tolerance, fault, fault tolerant, tolerant, self healing, healing, military"
144,"paging, demand paging, demand, paging system, demandpaging, paging algorithm, performance demand paging, performance demand, paging program, paging strategy"
145,"process memory, insufficient, memory, memory process, memory allocated process, memory allocated, memory time, insufficient memory, time requires, stat command"
146,"intel, amd, architecture, chip, amd architecture, bit cpu, bit architecture, bit, amd intel, alpha"
147,"limit register, base, base limit, limit, register, base limit register, relocation, base register, relocated, relocation register"
148,"clone, flag, new thread, clone clone, child task, flag passed clone, passed clone, flag passed, parent, signal handler"
149,"process equal, process equal process, equal process, process process, process consider, process consider consisting, consider consisting process, process described section, equal, process"
150,"spinlocks, spinlock, spin, spin lock, lock, short duration, kernel preemption, duration, held short duration, held short"
151,"wan, internet, network, widearea network, widearea, arpanet, lan, localarea network, localarea, worldwide"
152,"cpu memory, cpu, cpu cpu, local memory, cpu cpu cpu, interconnect, access local memory, memory cpu, access local, memory module"
153,"registry, hive, configuration, hklm, configuration information, registry key, key, registry configuration, configuration manager, key value"
154,"read file, read, file read, write file, read write, file called standard, called standard, write, file opened, read write file"
155,"time, time time, time time time, time figure, period, reference expected, time time figure, block time time, figure time figure, time reference"
156,"discus, section discus, approach discus, discus discus, discus relative merit, merit, discus pro, discus pro con, discus relative, relative merit"
157,"swap, swap space, swapping, swapspace, raw partition, partition, support swapping, space, swap partition, raw"
158,"rootkit, rootkits, sony, hide, rootkit hide, cd, operating application virtual, sony rootkit, kind rootkit, application virtual machine"
159,"programmer, chief programmer, chief, team, project, software project, secretary, software development, software, team like"
160,"journaling, journaling file, ext, journal, logstructured, journaling file system, logstructured file, file system, jbd, logstructured file system"
161,"linked list, list, linked, list head, struct, struct color, head, color, element, macro"
162,"free software, opensource, gpl, opensource operating, opensource operating system, license, free, source code, source, software"
163,"multiple processor system, processor system, multiple processor, processor system chap, system chap, chap multiple processor, chap multiple, processor, system chap multiple, multiple"
164,"mount, mounting, mounted, mount file, file mounting, mount point, mounting file, file mounted, automounting, unmounted"
165,"figure figure, figure figure figure, figure, figure prog figure, figure jim usrjim, figure figure jim, fat figure sec, figure figure bored, figure fat, figure jim"
166,"virus, boot sector, vector, boot, memoryresident, memoryresident virus, sector, interrupt vector, trap vector, sector virus"
167,"feature, flexibility, principle, life imitating, imitating, modular, guiding, guiding principle, flexible, pretty"
168,"address space, space, address space address, space address, space address space, address, virtual address space, us address, virtual address, space general"
169,"tpm, pcr, bootloader, secure, trusted, hash, party, value pcr, secure kernel, measurement"
170,"process thread, thread window, thread, process process, process thread window, thread section, thread process, window thread, implementation process thread, process contains thread"
171,"fig, fig situation, shown fig situation, illustrated fig, shown fig, situation shown fig, situation shown, illustrated, situation, shown"
172,"allocation, contiguous, linked allocation, linked, indexed, indexed allocation, contiguous linked, contiguous allocation, allocation linked, block indexed allocation"
173,"mount, mounted, remote directory, mounting, remote, client, directory, client mounted, export list, mount protocol"
174,"hypervisors, type hypervisors, type, type hypervisor, hypervisor, hypervisors type, type hypervisors type, hypervisors type hypervisors, type type, type type hypervisors"
175,"msdos, msdos file, old msdos, window msdos, version, msdos window, msdos directory entry, graphical environment, version window, msdos operating"
176,"critical region, region, critical, region process, critical region process, enters critical region, enters critical, enter, noncritical region, process critical region"
177,"pthread, attr, pthread attr, scope, pthreads, attr attr, thread pthread, param, pthread scope, pthread attr attr"
178,"reader, writer, reader writer, readerswriters problem, readerswriters, exclusive access, database, reader writer problem, writer problem, exclusive"
179,"security, security feature, window, security window, feature, window vista, vista, new security, feature window, mitigation"
180,"hardware, hardware hardware, hardware support, hardware manufacturer, hardware computer, lowest level hardware, hardware different, hardware software, innovative, level hardware"
181,"procedure, procedure call, posix procedure, local procedure, posix procedure call, local procedure call, posix, calling called, calling called procedure, procedure call window"
182,"applet, untrusted applet, sandbox, untrusted, trusted, web page, applet fetched, web, web page contain, page contain"
183,"segment, segment segment, segment segment segment, segmentation, segment descriptor, segment register, descriptor, descriptor segment, segment descriptor segment, replaced segment fig"
184,"accesscontrol, access list, access, default set, accesscontrol list, denied, access object, access control, permission, access access"
185,"pipe, named pipe, named, pipe named, pipe named pipe, ordinary pipe, communication, ordinary, named pipe named, communicate"
186,"pcie, bus, pci, hub, lane, pci bus, pcie slot, usb, slot, pcie bus"
187,"idle, cpu idle, idle time, cpu, go idle, idle process, idle thread, sat, sat idle, idle idle"
188,"socket, socket created, socket descriptor, local socket, socket socket, bind, socket allow, connection, telephone, endpoint"
189,"roundrobin, roundrobin scheduling, scheduling, roundrobin scheduler, priority, quantum, priority scheduling, realtime roundrobin thread, realtime roundrobin, priority roundrobin"
190,"distributed system, distributed, network distributed, distributed operating, network distributed system, network, system, system distributed, distributed system distributed, network operating"
191,"dns, host, hostid, host network, domainname, naming, hostname, network number, network host, host address"
192,"fiber, thread fiber, fiber fiber, fiber thread, process thread fiber, job process thread, job process, fiber created, running fiber, thread fiber fiber"
193,"race, race condition, condition, race condition possible, condition possible, prevent race, shared data, race condition occur, condition occur, concurrent access"
194,"device independent, device, device independence, independence, new device, hardware device, independent, install new hardware, hide peculiarity specific, peculiarity specific hardware"
195,"transfer rate, transfer, rate, streaming transfer, streaming, access latency, streaming transfer rate, transfer time, megabyte, latency"
196,"frame, free frame, freeframe, freeframe list, page frame, free, old page, list, pool free frame, pool"
197,"loaded memory, program loaded, program loaded memory, loader, program memory, loaded, load, loaded memory executed, memory executed, program"
198,"microkernel, microkernels, monolithic, microkernel approach, microkernel design, typical microkernel, based microkernel, modular, service running, layered"
199,"fetch, instruction, decode, operand, fetch instruction, register, fetch instruction memory, execute unit, instruction memory, store"
200,"timesharing, timesharing system, ct, generalpurpose timesharing, time sharing, tss, compatible timesharing, timesharing ct, compatible, tso"
201,"average, waiting time, average waiting, average waiting time, turnaround, turnaround time, wait millisecond, waiting, millisecond, minute"
202,"standby, standby list, modified, modified list, list, page modified, dirty, clean, written disk, secondary storage"
203,"client, collaborator, remote machine, ssh, server, server process, remote, remotely, impersonate, behalf"
204,"mailbox, message mailbox, mailbox process, mailbox mailbox, message, receive message mailbox, receive message, receive, mailbox owned, append message"
205,"address space, virtual address space, virtual address, space, address, process virtual address, exec, process virtual, new program, process address space"
206,"keyboard, mouse, printer, device, disk printer, device keyboard, usb, device disk, keyboard mouse, mouse keyboard"
207,"storage, san, na, networkattached, networkattached storage, hostattached storage, hostattached, storage network, host storage, host"
208,"parameter, parameter self, parameter self explanatory, explanatory, self explanatory, passed parameter, function passed parameter, function, function passed, second parameter"
209,"scheme, scheme shown, scheme shown figure, shown figure scheme, needed scheme, figure scheme, scheme needed scheme, variant scheme, consider scheme, maximum flexibility"
210,"authentication, authenticated, login, user authenticated, authenticated login, user authentication, authentication method, authenticate, user password, unsecure authentication"
211,"parity, parity block, parity bit, drive, bad, bad block, bit, stored parity, single parity, error correction"
212,"binary translation, translation, binary, translated, implementation binary translation, implementation binary, dynamic binary translation, dynamic binary, translated code, subsystem"
213,"inactive list, inactive, active list, rear, active, list, referenced, list referenced, page page, lock bit"
214,"philosopher, eating, eat, philosopher number, fork, thinking, left fork, dining, dining philosopher, number philosopher"
215,"monitor, reference monitor, reference, call monitor, monitor concept, monitor monitor, monitor procedure, applet, data code applet, tell applet"
216,"diskscheduling algorithm, diskscheduling, diskhead, seek, hdd, movement, disk, disk seek, hdd scheduling, seek time"
217,"shared memory, message passing, passing, shared, message, memory message, communication, interprocess communication, interprocess, memory message passing"
218,"figure program, program shown figure, program shown, figure program shown, shown figure program, shown figure, figure, shown, figure program figure, program figure"
219,"snapshot, snapshot taken, root inode, new snapshot, wafl, point time, taken, root inode block, snapshot wafl, snapshot block"
220,"communication, interprocess communication, interprocess, communication process, interprocess communication process, communication network, process executing, approach interprocess, communication interprocess communication, approach interprocess communication"
221,"binder, ipc, binderproxy, parcel, binder ipc, iexample, binder object, binderb, transaction, userspace"
222,"storage, secondary, secondary storage, storage device management, storage structure, tertiary storage, tertiary, device management, object storage, storage device"
223,"value, value value, hexadecimal, factor, perfect, number given hexadecimal, sum factor, given hexadecimal, conversion, number perfect"
224,"scheduler, thread run, thread scheduler, thread, decides thread, scheduler thread, pick thread, thread scheduling, decides, pick"
225,"thread chap, process thread chap, thread chap process, chap process, chap process thread, process thread, chap, thread, define, process"
226,"performance, impact, impact use, factor performance, performance approach, overhead, performance performance, impact performance, performance improvement, improvement"
227,"section, section look, section described, section described section, described section, following section, look, following section described, described section described, described"
228,"token, sid, sids, access token, represented token, privilege, user sid, token object, appcontainer, group"
229,"preemptive, running kernel, nonpreemptive, nonpreemptive kernel, kernel, running kernel mode, preemptive kernel, preemption, kernel preemption, preempted"
230,"frame, frame process, minimum number frame, minimum number, allocation frame, number frame, workingset, allocate frame, frame allocation, available frame"
231,"sector, sector track, track, cylinder, zone, number sector, disk cylinder, outer, number sector track, outer zone"
232,"segment, text, stack, text segment, stack segment, data segment, data stack, heap, grow, stack heap"
233,"locality, locality reference, locality model, exhibit, locality locality, working set, reference, working, exhibit locality reference, locality model state"
234,"dispatcher, dispatcher object, signaled, object signaled, object, dispatcher object signaled, synchronization, object dispatcher, nonsignaled, object state"
235,"kernelmode, kernelmode object, object, kernelmode code, handle, opaque, object data structure, usermode, referenced pointer, object data"
236,"zfs, zfs zfs, zfs file, checksum, zfs zfs zfs, system zfs, file system zfs, zfs us, tmpfs, space map"
237,"att, bell, laboratory, bell laboratory, unix, university, berkeley, usg, berkeley unix, usdl"
238,"chapter filesystem, chapter, chapter filesystem interface, filesystem interface, chapter filesystem implementation, filesystem, filesystem implementation, chapter file, chapter chapter, implementation"
239,"namespace, object manager, object, parse, namespace object, namespaces, object namespace, namespace object manager, manager, external internal"
240,"owner, attribute, date, file size, file owner, size time, size, date time, reserved future use, reserved future"
241,"cancellation, thread cancellation, deferred, deferred cancellation, target thread, cancel, pthread cancel, pthreads, canceled, pthread"
242,"argv, command line, envp, array, string, argument, array pointer, argc, pointer environment, argv point"
243,"byte, identifier byte, significant byte, store significant byte, store significant, byte actually, byte address, size byte, byte word, byte byte"
244,"batch, batch system, job, batch job, interactive, job sequencing, sequencing, system batch, batch interactive, automatic job"
245,"study window, case study window, study window chap, window chap, window chap case, case study, study, chap case study, chap case, chap"
246,"hibernation, standby, hibernated, battery, hiberboot, standby mode, sleep, shutdown, hibernating, power"
247,"debugging, debug, debugger, debugged, debuggee, debug program, debugging program, understand debug, layer debugged, testing debugging"
248,"condition, note, condition variable, variable, condition completely, condition separately, necessary condition, separately, note situation, note situation reproducible"
249,"banker, banker algorithm, abcd, abc, algorithm, following snapshot, implement banker, following snapshot allocation, allocation abcd, allocation abcd max"
250,"trap, trap instruction, instruction, trap operating, instruction trap, cm, cm cm, trap instruction trap, executing trap, illegal"
251,"figure example, shown figure example, figure shown figure, figure shown, shown figure, example figure, figure, shown, figure example figure, shown figure shown"
252,"rename, deleted, file deleted, deleted file, file new, rename file, old file deleted, file removed, file deleted file, old file"
253,"heap, malloc, memory heap, malloc free, megabyte, allocate, grow, allocate memory, heapcreate, use heap"
254,"sector, spare, bad sector, bad, spare sector, sector sector, slipping, sector slipping, defective, sector sparing"
255,"operating design, design chap, operating design chap, design chap operating, chap operating design, chap operating, design, chap, trend operating, trend operating design"
256,"msec, time msec, msec cpu time, msec cpu, cpu time, msec msec, case msec, user typing charsec, msec time, time msec msec"
257,"user process, process execute, user, user program, user process execute, execute user, collection process, user code, operatingsystem process, operatingsystem process execute"
258,"manytomany, onetoone, manytomany model, model, onetoone model, manytoone, manytoone model, model section, userlevel thread, thread manytomany"
259,"foreground, background, foreground process, importance, run background, process foreground, importance process, multitasking, longrunning, foreground application"
260,"policy, choice policy, change policy require, determine policy, policy require, change policy, policy decision, mechanism, worst case change, case change"
261,"inputoutput, inputoutput chap, chap, chap inputoutput, inputoutput linux, inputoutput chap keyboard, serial task, chap keyboard, good serial task, good serial"
262,"operating structure, structure operating, operating structure operating, operating concept, operating operating, operating, structure tell, structure tell operating, structure operating structure, operating structure tell"
263,"numa, numa system, memory access, nonuniform, nonuniform memory, nonuniform memory access, numa machine, numa node, uma, access numa"
264,"bibliography, hennessy, hennessy bibliography, callaghan, hennessy patterson hennessy, patterson hennessy bibliography, patterson, patterson hennessy, hennessy patterson, ghemawat bibliography"
265,"intrusion, intrusion detection, detection, alarm, modelbased, anomaly detection, anomaly, alarm indicates, modelbased intrusion detection, intrusion prevention"
266,"history, history unix, history operating system, history operating, linux history, history feature, linux, operating system history, explore history, recent command"
267,"swapping, swap, swapping process, swapped, standard swapping, swap space, process disk, backing store, process swapped, backing"
268,"gui, graphical, graphical user interface, graphical user, user interface, interface, user interface gui, interface gui, kde, gnome"
269,"suspended, process suspended, suspended process, suspend, calling process suspended, suspension, process suspended process, suspend process, suspended new, suspended process allowed"
270,"printf, string, format string, format, prime, character string, following format string, ratio prime, following format, golden ratio"
271,"address space, space, new thread, address space thread, space thread, address, thread address, thread address space, thread, share address space"
272,"read write, read, write, reading writing, read written, read write call, write call, reading writing sequentially, sequentially normally, normally point byte"
273,"signing, code signing, signed, signature, code, code integrity, digital signature, sign, author, digital"
274,"stack, stack grows, grows, value stack, stack segment, downward, stack grows stack, data value stack, stacktop, grows stack"
275,"initialize, program initialized, initialization, array, initialized, element, initialize work available, initialize work, initialize list, work available"
276,"setuid, setuid bit, setuid root, root, setuid program, root setuid, root setuid bit, user identifier, bit, setuid root program"
277,"iobound, iobound process, cpubound, computebound, computebound process, iobound task, cpubound task, short cpu, short cpu burst, process iobound process"
278,"timer, timer interrupt, interrupt, clock, clock interrupt, frequency, periodic, system clock, millisecond, periodic clock"
279,"hole, fit, best fit, best, available hole, free hole, hole list, smallest, leftover hole, allocate hole"
280,"spyware, ad, toolbar, define spyware, spyware want, additionally spyware, change setting, ad spyware, visiting, malicious"
281,"file system chap, system chap, chap file, chap file system, system chap file, file system, chap, system, file, system attribute chap"
282,"chap, introduction chap, introduction, chap introduction, saw chap, chap chap, int int xij, chap introduction chap, int xij, chap saw chap"
283,"ipc, ipc mechanism, ipc system, mach, complete ipc, complete ipc operation, different ipc, ipc operation, norma ipc, classical ipc problem"
284,"scheduling, multiprocessor, multiprocessor scheduling, scheduling multiprocessor, multicore, uniprocessor, multicore scheduling, multiprocessor multicore, cpu scheduling, cpu single processing"
