question,len_2_probab,len_2_topic,ngram_probab,ngram_topic,corr_probab,corr_topic,merged_ngram_probab,merged_ngram_topic
normalization database design brief example,0.55,normalization_180,0.53,database programming_132,0.51,normal form_34,0.74,normalization_234
primary foreign key database,0.45,key_17,0.63,key_16,0.6,key_17,0.75,foreign key_35
sql purpose manage databases,0.41,dbms_2,0.46,database programming_132,0.49,database programming_181,0.56,administrator_172
transaction log ensure durability,0.37,log_26,0.47,log_171,0.36,log_31,0.5,log_391
database index impact query performance,0.4,tree_215,0.49,tree_214,0.42,tree_212,0.54,storage indexing_376
role database administrator dba briefly,0.44,role_163,0.45,role_150,0.51,role_172,0.74,administrator_172
database denormalization useful,0.4,normalization_180,0.47,physical_71,0.44,database programming_181,0.59,normalization_234
database replication benefit data management,0.47,replication_33,0.48,replication_29,0.49,replication_39,0.59,replication_20
database lock significance concurrent access,0.53,lock_15,0.55,lock_8,0.54,concurrency_44,0.62,locking_239
acid properties importance database transactions,0.36,warehouse_8,0.46,transaction_23,0.47,item_169,0.48,item_233
purpose data dictionary dbms,0.43,dbms_2,0.58,related data_79,0.58,collection related data_164,0.75,data dictionary_254
concept database normalization different form,0.43,normalization_180,0.48,normal form_26,0.48,normal form_34,0.61,normalization_234
role index database type,0.37,role_163,0.46,role_150,0.47,role_172,0.47,storage indexing_376
trigger database work,0.47,trigger_18,0.63,trigger view schema_203,0.61,trigger view schema_203,0.6,trigger_16
database mirror use high availability,0.34,replication_33,0.41,distributed_17,0.42,distributed_28,0.4,distributed database_23
database partition benefit performance optimization,0.52,partition_73,0.57,partition_64,0.55,partition_75,0.56,partitioning_2
differences oltp olap databases,0.33,warehouse_8,0.42,warehouse_7,0.42,warehouse_12,0.53,olap_221
purpose transaction log dbms,0.45,log_26,0.57,log_171,0.53,transaction_20,0.54,log_391
role database view dbms significance provide logical abstraction data simplify complex query enforce data security restrict access sensitive information,0.31,dbms_2,0.43,privacy_32,0.43,trigger view schema_203,0.46,privacy_95
concept database replication dbms application achieve data redundancy load balance fault tolerance consider techniques like master slave replication multi master replication,0.42,replication_33,0.42,replication_29,0.42,replication_39,0.46,replication_20
dbms handle data integrity presence concurrent transactions mechanisms transaction management include lock log undo redo operations,0.39,transaction_19,0.51,transaction_23,0.52,transaction_20,0.52,concurrency_38
differences physical logical database design dbms emphasize importance design database schema term data efficiency data integrity ease maintenance,0.31,schema_16,0.51,physical_71,0.46,physical_33,0.57,physical database design_184
security measure implement dbms protect sensitive data include access control mechanisms authentication authorization encryption audit ensure data privacy prevent unauthorized access,0.41,privacy_35,0.54,privacy_32,0.53,privacy_38,0.57,privacy_95
concept database trigger dbms use automate specific action enforce business rule base predefined condition data modification operations insert update delete,0.32,trigger_18,0.45,trigger view schema_203,0.41,trigger view schema_203,0.41,trigger view_331
dbms handle query optimization execution plan include techniques like cost base optimization query parse query rewrite plan generation plan cache ensure efficient query process,0.4,optimization_6,0.5,query_14,0.48,query_1,0.44,tuning_294
concept database metadata dbms include information store catalog table table column definitions index constraints statistics role manage understand database structure,0.38,schema_16,0.48,schema_9,0.49,collection related data_164,0.49,data dictionary_254
explain different type join sql,0.4,nested_179,0.49,data type_112,0.49,data type_90,0.51,basic structure sql_357
primary key sql,0.48,key_17,0.72,key_16,0.68,key_17,0.75,primary key_171
constraints,0.69,integrity_21,0.7,constraint_20,0.71,constraint_26,0.72,integrity_46
difference delete truncate statements sql,0.35,deletion_114,0.44,deletion_144,0.44,deletion_117,0.46,delete_105
query optimization,0.63,optimization_6,0.84,query_14,0.81,query_1,0.65,plan_0
give table select departments employees rank accord percentage employees make salary,0.33,salary_32,0.5,salary_25,0.5,salary_50,0.51,salary_51
give users table write query cumulative number new users add day total reset month,0.3,aggregate_36,0.36,sample query_206,0.34,nested query_184,0.39,create table_284
give table product subscriptions subscription start date end date user write query return true false user subscription date range overlap user,0.25,nested_179,0.34,nested_195,0.34,nested query_184,0.32,query shown figure_313
give table students sit test score write query return students closest test score score difference,0.27,grade_69,0.4,sample query_206,0.35,nested query_184,0.46,result_174
give table users table demographic information neighborhood live neighborhoods table write query return neighborhoods users,0.26,dimension_160,0.36,dimension_190,0.38,dimension_173,0.38,create table_284
give table transactions products write query return product id product price average transaction price products price greater average transaction price,0.28,nested_179,0.43,query transaction_131,0.41,query transaction_115,0.42,query transaction_371
let table transactions products hypothetically transactions table consist billion row purchase buy users,0.39,transaction_19,0.46,transaction_23,0.46,transaction_20,0.48,item_233
concept database lock different type lock concurrency control,0.43,lock_15,0.5,concurrency_36,0.5,concurrency_44,0.51,concurrency_38
concept materialize view database advantage limitations,0.31,view_30,0.39,view_121,0.41,view_100,0.46,view integration_222
concept database denormalization scenarios beneficial,0.38,schema_16,0.45,physical_71,0.46,uml_149,0.5,normalization_234
different type database index impact query performance,0.33,tree_215,0.43,tree_214,0.35,tree_212,0.48,storage indexing_376
differences oltp online transaction process olap online analytical process databases,0.34,warehouse_8,0.42,transaction_23,0.42,transaction_20,0.64,olap_221
concept database backup recovery strategies include incremental backups,0.29,rollback_155,0.35,database programming_132,0.33,database programming_181,0.5,recovery_164
role database schema dbms define data structure,0.39,schema_16,0.53,schema_9,0.56,schema_9,0.55,ddl_210
differences primary key unique key database,0.35,key_17,0.54,key_16,0.51,key_17,0.57,primary key_171
concept database view benefit term security query simplification,0.34,view_30,0.49,trigger view schema_203,0.49,trigger view schema_203,0.49,trigger view_331
discuss concept database trigger provide examples,0.44,schema_16,0.57,trigger view schema_203,0.56,trigger view schema_203,0.55,trigger view_331
purpose sql structure query language dbms,0.41,dbms_2,0.53,database programming_132,0.52,database programming_181,0.73,query language_283
concept database replication importance achieve data redundancy,0.42,replication_33,0.46,redundancy_187,0.5,redundancy_159,0.49,replication_20
concept database partition benefit performance optimization,0.48,partition_73,0.52,partition_64,0.49,partition_75,0.5,partitioning_2
challenge associate scale database address,0.27,dbms_2,0.32,distributed_17,0.33,collection related data_164,0.36,bank database_287
concept database index different type index,0.33,tree_215,0.5,tree_214,0.43,tree_212,0.49,storage indexing_376
differences cluster non cluster index database,0.35,cluster_81,0.54,clustering_113,0.4,cluster_86,0.47,cluster_63
role database administrator dba dbms environment,0.4,role_163,0.43,role_150,0.48,role_172,0.69,administrator_172
concept database security measure protect sensitive data,0.35,privacy_35,0.5,privacy_32,0.49,privacy_38,0.53,privacy_95
concept database lock different type lock concurrency control,0.43,lock_15,0.5,concurrency_36,0.5,concurrency_44,0.51,concurrency_38
differences optimistic pessimistic concurrency control dbms,0.51,concurrency_40,0.62,concurrency_36,0.62,concurrency_44,0.65,concurrency_38
database normalization important database design,0.51,normalization_180,0.55,database programming_132,0.54,database programming_181,0.67,normalization_234
concept database denormalization appropriate,0.38,subclass_7,0.48,database programming_132,0.47,database programming_181,0.55,normalization_234
database backup recovery strategies include incremental backups,0.26,cascadeless_165,0.35,checkpoint_91,0.29,database disk_187,0.5,recovery_164
distribute database differ centralize database,0.38,distributed_20,0.5,distributed_17,0.51,distributed_28,0.56,distributed database_23
concept database normalization role reduce data redundancy,0.36,normalization_180,0.4,redundancy_187,0.41,redundancy_159,0.5,normalization_234
purpose database management dbms organization data infrastructure,0.46,dbms_2,0.49,distributed_17,0.51,dbms_3,0.51,datastorage_355
concept database index impact query performance dbms,0.41,tree_215,0.5,tree_214,0.43,tree_212,0.5,storage indexing_376
transaction log ensure data durability recoverability database,0.33,log_26,0.47,log_171,0.44,database disk_187,0.44,dbpointer_410
advantage disadvantage denormalized databases certain scenarios,0.35,redundancy_183,0.4,physical_71,0.39,uml_149,0.44,scheme_315
role database administrator dba maintain data security integrity,0.25,privilege_25,0.35,security_50,0.34,role_172,0.57,administrator_172
concept database sharding use horizontal database scale,0.25,dbms_2,0.41,physical_71,0.38,uml_149,0.43,physical database design_184
explain role database management dbms manage data,0.4,dbms_2,0.45,role_150,0.49,role_172,0.58,administrator_172
advantage disadvantage relational database management rdbms,0.34,dbms_2,0.4,database programming_132,0.43,database programming_181,0.43,database programming_328
concept normalization database design provide example,0.49,normalization_180,0.54,database programming_132,0.52,database programming_181,0.65,normalization_234
difference primary key foreign key database,0.39,key_17,0.57,key_16,0.54,key_17,0.66,foreign key_35
dbms enforce referential integrity relational database,0.43,integrity_21,0.63,constraint_20,0.62,constraint_26,0.62,integrity_46
differences cluster index non cluster index,0.33,tree_215,0.57,clustering_113,0.39,tree_212,0.51,index_1
database schema define data organization,0.45,schema_16,0.59,schema_9,0.62,schema_9,0.59,ddl_210
concept database transactions impact data consistency,0.4,transaction_19,0.55,transaction_23,0.53,transaction_20,0.57,consistency_224
database trigger work provide example,0.49,trigger_18,0.63,trigger view schema_203,0.61,trigger view schema_203,0.61,trigger_16
process query optimization dbms include step like query parse query rewrite query transformation cost base optimization improve query performance,0.36,optimization_6,0.5,query_14,0.46,query_1,0.44,query tree_61
dbms handle data concurrency manage resource contention multi user environment utilize techniques like lock latch timestamp base concurrency control,0.42,concurrency_40,0.56,concurrency_36,0.56,concurrency_44,0.58,concurrency_38
advantage disadvantage different database storage model file base storage page base storage tablespace base storage term data access efficiency scalability fault tolerance,0.28,storage_125,0.32,physical_71,0.33,file organization_67,0.52,storage file structure_486
concept database normalization different normal form nf nf nf bcnf highlight benefit achieve normalize database schema term data redundancy reduction data consistency,0.35,normalization_180,0.46,bcnf_90,0.45,bcnf_110,0.52,normalization_291
backup recovery strategies implement dbms include backups incremental backups differential backups point time recovery ensure data availability data loss prevention,0.3,dbms_2,0.38,checkpoint_91,0.36,database programming_181,0.47,recovery_164
database normalization important database design,0.51,normalization_180,0.55,database programming_132,0.54,database programming_181,0.67,normalization_234
concept database denormalization appropriate,0.38,subclass_7,0.48,database programming_132,0.47,database programming_181,0.55,normalization_234
database backup recovery strategies include incremental backups,0.26,cascadeless_165,0.35,checkpoint_91,0.29,database disk_187,0.5,recovery_164
distribute database differ centralize database,0.38,distributed_20,0.5,distributed_17,0.51,distributed_28,0.56,distributed database_23
concept database normalization role reduce data redundancy,0.36,normalization_180,0.4,redundancy_187,0.41,redundancy_159,0.5,normalization_234
purpose database management dbms organization data infrastructure,0.46,dbms_2,0.49,distributed_17,0.51,dbms_3,0.51,datastorage_355
concept database index impact query performance dbms,0.41,tree_215,0.5,tree_214,0.43,tree_212,0.5,storage indexing_376
transaction log ensure data durability recoverability database,0.33,log_26,0.47,log_171,0.44,database disk_187,0.44,dbpointer_410
advantage disadvantage denormalized databases certain scenarios,0.35,redundancy_183,0.4,physical_71,0.39,uml_149,0.44,scheme_315
role database administrator dba maintain data security integrity,0.25,privilege_25,0.35,security_50,0.34,role_172,0.57,administrator_172
concept database sharding use horizontal database scale,0.25,dbms_2,0.41,physical_71,0.38,uml_149,0.43,physical database design_184
database replication contribute high availability fault tolerance distribute systems,0.52,replication_33,0.5,replication_29,0.5,replication_39,0.53,replication_20
differences online transaction process oltp online analytical process olap databases,0.34,warehouse_8,0.43,transaction_23,0.43,transaction_20,0.64,olap_221
difference logical physical database design,0.33,schema_16,0.68,physical_71,0.62,physical_33,0.73,physical database design_184
purpose store procedures benefit,0.31,dbms_2,0.37,sql psm_155,0.39,uml_149,0.37,scheme_315
concept database mirror achieve redundancy,0.38,redundancy_183,0.41,object oriented_40,0.47,redundancy_159,0.43,parallel_75
database partition enhance performance manageability large datasets,0.44,partition_73,0.49,partition_64,0.46,partition_75,0.48,storage indexing_376
referential integrity role maintain data consistency,0.42,integrity_21,0.62,constraint_20,0.62,constraint_26,0.61,integrity_46
benefit materialize view database,0.37,view_30,0.47,view_121,0.49,view_100,0.54,view integration_222
role trigger enforce data integrity constraints,0.38,integrity_21,0.57,constraint_20,0.57,constraint_26,0.58,integrity_46
significance database lock concurrency control,0.48,lock_15,0.63,concurrency_36,0.63,concurrency_44,0.65,concurrency_38
acid properties ensure transactional consistency,0.36,isolation_89,0.5,isolation_152,0.53,consistency_214,0.61,consistency_224
normalization database design brief example,0.55,normalization_180,0.53,database programming_132,0.51,normal form_34,0.74,normalization_234
primary foreign key database,0.45,key_17,0.63,key_16,0.6,key_17,0.75,foreign key_35
sql purpose manage databases,0.41,dbms_2,0.46,database programming_132,0.49,database programming_181,0.56,administrator_172
explain different type join sql,0.4,nested_179,0.49,data type_112,0.49,data type_90,0.51,basic structure sql_357
primary key sql,0.48,key_17,0.72,key_16,0.68,key_17,0.75,primary key_171
constraints,0.69,integrity_21,0.7,constraint_20,0.71,constraint_26,0.72,integrity_46
difference delete truncate statements sql,0.35,deletion_114,0.44,deletion_144,0.44,deletion_117,0.46,delete_105
query optimization,0.63,optimization_6,0.84,query_14,0.81,query_1,0.65,plan_0
give table select departments employees rank accord percentage employees make salary,0.33,salary_32,0.5,salary_25,0.5,salary_50,0.51,salary_51
give users table write query cumulative number new users add day total reset month,0.3,aggregate_36,0.36,sample query_206,0.34,nested query_184,0.39,create table_284
give table product subscriptions subscription start date end date user write query return true false user subscription date range overlap user,0.25,nested_179,0.34,nested_195,0.34,nested query_184,0.32,query shown figure_313
give table students sit test score write query return students closest test score score difference,0.27,grade_69,0.4,sample query_206,0.35,nested query_184,0.46,result_174
differences optimistic pessimistic concurrency control dbms,0.51,concurrency_40,0.62,concurrency_36,0.62,concurrency_44,0.65,concurrency_38
purpose sql structure query language dbms provide example query,0.39,dbms_2,0.52,sample query_206,0.53,query graph_143,0.75,query language_283
data dictionary provide metadata database structure,0.29,ontology_38,0.55,related data_79,0.55,collection related data_164,0.78,data dictionary_254
concept data integrity constraints relational database provide examples,0.43,integrity_21,0.61,constraint_20,0.61,constraint_26,0.62,integrity_46
differences logical physical data model database design,0.31,schema_16,0.65,physical_71,0.6,physical_33,0.71,physical database design_184
role database administrator dba dbms environment,0.4,role_163,0.43,role_150,0.48,role_172,0.69,administrator_172
concept query optimization dbms techniques performance improvement,0.36,dbms_2,0.53,query_14,0.5,query_1,0.48,database programming_328
explain concept database replication benefit challenge,0.46,replication_33,0.45,replication_29,0.46,replication_39,0.52,replication_20
differences horizontal vertical partition database design,0.39,partition_73,0.45,fragmentation_98,0.66,partitioning_208,0.45,partitioning_2
purpose transaction log dbms ensure durability,0.36,log_26,0.46,log_171,0.41,database disk_187,0.45,log_391
database replication contribute high availability fault tolerance distribute systems,0.52,replication_33,0.5,replication_29,0.5,replication_39,0.53,replication_20
differences online transaction process oltp online analytical process olap databases,0.34,warehouse_8,0.43,transaction_23,0.43,transaction_20,0.64,olap_221
difference logical physical database design,0.33,schema_16,0.68,physical_71,0.62,physical_33,0.73,physical database design_184
purpose store procedures benefit,0.31,dbms_2,0.37,sql psm_155,0.39,uml_149,0.37,scheme_315
concept database mirror achieve redundancy,0.38,redundancy_183,0.41,object oriented_40,0.47,redundancy_159,0.43,parallel_75
database partition enhance performance manageability large datasets,0.44,partition_73,0.49,partition_64,0.46,partition_75,0.48,storage indexing_376
referential integrity role maintain data consistency,0.42,integrity_21,0.62,constraint_20,0.62,constraint_26,0.61,integrity_46
