question,no_len_probab,no_len_topic,ngram_probab,ngram_topic,corr_probab,corr_topic,merged_ngram_probab,merged_ngram_topic
network protocol provide example,0.61,udp_68,0.77,protocol_15,0.76,cache_14,0.79,protocol_16
concept bandwidth network communication,0.43,flow_65,0.64,bandwidth_145,0.65,ee_87,0.64,bandwidth_120
transmission control protocol udp user datagram protocol prominent transport layer protocols compare contrast tcp udp term feature use case,0.62,udp_68,0.7,udp_68,0.71,area_64,0.7,udp_28
enable communication process different devices explain socket facilitate network communication,0.42,udp_68,0.5,communicate_177,0.49,chip_139,0.53,socket_430
address resolution protocol arp map ip address mac address discuss purpose arp work network,0.58,arp_73,0.63,arp_73,0.63,physical_83,0.67,arp_45
packets essential units data transmission explain network packet structure information carry,0.39,rfc_51,0.54,ttl_53,0.56,rfc_51,0.56,packet containing_450
switch fundamental concept modern network explain principles packet switch differ circuit switch,0.49,switching_92,0.69,switching_92,0.69,delay_94,0.7,switching_179
purpose arp network,0.72,arp_73,0.74,arp_73,0.74,physical_83,0.78,arp_45
network packet significance,0.41,gigabit_239,0.65,ttl_53,0.66,rfc_51,0.64,send packet_88
packet switch differ circuit switch,0.51,switching_92,0.73,switching_92,0.73,delay_94,0.73,switching_179
vpn,0.9,vpn_170,0.85,vpn_170,0.82,introduction_183,0.81,vpn_192
explain concept bandwidth throughput,0.49,flow_65,0.7,bandwidth_145,0.72,ee_87,0.72,bandwidth_120
dns domain work,0.63,dns_1,0.67,dns_1,0.7,alice_5,0.68,dns_1
mac address network,0.43,mac_197,0.59,nics_330,0.62,terminology_231,0.78,mac address_201
explain difference public ip address private ip address,0.41,ip_20,0.57,ip_20,0.59,iv_56,0.56,ip address_33
ssl secure sockets layer provide security network communications,0.47,ssl_146,0.58,ssl_146,0.55,cookie_149,0.63,ssl_35
process packet transmit host network,0.43,udp_68,0.57,ttl_53,0.58,rfc_51,0.61,send packet_88
dmz demilitarize zone network security,0.38,firewall_118,0.38,firewall_118,0.38,procedure_130,0.39,security_343
bgp border gateway protocol rout internet,0.52,ospf_97,0.7,ospf_97,0.8,cell_256,0.73,bgp_74
explain difference hub switch router,0.43,hub_210,0.64,hub_210,0.61,smtp_110,0.61,hub_148
dhcp dynamic host configuration protocol work,0.33,arp_73,0.35,arp_73,0.36,physical_83,0.59,dhcp_97
tcp establish terminate connections,0.39,port_29,0.62,tcp_107,0.58,udp_68,0.6,tcp ip_278
purpose arp address resolution protocol work,0.62,arp_73,0.66,arp_73,0.66,physical_83,0.71,arp_45
explain difference ipv ipv advantage ipv,0.39,ipv_95,0.47,ipv_95,0.45,fig_100,0.57,ipv_73
important concept network management explain subnetting help organize optimize network resources,0.47,subnet_185,0.53,subnet_185,0.56,burst_223,0.57,network network_70
context network purpose domain dns dns resolve domain name ip address,0.37,dns_1,0.4,dns_1,0.43,alice_5,0.42,dns_1
dynamic host configuration protocol simplify assignment ip address explain dhcp work advantage network administration,0.41,arp_73,0.45,arp_73,0.46,physical_83,0.61,dhcp_97
tcp ip protocol suite form basis modern internet communication discuss key protocols suite specific function,0.5,udp_68,0.66,tcp_107,0.6,udp_68,0.71,tcp ip_278
security essential today interconnect world explain role firewall network enhance security,0.48,firewall_118,0.49,firewall_118,0.49,procedure_130,0.49,security_343
address translation nat commonly allow multiple devices share single public ip address explain nat work benefit,0.44,nat_128,0.53,nat_128,0.53,router_120,0.55,nat_114
servers act intermediaries clients servers discuss purpose proxy server network affect communication,0.34,rfc_51,0.43,server_112,0.44,certificate_129,0.49,proxy_336
enable communication different network explain role gateway function perform network connectivity,0.28,broadcast_325,0.44,ee_87,0.44,tion_96,0.46,connection_221
local area network vlans segment network explain vlans work advantage network administration,0.5,vlan_76,0.54,vlan_76,0.4,youtube_227,0.53,vlan_101
discuss differences physical address mac address logical address ip address function network communication,0.32,arp_73,0.44,nics_330,0.48,terminology_231,0.54,mac address_201
protocols govern rule format communication provide examples commonly network protocols respective purpose,0.5,rfc_51,0.63,protocol_15,0.62,cache_14,0.64,protocol_16
concept network latency impact,0.38,delay_54,0.48,delay_54,0.48,copyright_105,0.51,delay_271
rout table,0.57,table_265,0.66,table_265,0.66,ct_259,0.66,table_186
principles wireless network communication,0.47,lan_166,0.7,wireless_147,0.69,checksum_144,0.68,wireless_68
lan,0.88,lan_47,0.98,lan_47,0.98,fig_50,0.98,lan_77
wan,0.58,bridge_179,0.58,bridge_179,0.55,button_195,0.57,network_-1
hub,0.81,hub_210,0.79,hub_210,0.87,smtp_110,0.91,hub_148
switch,0.87,switching_92,0.78,switching_92,0.78,delay_94,0.88,switch_297
mac,0.72,mac_197,0.6,mac_197,0.59,checksum_201,0.73,mac address_211
ip,0.87,ip_20,0.93,ip_20,0.93,iv_56,0.93,ip address_33
dhcp briefly,0.53,arp_73,0.56,arp_73,0.57,physical_83,0.86,dhcp_97
tcp ip protocol suite,0.55,udp_68,0.76,tcp_107,0.68,udp_68,0.81,tcp ip_278
socket,0.76,port_29,0.71,port_29,0.69,udp_68,0.84,socket_430
ssl tls briefly,0.6,ssl_146,0.67,ssl_146,0.68,cookie_149,0.69,ssl_35
firewall,0.89,firewall_118,0.89,firewall_118,0.89,procedure_130,0.79,firewall_34
nat briefly,0.77,nat_128,0.82,nat_128,0.82,router_120,0.85,nat_114
vlan,0.9,vlan_76,0.94,vlan_76,0.67,band_3,0.95,vlan_101
latency,0.6,delay_54,0.68,delay_54,0.67,copyright_105,0.72,delay_271
arp briefly,0.76,arp_73,0.77,arp_73,0.76,physical_83,0.89,arp_45
packet switch,0.58,switching_92,0.82,switching_92,0.82,delay_94,0.8,switching_179
vpn,0.9,vpn_170,0.85,vpn_170,0.82,introduction_183,0.81,vpn_192
bandwidth briefly,0.6,bandwidth_145,0.8,bandwidth_145,0.83,ee_87,0.87,bandwidth_120
router function network infrastructure role play direct data packets different network examine ip address make rout decisions,0.38,udp_68,0.45,router_186,0.44,burst_223,0.48,router router_476
concept subnetting ip address enable division large network smaller subnetworks enhance network efficiency scalability,0.51,subnet_185,0.58,subnet_185,0.58,burst_223,0.62,subnet_31
advantage disadvantage network topologies star mesh ring bus term ability handle traffic fault tolerance ease administration,0.3,ethernet_34,0.38,ee_87,0.38,tion_96,0.45,network core_342
primary differences tcp transmission control protocol udp user datagram protocol term reliability connection orient vs connectionless communication suitability different applications,0.49,udp_68,0.54,udp_68,0.55,area_64,0.55,udp_28
network firewall function barrier internal network external network filter network traffic base predefined security rule protect unauthorized access potential security threats,0.53,firewall_118,0.55,firewall_118,0.55,procedure_130,0.54,firewall_34
role dns domain internet infrastructure include translate domain name ip address facilitate map human readable domain name machine readable ip address,0.41,intradomain_279,0.44,intradomain_279,0.45,alice_5,0.47,dns_1
nat network address translation enable usage private ip address network allow communication external network translate private ip address public ip address,0.46,nat_128,0.56,nat_128,0.55,router_120,0.56,nat_114
differences ipv ipv address scheme include differences address format number available address feature introduce ipv address limitations ipv,0.38,ipv_95,0.5,ipv_95,0.49,fig_100,0.58,ipv_73
