problem_statement,titleslug,title,tags,num_occur
"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.  ",trapping-rain-water,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",45
"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0. Notice that the solution set must not contain duplicate triplets.  ",3sum,3Sum,"Array, Two Pointers, Sorting",44
"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if:  Open brackets must be closed by the same type of brackets. Open brackets must be closed in the correct order. Every close bracket has a corresponding open bracket of the same type.   ",valid-parentheses,Valid Parentheses,"String, Stack",43
"A transformation sequence from word beginWord to word endWord using a dictionary wordList is a sequence of words beginWord -> s1 -> s2 -> ... -> sk such that:  Every adjacent pair of words differs by a single letter. Every si for 1 <= i <= k is in wordList. Note that beginWord does not need to be in wordList. sk == endWord  Given two words, beginWord and endWord, and a dictionary wordList, return the number of words in the shortest transformation sequence from beginWord to endWord, or 0 if no such sequence exists.  ",word-ladder,Word Ladder,"Hash Table, String, Breadth-First Search",41
"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)).  ",median-of-two-sorted-arrays,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",40
"Given an m x n grid of characters board and a string word, return true if word exists in the grid. The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once.  ",word-search,Word Search,"Array, Backtracking, Matrix",36
"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself.  ",add-two-numbers,Add Two Numbers,"Linked List, Math, Recursion",36
"You are given an m x n grid where each cell can have one of three values:  0 representing an empty cell, 1 representing a fresh orange, or 2 representing a rotten orange.  Every minute, any fresh orange that is 4-directionally adjacent to a rotten orange becomes rotten. Return the minimum number of minutes that must elapse until no cell has a fresh orange. If this is impossible, return -1.  ",rotting-oranges,Rotting Oranges,"Array, Breadth-First Search, Matrix",35
"Given an integer array nums, find the subarray with the largest sum, and return its sum.  ",maximum-subarray,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",35
"Given a string s, return the longest palindromic substring in s.  ",longest-palindromic-substring,Longest Palindromic Substring,"String, Dynamic Programming",35
"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai.  For example, the pair [0, 1], indicates that to take course 0 you have to first take course 1.  Return the ordering of courses you should take to finish all courses. If there are many valid answers, return any of them. If it is impossible to finish all courses, return an empty array.  ",course-schedule-ii,Course Schedule II,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",34
"Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words. Note that the same word in the dictionary may be reused multiple times in the segmentation.  ",word-break,Word Break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",34
"You are given an array of integers nums, there is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position. Return the max sliding window.  ",sliding-window-maximum,Sliding Window Maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",32
"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[i]. The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer. You must write an algorithm that runs in O(n) time and without using the division operation.  ",product-of-array-except-self,Product of Array Except Self,"Array, Prefix Sum",32
"Given an m x n board of characters and a list of strings words, return all words on the board. Each word must be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once in a word.  ",word-search-ii,Word Search II,"Array, String, Backtracking, Trie, Matrix",31
"There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity.  ",search-in-rotated-sorted-array,Search in Rotated Sorted Array,"Array, Binary Search",31
"Given an array of strings words (without duplicates), return all the concatenated words in the given list of words. A concatenated word is defined as a string that is comprised entirely of at least two shorter words (not necesssarily distinct) in the given array.  ",concatenated-words,Concatenated Words,"Array, String, Dynamic Programming, Depth-First Search, Trie",30
"Given a string s, find the first non-repeating character in it and return its index. If it does not exist, return -1.  ",first-unique-character-in-a-string,First Unique Character in a String,"Hash Table, String, Queue, Counting",30
"You are assigned to put some amount of boxes onto one truck. You are given a 2D array boxTypes, where boxTypes[i] = [numberOfBoxesi, numberOfUnitsPerBoxi]:  numberOfBoxesi is the number of boxes of type i. numberOfUnitsPerBoxi is the number of units in each box of the type i.  You are also given an integer truckSize, which is the maximum number of boxes that can be put on the truck. You can choose any boxes to put on the truck as long as the number of boxes does not exceed truckSize. Return the maximum total number of units that can be put on the truck.  ",maximum-units-on-a-truck,Maximum Units on a Truck,"Array, Greedy, Sorting",29
"Given an array of integers nums, find the maximum length of a subarray where the product of all its elements is positive. A subarray of an array is a consecutive sequence of zero or more values taken out of that array. Return the maximum length of a subarray with positive product.  ",maximum-length-of-subarray-with-positive-product,Maximum Length of Subarray With Positive Product,"Array, Dynamic Programming, Greedy",29
"Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order.  ",top-k-frequent-elements,Top K Frequent Elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",29
"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai.  For example, the pair [0, 1], indicates that to take course 0 you have to first take course 1.  Return true if you can finish all courses. Otherwise, return false.  ",course-schedule,Course Schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",28
"Given the root of a binary tree, return the zigzag level order traversal of its nodes' values. (i.e., from left to right, then right to left for the next level and alternate between).  ",binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,"Tree, Breadth-First Search, Binary Tree",28
"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order. A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.   ",letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,"Hash Table, String, Backtracking",28
"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M.  Symbol       Value I             1 V             5 X             10 L             50 C             100 D             500 M             1000 For example, 2 is written as II in Roman numeral, just two one's added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used:  I can be placed before V (5) and X (10) to make 4 and 9.  X can be placed before L (50) and C (100) to make 40 and 90.  C can be placed before D (500) and M (1000) to make 400 and 900.  Given an integer, convert it to a roman numeral.  ",integer-to-roman,Integer to Roman,"Hash Table, Math, String",27
"You are given two positive integers n and k. A factor of an integer n is defined as an integer i where n % i == 0. Consider a list of all factors of n sorted in ascending order, return the kth factor in this list or return -1 if n has less than k factors.  ",the-kth-factor-of-n,The kth Factor of n,"Math, Number Theory",25
"Given a binary tree, find the lowest common ancestor (LCA) of two given nodes in the tree. According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).”  ",lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,"Tree, Depth-First Search, Binary Tree",25
"Given the root of a binary tree, determine if it is a valid binary search tree (BST). A valid BST is defined as follows:  The left subtree of a node contains only nodes with keys less than the node's key. The right subtree of a node contains only nodes with keys greater than the node's key. Both the left and right subtrees must also be binary search trees.   ",validate-binary-search-tree,Validate Binary Search Tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",25
"In a linked list of size n, where n is even, the ith node (0-indexed) of the linked list is known as the twin of the (n-1-i)th node, if 0 <= i <= (n / 2) - 1.  For example, if n = 4, then node 0 is the twin of node 3, and node 1 is the twin of node 2. These are the only nodes with twins for n = 4.  The twin sum is defined as the sum of a node and its twin. Given the head of a linked list with even length, return the maximum twin sum of the linked list.  ",maximum-twin-sum-of-a-linked-list,Maximum Twin Sum of a Linked List,"Linked List, Two Pointers, Stack",23
"Serialization is the process of converting a data structure or object into a sequence of bits so that it can be stored in a file or memory buffer, or transmitted across a network connection link to be reconstructed later in the same or another computer environment. Design an algorithm to serialize and deserialize a binary tree. There is no restriction on how your serialization/deserialization algorithm should work. You just need to ensure that a binary tree can be serialized to a string and this string can be deserialized to the original tree structure. Clarification: The input/output format is the same as how LeetCode serializes a binary tree. You do not necessarily need to follow this format, so please be creative and come up with different approaches yourself.  ",serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",21
"You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed, the only constraint stopping you from robbing each of them is that adjacent houses have security systems connected and it will automatically contact the police if two adjacent houses were broken into on the same night. Given an integer array nums representing the amount of money of each house, return the maximum amount of money you can rob tonight without alerting the police.  ",house-robber,House Robber,"Array, Dynamic Programming",21
"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store. Notice that you may not slant the container.  ",container-with-most-water,Container With Most Water,"Array, Two Pointers, Greedy",21
"You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position. Return true if you can reach the last index, or false otherwise.  ",jump-game,Jump Game,"Array, Dynamic Programming, Greedy",20
"Given an unsorted integer array nums, return the smallest missing positive integer. You must implement an algorithm that runs in O(n) time and uses constant extra space.  ",first-missing-positive,First Missing Positive,"Array, Hash Table",20
You are given the heads of two sorted linked lists list1 and list2. Merge the two lists in a one sorted list. The list should be made by splicing together the nodes of the first two lists. Return the head of the merged linked list.  ,merge-two-sorted-lists,Merge Two Sorted Lists,"Linked List, Recursion",20
"You are given an m x n binary matrix grid. An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical.) You may assume all four edges of the grid are surrounded by water. The area of an island is the number of cells with a value 1 in the island. Return the maximum area of an island in grid. If there is no island, return 0.  ",max-area-of-island,Max Area of Island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",19
"Given an array of integers nums and an integer k, return the total number of subarrays whose sum equals to k. A subarray is a contiguous non-empty sequence of elements within an array.  ",subarray-sum-equals-k,Subarray Sum Equals K,"Array, Hash Table, Prefix Sum",19
Convert a non-negative integer num to its English words representation.  ,integer-to-english-words,Integer to English Words,"Math, String, Recursion",19
"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.  ",contains-duplicate,Contains Duplicate,"Array, Hash Table, Sorting",19
"A linked list of length n is given such that each node contains an additional random pointer, which could point to any node in the list, or null. Construct a deep copy of the list. The deep copy should consist of exactly n brand new nodes, where each new node has its value set to the value of its corresponding original node. Both the next and random pointer of the new nodes should point to new nodes in the copied list such that the pointers in the original list and copied list represent the same list state. None of the pointers in the new list should point to nodes in the original list. For example, if there are two nodes X and Y in the original list, where X.random --> Y, then for the corresponding two nodes x and y in the copied list, x.random --> y. Return the head of the copied linked list. The linked list is represented in the input/output as a list of n nodes. Each node is represented as a pair of [val, random_index] where:  val: an integer representing Node.val random_index: the index of the node (range from 0 to n-1) that the random pointer points to, or null if it does not point to any node.  Your code will only be given the head of the original linked list.  ",copy-list-with-random-pointer,Copy List with Random Pointer,"Hash Table, Linked List",19
"There are n gas stations along a circular route, where the amount of gas at the ith station is gas[i]. You have a car with an unlimited gas tank and it costs cost[i] of gas to travel from the ith station to its next (i + 1)th station. You begin the journey with an empty tank at one of the gas stations. Given two integer arrays gas and cost, return the starting gas station's index if you can travel around the circuit once in the clockwise direction, otherwise return -1. If there exists a solution, it is guaranteed to be unique  ",gas-station,Gas Station,"Array, Greedy",19
Determine if a 9 x 9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules:  Each row must contain the digits 1-9 without repetition. Each column must contain the digits 1-9 without repetition. Each of the nine 3 x 3 sub-boxes of the grid must contain the digits 1-9 without repetition.  Note:  A Sudoku board (partially filled) could be valid but is not necessarily solvable. Only the filled cells need to be validated according to the mentioned rules.   ,valid-sudoku,Valid Sudoku,"Array, Hash Table, Matrix",19
"You are given an integer array coins representing coins of different denominations and an integer amount representing a total amount of money. Return the fewest number of coins that you need to make up that amount. If that amount of money cannot be made up by any combination of the coins, return -1. You may assume that you have an infinite number of each kind of coin.  ",coin-change,Coin Change,"Array, Dynamic Programming, Breadth-First Search",18
"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time. Implement the MinStack class:  MinStack() initializes the stack object. void push(int val) pushes the element val onto the stack. void pop() removes the element on the top of the stack. int top() gets the top element of the stack. int getMin() retrieves the minimum element in the stack.  You must implement a solution with O(1) time complexity for each function.  ",min-stack,Min Stack,"Stack, Design",18
"Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order. The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different. The test cases are generated such that the number of unique combinations that sum up to target is less than 150 combinations for the given input.  ",combination-sum,Combination Sum,"Array, Backtracking",18
"A newly designed keypad was tested, where a tester pressed a sequence of n keys, one at a time. You are given a string keysPressed of length n, where keysPressed[i] was the ith key pressed in the testing sequence, and a sorted list releaseTimes, where releaseTimes[i] was the time the ith key was released. Both arrays are 0-indexed. The 0th key was pressed at the time 0, and every subsequent key was pressed at the exact time the previous key was released. The tester wants to know the key of the keypress that had the longest duration. The ith keypress had a duration of releaseTimes[i] - releaseTimes[i - 1], and the 0th keypress had a duration of releaseTimes[0]. Note that the same key could have been pressed multiple times during the test, and these multiple presses of the same key may not have had the same duration. Return the key of the keypress that had the longest duration. If there are multiple such keypresses, return the lexicographically largest key of the keypresses.  ",slowest-key,Slowest Key,"Array, String",17
"Given a string s, rearrange the characters of s so that any two adjacent characters are not the same. Return any possible rearrangement of s or return """" if not possible.  ",reorganize-string,Reorganize String,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting",17
"Implement the RandomizedSet class:  RandomizedSet() Initializes the RandomizedSet object. bool insert(int val) Inserts an item val into the set if not present. Returns true if the item was not present, false otherwise. bool remove(int val) Removes an item val from the set if present. Returns true if the item was present, false otherwise. int getRandom() Returns a random element from the current set of elements (it's guaranteed that at least one element exists when this method is called). Each element must have the same probability of being returned.  You must implement the functions of the class such that each function works in average O(1) time complexity.  ",insert-delete-getrandom-o1,Insert Delete GetRandom O(1),"Array, Hash Table, Math, Design, Randomized",17
"Given an integer array nums, find a subarray that has the largest product, and return the product. The test cases are generated so that the answer will fit in a 32-bit integer.  ",maximum-product-subarray,Maximum Product Subarray,"Array, Dynamic Programming",17
"A path in a binary tree is a sequence of nodes where each pair of adjacent nodes in the sequence has an edge connecting them. A node can only appear in the sequence at most once. Note that the path does not need to pass through the root. The path sum of a path is the sum of the node's values in the path. Given the root of a binary tree, return the maximum path sum of any non-empty path.  ",binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",17
"Given an array of integers nums containing n + 1 integers where each integer is in the range [1, n] inclusive. There is only one repeated number in nums, return this repeated number. You must solve the problem without modifying the array nums and uses only constant extra space.  ",find-the-duplicate-number,Find the Duplicate Number,"Array, Two Pointers, Binary Search, Bit Manipulation",16
"Given the head of a singly linked list, return true if it is a palindrome or false otherwise.  ",palindrome-linked-list,Palindrome Linked List,"Linked List, Two Pointers, Stack, Recursion",16
"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in the sorted order, not the kth distinct element. You must solve it in O(n) time complexity.  ",kth-largest-element-in-an-array,Kth Largest Element in an Array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",16
"Given two strings s and p, return an array of all the start indices of p's anagrams in s. You may return the answer in any order. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.  ",find-all-anagrams-in-a-string,Find All Anagrams in a String,"Hash Table, String, Sliding Window",15
"A trie (pronounced as ""try"") or prefix tree is a tree data structure used to efficiently store and retrieve keys in a dataset of strings. There are various applications of this data structure, such as autocomplete and spellchecker. Implement the Trie class:  Trie() Initializes the trie object. void insert(String word) Inserts the string word into the trie. boolean search(String word) Returns true if the string word is in the trie (i.e., was inserted before), and false otherwise. boolean startsWith(String prefix) Returns true if there is a previously inserted string word that has the prefix prefix, and false otherwise.   ",implement-trie-prefix-tree,Implement Trie (Prefix Tree),"Hash Table, String, Design, Trie",15
"You are given the root of a binary search tree (BST), where the values of exactly two nodes of the tree were swapped by mistake. Recover the tree without changing its structure.  ",recover-binary-search-tree,Recover Binary Search Tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",15
"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses.  ",generate-parentheses,Generate Parentheses,"String, Dynamic Programming, Backtracking",15
"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target. Return the sum of the three integers. You may assume that each input would have exactly one solution.  ",3sum-closest,3Sum Closest,"Array, Two Pointers, Sorting",15
"Tic-tac-toe is played by two players A and B on a 3 x 3 grid. The rules of Tic-Tac-Toe are:  Players take turns placing characters into empty squares ' '. The first player A always places 'X' characters, while the second player B always places 'O' characters. 'X' and 'O' characters are always placed into empty squares, never on filled ones. The game ends when there are three of the same (non-empty) character filling any row, column, or diagonal. The game also ends if all squares are non-empty. No more moves can be played if the game is over.  Given a 2D integer array moves where moves[i] = [rowi, coli] indicates that the ith move will be played on grid[rowi][coli]. return the winner of the game if it exists (A or B). In case the game ends in a draw return ""Draw"". If there are still movements to play return ""Pending"". You can assume that moves is valid (i.e., it follows the rules of Tic-Tac-Toe), the grid is initially empty, and A will play first.  ",find-winner-on-a-tic-tac-toe-game,Find Winner on a Tic Tac Toe Game,"Array, Hash Table, Matrix, Simulation",14
"You are given a list of songs where the ith song has a duration of time[i] seconds. Return the number of pairs of songs for which their total duration in seconds is divisible by 60. Formally, we want the number of indices i, j such that i < j with (time[i] + time[j]) % 60 == 0.  ",pairs-of-songs-with-total-durations-divisible-by-60,Pairs of Songs With Total Durations Divisible by 60,"Array, Hash Table, Counting",14
"We are given an array asteroids of integers representing asteroids in a row. For each asteroid, the absolute value represents its size, and the sign represents its direction (positive meaning right, negative meaning left). Each asteroid moves at the same speed. Find out the state of the asteroids after all collisions. If two asteroids meet, the smaller one will explode. If both are the same size, both will explode. Two asteroids moving in the same direction will never meet.  ",asteroid-collision,Asteroid Collision,"Array, Stack",14
You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?  ,climbing-stairs,Climbing Stairs,"Math, Dynamic Programming, Memoization",14
"Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list. k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is. You may not alter the values in the list's nodes, only nodes themselves may be changed.  ",reverse-nodes-in-k-group,Reverse Nodes in k-Group,"Linked List, Recursion",14
"Given an integer array nums sorted in non-decreasing order, return an array of the squares of each number sorted in non-decreasing order.  ",squares-of-a-sorted-array,Squares of a Sorted Array,"Array, Two Pointers, Sorting",13
"Given an array of integers nums which is sorted in ascending order, and an integer target, write a function to search target in nums. If target exists, then return its index. Otherwise, return -1. You must write an algorithm with O(log n) runtime complexity.  ",binary-search,Binary Search,"Array, Binary Search",13
"Given a string s which represents an expression, evaluate this expression and return its value.  The integer division should truncate toward zero. You may assume that the given expression is always valid. All intermediate results will be in the range of [-231, 231 - 1]. Note: You are not allowed to use any built-in function which evaluates strings as mathematical expressions, such as eval().  ",basic-calculator-ii,Basic Calculator II,"Math, String, Stack",13
"You are given an integer array prices where prices[i] is the price of a given stock on the ith day. On each day, you may decide to buy and/or sell the stock. You can only hold at most one share of the stock at any time. However, you can buy it then immediately sell it on the same day. Find and return the maximum profit you can achieve.  ",best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,"Array, Dynamic Programming, Greedy",13
"Given an integer array nums of unique elements, return all possible subsets (the power set). The solution set must not contain duplicate subsets. Return the solution in any order.  ",subsets,Subsets,"Array, Backtracking, Bit Manipulation",13
"Given an m x n matrix, return all elements of the matrix in spiral order.  ",spiral-matrix,Spiral Matrix,"Array, Matrix, Simulation",13
"You are given a 0-indexed array of integers nums of length n. You are initially positioned at nums[0]. Each element nums[i] represents the maximum length of a forward jump from index i. In other words, if you are at nums[i], you can jump to any nums[i + j] where:  0 <= j <= nums[i] and i + j < n  Return the minimum number of jumps to reach nums[n - 1]. The test cases are generated such that you can reach nums[n - 1].  ",jump-game-ii,Jump Game II,"Array, Dynamic Programming, Greedy",13
"Design a parking system for a parking lot. The parking lot has three kinds of parking spaces: big, medium, and small, with a fixed number of slots for each size. Implement the ParkingSystem class:  ParkingSystem(int big, int medium, int small) Initializes object of the ParkingSystem class. The number of slots for each parking space are given as part of the constructor. bool addCar(int carType) Checks whether there is a parking space of carType for the car that wants to get into the parking lot. carType can be of three kinds: big, medium, or small, which are represented by 1, 2, and 3 respectively. A car can only park in a parking space of its carType. If there is no space available, return false, else park the car in that size space and return true.   ",design-parking-system,Design Parking System,"Design, Simulation, Counting",12
"Given an array of integers nums and an integer limit, return the size of the longest non-empty subarray such that the absolute difference between any two elements of this subarray is less than or equal to limit.  ",longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue",12
"Given an array of strings words and an integer k, return the k most frequent strings. Return the answer sorted by the frequency from highest to lowest. Sort the words with the same frequency by their lexicographical order.  ",top-k-frequent-words,Top K Frequent Words,"Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting",12
"Given the root of a binary tree, return the length of the diameter of the tree. The diameter of a binary tree is the length of the longest path between any two nodes in a tree. This path may or may not pass through the root. The length of a path between two nodes is represented by the number of edges between them.  ",diameter-of-binary-tree,Diameter of Binary Tree,"Tree, Depth-First Search, Binary Tree",12
"Given an encoded string, return its decoded string. The encoding rule is: k[encoded_string], where the encoded_string inside the square brackets is being repeated exactly k times. Note that k is guaranteed to be a positive integer. You may assume that the input string is always valid; there are no extra white spaces, square brackets are well-formed, etc. Furthermore, you may assume that the original data does not contain any digits and that digits are only for those repeat numbers, k. For example, there will not be input like 3a or 2[4]. The test cases are generated so that the length of the output will never exceed 105.  ",decode-string,Decode String,"String, Stack, Recursion",12
"You are a product manager and currently leading a team to develop a new product. Unfortunately, the latest version of your product fails the quality check. Since each version is developed based on the previous version, all the versions after a bad version are also bad. Suppose you have n versions [1, 2, ..., n] and you want to find out the first bad one, which causes all the following ones to be bad. You are given an API bool isBadVersion(version) which returns whether version is bad. Implement a function to find the first bad version. You should minimize the number of calls to the API.  ",first-bad-version,First Bad Version,"Binary Search, Interactive",12
"Given the head of a singly linked list, reverse the list, and return the reversed list.  ",reverse-linked-list,Reverse Linked List,"Linked List, Recursion",12
"Given an array of integers heights representing the histogram's bar height where the width of each bar is 1, return the area of the largest rectangle in the histogram.  ",largest-rectangle-in-histogram,Largest Rectangle in Histogram,"Array, Stack, Monotonic Stack",12
"You are given an m x n integer matrix matrix with the following two properties:  Each row is sorted in non-decreasing order. The first integer of each row is greater than the last integer of the previous row.  Given an integer target, return true if target is in matrix or false otherwise. You must write a solution in O(log(m * n)) time complexity.  ",search-a-2d-matrix,Search a 2D Matrix,"Array, Binary Search, Matrix",12
"You are given a 0-indexed array of positive integers w where w[i] describes the weight of the ith index. You need to implement the function pickIndex(), which randomly picks an index in the range [0, w.length - 1] (inclusive) and returns it. The probability of picking an index i is w[i] / sum(w).  For example, if w = [1, 3], the probability of picking index 0 is 1 / (1 + 3) = 0.25 (i.e., 25%), and the probability of picking index 1 is 3 / (1 + 3) = 0.75 (i.e., 75%).   ",random-pick-with-weight,Random Pick with Weight,"Array, Math, Binary Search, Prefix Sum, Randomized",11
