problem_statement,titleslug,title,tags,num_occur
"You are given an m x n binary matrix grid. An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical.) You may assume all four edges of the grid are surrounded by water. The area of an island is the number of cells with a value 1 in the island. Return the maximum area of an island in grid. If there is no island, return 0.  ",max-area-of-island,Max Area of Island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",10
"Given an array of integers nums and an integer k, return the total number of subarrays whose sum equals to k. A subarray is a contiguous non-empty sequence of elements within an array.  ",subarray-sum-equals-k,Subarray Sum Equals K,"Array, Hash Table, Prefix Sum",10
"Given an integer array nums, move all 0's to the end of it while maintaining the relative order of the non-zero elements. Note that you must do this in-place without making a copy of the array.  ",move-zeroes,Move Zeroes,"Array, Two Pointers",10
"Given a binary tree, find the lowest common ancestor (LCA) of two given nodes in the tree. According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).”  ",lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,"Tree, Depth-First Search, Binary Tree",10
"Given the head of a singly linked list, return true if it is a palindrome or false otherwise.  ",palindrome-linked-list,Palindrome Linked List,"Linked List, Two Pointers, Stack, Recursion",10
"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai.  For example, the pair [0, 1], indicates that to take course 0 you have to first take course 1.  Return the ordering of courses you should take to finish all courses. If there are many valid answers, return any of them. If it is impossible to finish all courses, return an empty array.  ",course-schedule-ii,Course Schedule II,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",10
"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai.  For example, the pair [0, 1], indicates that to take course 0 you have to first take course 1.  Return true if you can finish all courses. Otherwise, return false.  ",course-schedule,Course Schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",10
"Given the head of a singly linked list, reverse the list, and return the reversed list.  ",reverse-linked-list,Reverse Linked List,"Linked List, Recursion",10
"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time. Implement the MinStack class:  MinStack() initializes the stack object. void push(int val) pushes the element val onto the stack. void pop() removes the element on the top of the stack. int top() gets the top element of the stack. int getMin() retrieves the minimum element in the stack.  You must implement a solution with O(1) time complexity for each function.  ",min-stack,Min Stack,"Stack, Design",10
"You are given two integer arrays nums1 and nums2, sorted in non-decreasing order, and two integers m and n, representing the number of elements in nums1 and nums2 respectively. Merge nums1 and nums2 into a single array sorted in non-decreasing order. The final sorted array should not be returned by the function, but instead be stored inside the array nums1. To accommodate this, nums1 has a length of m + n, where the first m elements denote the elements that should be merged, and the last n elements are set to 0 and should be ignored. nums2 has a length of n.  ",merge-sorted-array,Merge Sorted Array,"Array, Two Pointers, Sorting",10
"Given two non-negative integers, num1 and num2 represented as string, return the sum of num1 and num2 as a string. You must solve the problem without using any built-in library for handling large integers (such as BigInteger). You must also not convert the inputs to integers directly.  ",add-strings,Add Strings,"Math, String, Simulation",9
"Implement the BSTIterator class that represents an iterator over the in-order traversal of a binary search tree (BST):  BSTIterator(TreeNode root) Initializes an object of the BSTIterator class. The root of the BST is given as part of the constructor. The pointer should be initialized to a non-existent number smaller than any element in the BST. boolean hasNext() Returns true if there exists a number in the traversal to the right of the pointer, otherwise returns false. int next() Moves the pointer to the right, then returns the number at the pointer.  Notice that by initializing the pointer to a non-existent smallest number, the first call to next() will return the smallest element in the BST. You may assume that next() calls will always be valid. That is, there will be at least a next number in the in-order traversal when next() is called.  ",binary-search-tree-iterator,Binary Search Tree Iterator,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator",9
"There is a robot on an m x n grid. The robot is initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time. Given the two integers m and n, return the number of possible unique paths that the robot can take to reach the bottom-right corner. The test cases are generated so that the answer will be less than or equal to 2 * 109.  ",unique-paths,Unique Paths,"Math, Dynamic Programming, Combinatorics",9
"You are given an n x n 2D matrix representing an image, rotate the image by 90 degrees (clockwise). You have to rotate the image in-place, which means you have to modify the input 2D matrix directly. DO NOT allocate another 2D matrix and do the rotation.  ",rotate-image,Rotate Image,"Array, Math, Matrix",9
"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.  ",trapping-rain-water,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",9
"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store. Notice that you may not slant the container.  ",container-with-most-water,Container With Most Water,"Array, Two Pointers, Greedy",9
"Given an n x n binary matrix grid, return the length of the shortest clear path in the matrix. If there is no clear path, return -1. A clear path in a binary matrix is a path from the top-left cell (i.e., (0, 0)) to the bottom-right cell (i.e., (n - 1, n - 1)) such that:  All the visited cells of the path are 0. All the adjacent cells of the path are 8-directionally connected (i.e., they are different and they share an edge or a corner).  The length of a clear path is the number of visited cells of this path.  ",shortest-path-in-binary-matrix,Shortest Path in Binary Matrix,"Array, Breadth-First Search, Matrix",8
"Given an array of strings words and an integer k, return the k most frequent strings. Return the answer sorted by the frequency from highest to lowest. Sort the words with the same frequency by their lexicographical order.  ",top-k-frequent-words,Top K Frequent Words,"Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting",8
"Given the heads of two singly linked-lists headA and headB, return the node at which the two lists intersect. If the two linked lists have no intersection at all, return null. For example, the following two linked lists begin to intersect at node c1:  The test cases are generated such that there are no cycles anywhere in the entire linked structure. Note that the linked lists must retain their original structure after the function returns. Custom Judge: The inputs to the judge are given as follows (your program is not given these inputs):  intersectVal - The value of the node where the intersection occurs. This is 0 if there is no intersected node. listA - The first linked list. listB - The second linked list. skipA - The number of nodes to skip ahead in listA (starting from the head) to get to the intersected node. skipB - The number of nodes to skip ahead in listB (starting from the head) to get to the intersected node.  The judge will then create the linked structure based on these inputs and pass the two heads, headA and headB to your program. If you correctly return the intersected node, then your solution will be accepted.  ",intersection-of-two-linked-lists,Intersection of Two Linked Lists,"Hash Table, Linked List, Two Pointers",8
"Given an unsorted array of integers nums, return the length of the longest consecutive elements sequence. You must write an algorithm that runs in O(n) time.  ",longest-consecutive-sequence,Longest Consecutive Sequence,"Array, Hash Table, Union Find",8
"A phrase is a palindrome if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward. Alphanumeric characters include letters and numbers. Given a string s, return true if it is a palindrome, or false otherwise.  ",valid-palindrome,Valid Palindrome,"Two Pointers, String",8
"Given an array nums with n objects colored red, white, or blue, sort them in-place so that objects of the same color are adjacent, with the colors in the order red, white, and blue. We will use the integers 0, 1, and 2 to represent the color red, white, and blue, respectively. You must solve this problem without using the library's sort function.  ",sort-colors,Sort Colors,"Array, Two Pointers, Sorting",8
"Given an m x n integer matrix matrix, if an element is 0, set its entire row and column to 0's. You must do it in place.  ",set-matrix-zeroes,Set Matrix Zeroes,"Array, Hash Table, Matrix",8
Determine if a 9 x 9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules:  Each row must contain the digits 1-9 without repetition. Each column must contain the digits 1-9 without repetition. Each of the nine 3 x 3 sub-boxes of the grid must contain the digits 1-9 without repetition.  Note:  A Sudoku board (partially filled) could be valid but is not necessarily solvable. Only the filled cells need to be validated according to the mentioned rules.   ,valid-sudoku,Valid Sudoku,"Array, Hash Table, Matrix",8
Convert a non-negative integer num to its English words representation.  ,integer-to-english-words,Integer to English Words,"Math, String, Recursion",7
"Given an m x n binary matrix filled with 0's and 1's, find the largest square containing only 1's and return its area.  ",maximal-square,Maximal Square,"Array, Dynamic Programming, Matrix",7
"Given an m x n board of characters and a list of strings words, return all words on the board. Each word must be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once in a word.  ",word-search-ii,Word Search II,"Array, String, Backtracking, Trie, Matrix",7
"Given an integer array nums, rotate the array to the right by k steps, where k is non-negative.  ",rotate-array,Rotate Array,"Array, Math, Two Pointers",7
"Suppose an array of length n sorted in ascending order is rotated between 1 and n times. For example, the array nums = [0,1,2,4,5,6,7] might become:  [4,5,6,7,0,1,2] if it was rotated 4 times. [0,1,2,4,5,6,7] if it was rotated 7 times.  Notice that rotating an array [a[0], a[1], a[2], ..., a[n-1]] 1 time results in the array [a[n-1], a[0], a[1], a[2], ..., a[n-2]]. Given the sorted rotated array nums of unique elements, return the minimum element of this array. You must write an algorithm that runs in O(log n) time.  ",find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,"Array, Binary Search",7
"There are n gas stations along a circular route, where the amount of gas at the ith station is gas[i]. You have a car with an unlimited gas tank and it costs cost[i] of gas to travel from the ith station to its next (i + 1)th station. You begin the journey with an empty tank at one of the gas stations. Given two integer arrays gas and cost, return the starting gas station's index if you can travel around the circuit once in the clockwise direction, otherwise return -1. If there exists a solution, it is guaranteed to be unique  ",gas-station,Gas Station,"Array, Greedy",7
"A path in a binary tree is a sequence of nodes where each pair of adjacent nodes in the sequence has an edge connecting them. A node can only appear in the sequence at most once. Note that the path does not need to pass through the root. The path sum of a path is the sum of the node's values in the path. Given the root of a binary tree, return the maximum path sum of any non-empty path.  ",binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",7
"Given the root of a binary tree and an integer targetSum, return true if the tree has a root-to-leaf path such that adding up all the values along the path equals targetSum. A leaf is a node with no children.  ",path-sum,Path Sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",7
"Given the root of a binary tree, return the level order traversal of its nodes' values. (i.e., from left to right, level by level).  ",binary-tree-level-order-traversal,Binary Tree Level Order Traversal,"Tree, Breadth-First Search, Binary Tree",7
"Given two strings s and t of lengths m and n respectively, return the minimum window substring of s such that every character in t (including duplicates) is included in the window. If there is no such substring, return the empty string """". The testcases will be generated such that the answer is unique.  ",minimum-window-substring,Minimum Window Substring,"Hash Table, String, Sliding Window",7
"You are given an m x n integer matrix matrix with the following two properties:  Each row is sorted in non-decreasing order. The first integer of each row is greater than the last integer of the previous row.  Given an integer target, return true if target is in matrix or false otherwise. You must write a solution in O(log(m * n)) time complexity.  ",search-a-2d-matrix,Search a 2D Matrix,"Array, Binary Search, Matrix",7
You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?  ,climbing-stairs,Climbing Stairs,"Math, Dynamic Programming, Memoization",7
"Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.)  ",swap-nodes-in-pairs,Swap Nodes in Pairs,"Linked List, Recursion",7
"You are given a map of a server center, represented as a m * n integer matrix grid, where 1 means that on that cell there is a server and 0 means that it is no server. Two servers are said to communicate if they are on the same row or on the same column.  Return the number of servers that communicate with any other server.  ",count-servers-that-communicate,Count Servers that Communicate,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix, Counting",6
"Given the root of a binary tree, calculate the vertical order traversal of the binary tree. For each node at position (row, col), its left and right children will be at positions (row + 1, col - 1) and (row + 1, col + 1) respectively. The root of the tree is at (0, 0). The vertical order traversal of a binary tree is a list of top-to-bottom orderings for each column index starting from the leftmost column and ending on the rightmost column. There may be multiple nodes in the same row and same column. In such a case, sort these nodes by their values. Return the vertical order traversal of the binary tree.  ",vertical-order-traversal-of-a-binary-tree,Vertical Order Traversal of a Binary Tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree",6
"Given an array of points where points[i] = [xi, yi] represents a point on the X-Y plane and an integer k, return the k closest points to the origin (0, 0). The distance between two points on the X-Y plane is the Euclidean distance (i.e., √(x1 - x2)2 + (y1 - y2)2). You may return the answer in any order. The answer is guaranteed to be unique (except for the order that it is in).  ",k-closest-points-to-origin,K Closest Points to Origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect",6
